Week,Visitor_Team,Home_Team
Reg. Season Week 5,3,9
Reg. Season Week 5,5,4
Reg. Season Week 5,6,16
Reg. Season Week 5,13,25
Reg. Season Week 5,15,10
Reg. Season Week 5,19,23
Reg. Season Week 5,22,12
Reg. Season Week 5,24,29
Reg. Season Week 5,26,21
Reg. Season Week 5,27,17
Reg. Season Week 5,30,28
Reg. Season Week 5,31,7
Reg. Season Week 6,2,27
Reg. Season Week 6,4,6
Reg. Season Week 6,5,1
Reg. Season Week 6,7,24
Reg. Season Week 6,8,19
Reg. Season Week 6,9,15
Reg. Season Week 6,10,14
Reg. Season Week 6,11,31
Reg. Season Week 6,12,28
Reg. Season Week 6,16,3
Reg. Season Week 6,18,21
Reg. Season Week 6,22,30
Reg. Season Week 6,23,20
Reg. Season Week 6,25,26
Reg. Season Week 6,29,0
Reg. Season Week 7,0,20
Reg. Season Week 7,1,2
Reg. Season Week 7,4,10
Reg. Season Week 7,6,11
Reg. Season Week 7,13,23
Reg. Season Week 7,14,5
Reg. Season Week 7,15,3
Reg. Season Week 7,17,9
Reg. Season Week 7,18,7
Reg. Season Week 7,19,16
Reg. Season Week 7,24,26
Reg. Season Week 7,25,8
Reg. Season Week 7,28,29
Reg. Season Week 7,30,12
Reg. Season Week 7,31,22
Reg. Season Week 8,1,9
Reg. Season Week 8,2,6
Reg. Season Week 8,3,19
Reg. Season Week 8,5,16
Reg. Season Week 8,10,17
Reg. Season Week 8,11,22
Reg. Season Week 8,14,12
Reg. Season Week 8,15,27
Reg. Season Week 8,20,30
Reg. Season Week 8,21,0
Reg. Season Week 8,23,8
Reg. Season Week 8,24,4
Reg. Season Week 8,26,13
Reg. Season Week 8,29,7
Reg. Season Week 8,31,28
Reg. Season Week 9,0,7
Reg. Season Week 9,2,22
Reg. Season Week 9,8,16
Reg. Season Week 9,11,18
Reg. Season Week 9,12,6
Reg. Season Week 9,17,4
Reg. Season Week 9,19,13
Reg. Season Week 9,20,24
Reg. Season Week 9,21,31
Reg. Season Week 9,23,14
Reg. Season Week 9,26,25
Reg. Season Week 9,27,30
Reg. Season Week 9,29,15
Reg. Season Week 10,1,27
Reg. Season Week 10,4,21
Reg. Season Week 10,5,10
Reg. Season Week 10,7,12
Reg. Season Week 10,8,20
Reg. Season Week 10,13,3
Reg. Season Week 10,14,9
Reg. Season Week 10,18,24
Reg. Season Week 10,22,19
Reg. Season Week 10,25,17
Reg. Season Week 10,26,0
Reg. Season Week 10,28,2
Reg. Season Week 10,30,6
Reg. Season Week 11,1,4
Reg. Season Week 11,3,14
Reg. Season Week 11,6,17
Reg. Season Week 11,8,26
Reg. Season Week 11,9,0
Reg. Season Week 11,15,5
Reg. Season Week 11,16,11
Reg. Season Week 11,20,23
Reg. Season Week 11,21,10
Reg. Season Week 11,22,28
Reg. Season Week 11,24,13
Reg. Season Week 11,25,18
Reg. Season Week 11,27,29
Reg. Season Week 11,31,30
Reg. Season Week 12,0,24
Reg. Season Week 12,2,17
Reg. Season Week 12,6,31
Reg. Season Week 12,7,18
Reg. Season Week 12,9,16
Reg. Season Week 12,10,15
Reg. Season Week 12,12,11
Reg. Season Week 12,13,20
Reg. Season Week 12,14,8
Reg. Season Week 12,19,3
Reg. Season Week 12,26,23
Reg. Season Week 12,27,5
Reg. Season Week 12,28,21
Reg. Season Week 12,29,25
Reg. Season Week 12,30,1
Reg. Season Week 13,0,1
Reg. Season Week 13,4,15
Reg. Season Week 13,5,9
Reg. Season Week 13,6,27
Reg. Season Week 13,8,13
Reg. Season Week 13,14,19
Reg. Season Week 13,16,10
Reg. Season Week 13,17,22
Reg. Season Week 13,18,12
Reg. Season Week 13,20,26
Reg. Season Week 13,21,7
Reg. Season Week 13,23,2
Reg. Season Week 13,24,25
Reg. Season Week 13,28,31
Reg. Season Week 13,29,11
Reg. Season Week 13,30,3
Reg. Season Week 14,1,10
Reg. Season Week 14,2,14
Reg. Season Week 14,3,8
Reg. Season Week 14,4,17
Reg. Season Week 14,7,5
Reg. Season Week 14,11,30
Reg. Season Week 14,13,0
Reg. Season Week 14,16,23
Reg. Season Week 14,18,28
Reg. Season Week 14,19,15
Reg. Season Week 14,22,6
Reg. Season Week 14,24,21
Reg. Season Week 14,25,20
Reg. Season Week 14,26,29
Reg. Season Week 14,27,9
Reg. Season Week 14,31,12
Reg. Season Week 15,0,26
Reg. Season Week 15,6,30
Reg. Season Week 15,7,21
Reg. Season Week 15,8,23
Reg. Season Week 15,10,3
Reg. Season Week 15,12,2
Reg. Season Week 15,14,16
Reg. Season Week 15,15,9
Reg. Season Week 15,17,5
Reg. Season Week 15,19,28
Reg. Season Week 15,20,13
Reg. Season Week 15,22,1
Reg. Season Week 15,25,24
Reg. Season Week 15,27,4
Reg. Season Week 15,29,18
Reg. Season Week 15,31,11
Reg. Season Week 16,1,17
Reg. Season Week 16,2,31
Reg. Season Week 16,3,20
Reg. Season Week 16,8,6
Reg. Season Week 16,9,5
Reg. Season Week 16,10,27
Reg. Season Week 16,11,7
Reg. Season Week 16,13,22
Reg. Season Week 16,15,14
Reg. Season Week 16,16,19
Reg. Season Week 16,18,26
Reg. Season Week 16,21,29
Reg. Season Week 16,23,25
Reg. Season Week 16,24,0
Reg. Season Week 16,28,12
Reg. Season Week 16,30,4
Reg. Season Week 17,0,25
Reg. Season Week 17,3,16
Reg. Season Week 17,4,1
Reg. Season Week 17,5,15
Reg. Season Week 17,6,22
Reg. Season Week 17,7,29
Reg. Season Week 17,9,10
Reg. Season Week 17,11,28
Reg. Season Week 17,12,31
Reg. Season Week 17,17,27
Reg. Season Week 17,19,14
Reg. Season Week 17,20,8
Reg. Season Week 17,21,18
Reg. Season Week 17,23,13
Reg. Season Week 17,26,24
Reg. Season Week 17,30,2
