Category,Team/All_Teams,Place,Player,Record,Year,Team,Opponent
Pass Completions,0,38,98,15,2015,0,26
Pass Completions,0,39,911,14,2014,0,24
Pass Completions,0,40,98,14,2015,0,5
Pass Completions,0,41,1536,14,2016,0,27
Pass Completions,0,42,1536,14,2016,0,1
Pass Completions,0,43,1536,13,2016,0,19
Pass Completions,0,44,98,12,2014,0,24
Pass Completions,0,45,98,12,2015,0,26
Pass Completions,0,46,1536,11,2016,0,24
Pass Completions,0,47,1536,9,2016,0,26
Pass Completions,0,48,98,6,2015,0,24
Pass Completions,0,49,1536,4,2014,0,21
Pass Completions,0,50,1536,2,2015,0,25
Pass Completions,0,51,3209,1,2016,0,19
Completion Percentage,0,0,98,815,2015,0,24
Completion Percentage,0,1,98,800,2014,0,20
Completion Percentage,0,2,1536,792,2016,0,25
Completion Percentage,0,3,98,773,2015,0,25
Completion Percentage,0,4,98,750,2014,0,25
Completion Percentage,0,5,98,750,2015,0,26
Completion Percentage,0,6,98,750,2015,0,22
Completion Percentage,0,7,1536,750,2016,0,17
Completion Percentage,0,8,98,744,2014,0,7
Completion Percentage,0,9,98,727,2014,0,26
Completion Percentage,0,10,1536,722,2016,0,7
Completion Percentage,0,11,98,711,2014,0,13
Completion Percentage,0,12,1536,710,2016,0,26
Completion Percentage,0,13,98,703,2015,0,2
Completion Percentage,0,14,98,696,2015,0,15
Completion Percentage,0,15,98,696,2015,0,30
Completion Percentage,0,16,98,692,2015,0,17
Completion Percentage,0,17,98,690,2015,0,9
Completion Percentage,0,18,98,686,2014,0,8
Completion Percentage,0,19,98,674,2014,0,18
Completion Percentage,0,20,98,659,2015,0,21
Completion Percentage,0,21,1536,647,2016,0,4
Completion Percentage,0,22,98,643,2014,0,21
Completion Percentage,0,23,98,625,2014,0,9
Completion Percentage,0,24,1536,618,2016,0,16
Completion Percentage,0,25,1536,607,2016,0,25
Completion Percentage,0,26,98,595,2014,0,23
Completion Percentage,0,27,1536,593,2016,0,3
Completion Percentage,0,28,98,583,2015,0,5
Completion Percentage,0,29,1536,583,2016,0,14
Completion Percentage,0,30,1536,581,2015,0,24
Completion Percentage,0,31,98,576,2015,0,6
Completion Percentage,0,32,911,575,2014,0,25
Completion Percentage,0,33,1536,571,2016,0,24
Completion Percentage,0,34,1536,567,2016,0,9
Completion Percentage,0,35,98,548,2015,0,10
Completion Percentage,0,36,911,538,2014,0,24
Completion Percentage,0,37,98,514,2014,0,1
Completion Percentage,0,38,1536,500,2015,0,25
Completion Percentage,0,39,98,487,2014,0,29
Completion Percentage,0,40,1536,478,2016,0,24
Completion Percentage,0,41,98,441,2014,0,26
Completion Percentage,0,42,98,429,2015,0,26
Completion Percentage,0,43,1536,412,2016,0,27
Completion Percentage,0,44,1536,310,2016,0,19
Passing Yards,0,0,98,327,2014,0,18
Passing Yards,0,1,98,320,2014,0,13
Passing Yards,0,2,98,301,2014,0,20
Passing Yards,0,3,98,293,2014,0,21
Passing Yards,0,4,98,279,2014,0,23
Passing Yards,0,5,98,268,2014,0,25
Passing Yards,0,6,98,261,2014,0,7
Passing Yards,0,7,98,255,2015,0,21
Passing Yards,0,8,1536,254,2016,0,7
Passing Yards,0,9,98,245,2014,0,29
Passing Yards,0,10,1536,239,2016,0,24
Passing Yards,0,11,1536,235,2016,0,14
Passing Yards,0,12,1536,234,2015,0,24
Passing Yards,0,13,98,230,2015,0,2
Passing Yards,0,14,1536,224,2016,0,16
Passing Yards,0,15,98,218,2015,0,17
Passing Yards,0,16,98,215,2014,0,8
Passing Yards,0,17,98,212,2015,0,6
Passing Yards,0,18,98,208,2014,0,9
Passing Yards,0,19,1536,208,2016,0,26
Passing Yards,0,20,98,206,2015,0,10
Passing Yards,0,21,911,204,2014,0,25
Passing Yards,0,22,98,199,2015,0,9
Passing Yards,0,23,98,197,2015,0,24
Passing Yards,0,24,98,194,2014,0,26
Passing Yards,0,25,1536,194,2016,0,3
Passing Yards,0,26,1536,187,2016,0,1
Passing Yards,0,27,98,184,2015,0,25
Passing Yards,0,28,911,182,2014,0,24
Passing Yards,0,29,98,182,2015,0,30
Passing Yards,0,30,1536,175,2016,0,25
Passing Yards,0,31,98,174,2015,0,15
Passing Yards,0,32,98,172,2014,0,1
Passing Yards,0,33,1536,172,2015,0,25
Passing Yards,0,34,1536,170,2016,0,9
Passing Yards,0,35,1536,169,2016,0,4
Passing Yards,0,36,98,150,2015,0,26
Passing Yards,0,37,1536,150,2016,0,17
Passing Yards,0,38,1536,143,2016,0,24
Passing Yards,0,39,98,141,2015,0,26
Passing Yards,0,40,98,140,2015,0,22
Passing Yards,0,41,1536,140,2016,0,27
Passing Yards,0,42,1536,130,2016,0,25
Passing Yards,0,43,98,125,2014,0,26
Passing Yards,0,44,98,122,2014,0,24
Passing Yards,0,45,98,111,2015,0,5
Passing Yards,0,46,1536,98,2016,0,19
Passing Yards,0,47,1536,67,2014,0,21
Passing Yards,0,48,98,63,2015,0,24
Passing Yards,0,49,1536,60,2016,0,26
Passing Yards,0,50,1536,18,2015,0,25
Passing Yards,0,51,3209,2,2016,0,19
Yards per Pass Attempt,0,0,98,957,2014,0,25
Yards per Pass Attempt,0,1,98,860,2014,0,20
Yards per Pass Attempt,0,2,98,842,2014,0,13
Yards per Pass Attempt,0,3,98,838,2015,0,17
Yards per Pass Attempt,0,4,98,836,2015,0,25
Yards per Pass Attempt,0,5,98,791,2015,0,30
Yards per Pass Attempt,0,6,98,757,2015,0,15
Yards per Pass Attempt,0,7,1536,755,2015,0,24
Yards per Pass Attempt,0,8,98,750,2015,0,26
Yards per Pass Attempt,0,9,98,730,2015,0,24
Yards per Pass Attempt,0,10,1536,729,2016,0,25
Yards per Pass Attempt,0,11,1536,719,2016,0,3
Yards per Pass Attempt,0,12,98,711,2014,0,18
Yards per Pass Attempt,0,13,1536,706,2016,0,7
Yards per Pass Attempt,0,14,911,700,2014,0,24
Yards per Pass Attempt,0,15,98,698,2014,0,21
Yards per Pass Attempt,0,16,98,686,2015,0,9
Yards per Pass Attempt,0,17,1536,671,2016,0,26
Yards per Pass Attempt,0,18,98,669,2014,0,7
Yards per Pass Attempt,0,19,98,665,2015,0,10
Yards per Pass Attempt,0,20,98,664,2014,0,23
Yards per Pass Attempt,0,21,1536,659,2016,0,16
Yards per Pass Attempt,0,22,1536,653,2016,0,14
Yards per Pass Attempt,0,23,98,650,2014,0,9
Yards per Pass Attempt,0,24,98,642,2015,0,6
Yards per Pass Attempt,0,25,98,628,2014,0,29
Yards per Pass Attempt,0,26,98,622,2015,0,2
Yards per Pass Attempt,0,27,98,622,2015,0,21
Yards per Pass Attempt,0,28,1536,622,2016,0,24
Yards per Pass Attempt,0,29,98,614,2014,0,8
Yards per Pass Attempt,0,30,98,588,2014,0,26
Yards per Pass Attempt,0,31,98,583,2015,0,22
Yards per Pass Attempt,0,32,1536,569,2016,0,24
Yards per Pass Attempt,0,33,1536,567,2016,0,9
Yards per Pass Attempt,0,34,911,510,2014,0,25
Yards per Pass Attempt,0,35,1536,506,2015,0,25
Yards per Pass Attempt,0,36,98,504,2015,0,26
Yards per Pass Attempt,0,37,1536,497,2016,0,4
Yards per Pass Attempt,0,38,98,491,2014,0,1
Yards per Pass Attempt,0,39,1536,469,2016,0,17
Yards per Pass Attempt,0,40,1536,464,2016,0,25
Yards per Pass Attempt,0,41,98,463,2015,0,5
Yards per Pass Attempt,0,42,1536,412,2016,0,27
Yards per Pass Attempt,0,43,98,368,2014,0,26
Yards per Pass Attempt,0,44,1536,233,2016,0,19
Passing Touchdowns,0,0,98,3,2015,0,21
Passing Touchdowns,0,1,98,3,2015,0,22
Passing Touchdowns,0,2,1536,3,2016,0,3
Passing Touchdowns,0,3,98,2,2014,0,25
Passing Touchdowns,0,4,98,2,2014,0,26
Passing Touchdowns,0,5,98,2,2015,0,10
Passing Touchdowns,0,6,1536,2,2016,0,26
Passing Touchdowns,0,7,1536,2,2016,0,7
Passing Touchdowns,0,8,1536,2,2016,0,25
Passing Touchdowns,0,9,1536,2,2016,0,24
Passing Touchdowns,0,10,98,1,2014,0,23
Passing Touchdowns,0,11,98,1,2014,0,18
Passing Touchdowns,0,12,98,1,2014,0,8
Passing Touchdowns,0,13,98,1,2014,0,29
Passing Touchdowns,0,14,98,1,2014,0,21
Passing Touchdowns,0,15,1536,1,2014,0,21
Passing Touchdowns,0,16,98,1,2014,0,24
Passing Touchdowns,0,17,911,1,2014,0,24
Passing Touchdowns,0,18,911,1,2014,0,25
Passing Touchdowns,0,19,1536,1,2015,0,24
Passing Touchdowns,0,20,98,1,2015,0,2
Passing Touchdowns,0,21,98,1,2015,0,15
Passing Touchdowns,0,22,98,1,2015,0,24
Passing Touchdowns,0,23,98,1,2015,0,9
Passing Touchdowns,0,24,98,1,2015,0,25
Passing Touchdowns,0,25,98,1,2015,0,17
Passing Touchdowns,0,26,98,1,2015,0,26
Passing Touchdowns,0,27,98,1,2015,0,30
Passing Touchdowns,0,28,1536,1,2015,0,25
Passing Touchdowns,0,29,1536,1,2016,0,24
Passing Touchdowns,0,30,1536,1,2016,0,1
Passing Touchdowns,0,31,1536,1,2016,0,26
Passing Touchdowns,0,32,1536,1,2016,0,17
Passing Touchdowns,0,33,1536,1,2016,0,25
Passing Touchdowns,0,34,1536,1,2016,0,14
Times Sacked,0,0,98,7,2014,0,29
Times Sacked,0,1,911,7,2014,0,24
Times Sacked,0,2,98,7,2015,0,10
Times Sacked,0,3,1536,7,2016,0,27
Times Sacked,0,4,98,5,2014,0,23
Times Sacked,0,5,98,5,2014,0,21
Times Sacked,0,6,98,4,2014,0,20
Times Sacked,0,7,98,4,2015,0,15
Times Sacked,0,8,98,4,2015,0,6
Times Sacked,0,9,1536,4,2016,0,16
Times Sacked,0,10,98,3,2014,0,8
Times Sacked,0,11,98,3,2014,0,9
Times Sacked,0,12,98,3,2014,0,24
Times Sacked,0,13,98,3,2014,0,1
Times Sacked,0,14,98,3,2014,0,26
Times Sacked,0,15,98,3,2015,0,24
Times Sacked,0,16,98,3,2015,0,21
Times Sacked,0,17,1536,3,2016,0,26
Times Sacked,0,18,1536,3,2016,0,14
Times Sacked,0,19,98,2,2014,0,18
Times Sacked,0,20,98,2,2014,0,7
Times Sacked,0,21,98,2,2014,0,26
Times Sacked,0,22,98,2,2015,0,2
Times Sacked,0,23,98,2,2015,0,5
Times Sacked,0,24,98,2,2015,0,24
Times Sacked,0,25,98,2,2015,0,26
Times Sacked,0,26,98,2,2015,0,25
Times Sacked,0,27,1536,2,2016,0,24
Times Sacked,0,28,1536,2,2016,0,9
Times Sacked,0,29,1536,2,2016,0,19
Times Sacked,0,30,98,1,2014,0,25
Times Sacked,0,31,911,1,2014,0,25
Times Sacked,0,32,98,1,2015,0,9
Times Sacked,0,33,98,1,2015,0,26
Times Sacked,0,34,1536,1,2016,0,3
Times Sacked,0,35,1536,1,2016,0,7
Times Sacked,0,36,1536,1,2016,0,26
Times Sacked,0,37,1536,1,2016,0,4
Times Sacked,0,38,1536,1,2016,0,25
Times Sacked,0,39,1536,1,2016,0,24
Rushing Attempts,0,0,1864,31,2015,0,15
Rushing Attempts,0,1,1864,31,2015,0,22
Rushing Attempts,0,2,1864,30,2016,0,25
Rushing Attempts,0,3,1864,29,2015,0,21
Rushing Attempts,0,4,1864,28,2014,0,20
Rushing Attempts,0,5,1864,27,2014,0,23
Rushing Attempts,0,6,1864,27,2014,0,9
Rushing Attempts,0,7,1864,27,2016,0,26
Rushing Attempts,0,8,1864,27,2016,0,17
Rushing Attempts,0,9,831,26,2014,0,7
Rushing Attempts,0,10,1864,26,2015,0,17
Rushing Attempts,0,11,1864,26,2016,0,24
Rushing Attempts,0,12,1864,25,2016,0,9
Rushing Attempts,0,13,1864,24,2014,0,13
Rushing Attempts,0,14,1864,23,2016,0,1
Rushing Attempts,0,15,1864,22,2014,0,25
Rushing Attempts,0,16,1864,22,2015,0,26
Rushing Attempts,0,17,1864,22,2016,0,7
Rushing Attempts,0,18,1864,21,2014,0,8
Rushing Attempts,0,19,1864,21,2014,0,24
Rushing Attempts,0,20,1864,21,2015,0,5
Rushing Attempts,0,21,1864,21,2015,0,9
Rushing Attempts,0,22,3272,21,2015,0,30
Rushing Attempts,0,23,1864,21,2015,0,25
Rushing Attempts,0,24,1864,21,2016,0,3
Rushing Attempts,0,25,1864,20,2016,0,4
Rushing Attempts,0,26,1864,19,2014,0,29
Rushing Attempts,0,27,1864,19,2015,0,2
Rushing Attempts,0,28,1864,19,2015,0,6
Rushing Attempts,0,29,1864,18,2014,0,26
Rushing Attempts,0,30,1864,18,2014,0,1
Rushing Attempts,0,31,1864,18,2015,0,10
Rushing Attempts,0,32,1864,18,2016,0,26
Rushing Attempts,0,33,1864,18,2016,0,24
Rushing Attempts,0,34,1864,18,2016,0,25
Rushing Attempts,0,35,1864,17,2014,0,18
Rushing Attempts,0,36,1864,17,2014,0,25
Rushing Attempts,0,37,1864,17,2015,0,26
Rushing Attempts,0,38,1864,17,2016,0,27
Rushing Attempts,0,39,1864,16,2015,0,24
Rushing Attempts,0,40,1951,16,2016,0,1
Rushing Attempts,0,41,1864,15,2014,0,24
Rushing Attempts,0,42,1864,14,2015,0,25
Rushing Attempts,0,43,1864,14,2016,0,16
Rushing Attempts,0,44,1864,12,2014,0,21
Rushing Attempts,0,45,3272,12,2015,0,17
Rushing Attempts,0,46,1864,11,2014,0,26
Rushing Attempts,0,47,1864,11,2016,0,14
Rushing Attempts,0,48,3272,10,2015,0,21
Rushing Attempts,0,49,1864,10,2015,0,30
Rushing Attempts,0,50,1864,9,2015,0,24
Rushing Attempts,0,51,3272,9,2015,0,24
Rushing Attempts,0,52,4071,9,2016,0,4
Rushing Attempts,0,53,1864,9,2016,0,19
Rushing Attempts,0,54,3272,8,2015,0,15
Rushing Attempts,0,55,1836,8,2016,0,1
Rushing Attempts,0,56,1536,8,2016,0,25
Rushing Attempts,0,57,831,7,2014,0,25
Rushing Attempts,0,58,831,7,2014,0,1
Rushing Attempts,0,59,1951,7,2016,0,25
Rushing Attempts,0,60,831,6,2014,0,23
Rushing Attempts,0,61,831,6,2014,0,8
Rushing Attempts,0,62,831,6,2014,0,29
Rushing Attempts,0,63,831,6,2014,0,24
Rushing Attempts,0,64,3272,6,2015,0,6
Rushing Attempts,0,65,3272,6,2015,0,22
Rushing Attempts,0,66,1536,6,2016,0,7
Rushing Attempts,0,67,1951,6,2016,0,25
Rushing Attempts,0,68,831,5,2014,0,18
Rushing Attempts,0,69,831,5,2014,0,21
Rushing Attempts,0,70,831,5,2014,0,26
Rushing Attempts,0,71,831,5,2014,0,9
Rushing Attempts,0,72,3272,5,2015,0,25
Rushing Attempts,0,73,3272,5,2015,0,25
Rushing Attempts,0,74,1536,5,2016,0,26
Rushing Attempts,0,75,1536,5,2016,0,3
Rushing Attempts,0,76,1536,5,2016,0,4
Rushing Attempts,0,77,4071,5,2016,0,17
Rushing Attempts,0,78,1536,5,2016,0,14
Rushing Attempts,0,79,1536,5,2016,0,9
Rushing Attempts,0,80,1951,5,2016,0,24
Rushing Attempts,0,81,1836,4,2014,0,8
Rushing Attempts,0,82,98,4,2014,0,7
Rushing Attempts,0,83,98,4,2014,0,9
Rushing Attempts,0,84,911,4,2014,0,24
Rushing Attempts,0,85,3272,4,2015,0,26
Rushing Attempts,0,86,98,4,2015,0,6
Rushing Attempts,0,87,98,4,2015,0,17
Rushing Attempts,0,88,98,4,2015,0,22
Rushing Attempts,0,89,1836,4,2015,0,26
Rushing Attempts,0,90,1536,4,2015,0,25
Rushing Attempts,0,91,1836,4,2016,0,3
Rushing Attempts,0,92,1951,4,2016,0,7
Rushing Attempts,0,93,1951,4,2016,0,27
Rushing Attempts,0,94,1536,4,2016,0,26
Rushing Attempts,0,95,1536,4,2016,0,17
Rushing Attempts,0,96,1836,4,2016,0,9
Rushing Attempts,0,97,1951,4,2016,0,9
Rushing Attempts,0,98,1536,4,2016,0,19
Rushing Attempts,0,99,1951,4,2016,0,19
Rushing Yards,0,0,1864,176,2015,0,22
Rushing Yards,0,1,1864,176,2016,0,17
Rushing Yards,0,2,1864,167,2015,0,17
Rushing Yards,0,3,1864,163,2016,0,16
Rushing Yards,0,4,1864,148,2016,0,1
Rushing Yards,0,5,1864,144,2015,0,2
Rushing Yards,0,6,1864,141,2015,0,15
Rushing Yards,0,7,1864,137,2016,0,24
Rushing Yards,0,8,1864,128,2014,0,25
Rushing Yards,0,9,1864,128,2016,0,25
Rushing Yards,0,10,1864,126,2015,0,25
Rushing Yards,0,11,1864,125,2015,0,9
Rushing Yards,0,12,1864,124,2016,0,26
Rushing Yards,0,13,1864,121,2015,0,10
Rushing Yards,0,14,1864,121,2016,0,3
Rushing Yards,0,15,1864,118,2014,0,26
Rushing Yards,0,16,1864,118,2015,0,5
Rushing Yards,0,17,1864,116,2015,0,26
Rushing Yards,0,18,831,108,2014,0,7
Rushing Yards,0,19,1864,105,2014,0,13
Rushing Yards,0,20,1864,104,2015,0,6
Rushing Yards,0,21,1864,98,2014,0,8
Rushing Yards,0,22,1864,97,2014,0,24
Rushing Yards,0,23,1864,93,2014,0,25
Rushing Yards,0,24,1864,90,2014,0,1
Rushing Yards,0,25,1864,90,2016,0,19
Rushing Yards,0,26,1864,88,2016,0,26
Rushing Yards,0,27,1864,87,2014,0,20
Rushing Yards,0,28,1864,85,2014,0,18
Rushing Yards,0,29,1864,84,2016,0,7
Rushing Yards,0,30,1864,83,2015,0,21
Rushing Yards,0,31,1864,80,2014,0,9
Rushing Yards,0,32,3272,77,2015,0,30
Rushing Yards,0,33,1864,77,2016,0,27
Rushing Yards,0,34,1864,76,2016,0,9
Rushing Yards,0,35,1864,73,2016,0,4
Rushing Yards,0,36,1864,71,2015,0,25
Rushing Yards,0,37,1864,71,2016,0,24
Rushing Yards,0,38,1864,70,2016,0,25
Rushing Yards,0,39,1864,62,2014,0,26
Rushing Yards,0,40,1864,59,2014,0,23
Rushing Yards,0,41,1864,59,2014,0,24
Rushing Yards,0,42,1536,52,2016,0,25
Rushing Yards,0,43,1864,51,2014,0,29
Rushing Yards,0,44,3272,49,2015,0,6
Rushing Yards,0,45,1864,49,2016,0,14
Rushing Yards,0,46,1536,48,2016,0,9
Rushing Yards,0,47,1864,46,2015,0,24
Rushing Yards,0,48,3272,45,2015,0,17
Rushing Yards,0,49,1864,45,2015,0,30
Rushing Yards,0,50,1864,42,2015,0,24
Rushing Yards,0,51,3272,41,2015,0,25
Rushing Yards,0,52,1836,39,2014,0,8
Rushing Yards,0,53,1536,36,2016,0,14
Rushing Yards,0,54,1536,36,2016,0,19
Rushing Yards,0,55,1864,35,2015,0,26
Rushing Yards,0,56,1951,35,2016,0,7
Rushing Yards,0,57,1951,35,2016,0,19
Rushing Yards,0,58,1536,34,2016,0,17
Rushing Yards,0,59,831,33,2014,0,9
Rushing Yards,0,60,911,33,2014,0,24
Rushing Yards,0,61,1836,33,2016,0,1
Rushing Yards,0,62,4071,33,2016,0,4
Rushing Yards,0,63,98,30,2014,0,18
Rushing Yards,0,64,1864,30,2014,0,21
Rushing Yards,0,65,831,28,2014,0,18
Rushing Yards,0,66,98,28,2015,0,6
Rushing Yards,0,67,1951,28,2016,0,25
Rushing Yards,0,68,1836,25,2015,0,26
Rushing Yards,0,69,1536,25,2016,0,27
Rushing Yards,0,70,1951,25,2016,0,1
Rushing Yards,0,71,1536,25,2016,0,4
Rushing Yards,0,72,1536,24,2016,0,26
Rushing Yards,0,73,1536,24,2016,0,3
Rushing Yards,0,74,1536,23,2015,0,24
Rushing Yards,0,75,98,23,2015,0,17
Rushing Yards,0,76,1536,23,2015,0,25
Rushing Yards,0,77,98,22,2014,0,8
Rushing Yards,0,78,1536,22,2016,0,7
Rushing Yards,0,79,4071,21,2016,0,17
Rushing Yards,0,80,1951,20,2016,0,24
Rushing Yards,0,81,3272,19,2015,0,22
Rushing Yards,0,82,1536,19,2016,0,24
Rushing Yards,0,83,98,18,2014,0,1
Rushing Yards,0,84,3272,18,2015,0,15
Rushing Yards,0,85,1836,18,2015,0,6
Rushing Yards,0,86,1836,17,2015,0,26
Rushing Yards,0,87,98,16,2014,0,20
Rushing Yards,0,88,433,16,2014,0,7
Rushing Yards,0,89,3272,16,2015,0,21
Rushing Yards,0,90,3272,16,2015,0,10
Rushing Yards,0,91,1836,16,2015,0,24
Rushing Yards,0,92,3272,16,2015,0,24
Rushing Yards,0,93,1951,16,2016,0,26
Rushing Yards,0,94,842,16,2016,0,17
Rushing Yards,0,95,3272,15,2015,0,26
Rushing Yards,0,96,1536,15,2016,0,25
Rushing Yards,0,97,831,14,2014,0,26
Rushing Yards,0,98,1951,14,2016,0,27
Rushing Yards,0,99,98,13,2014,0,7
Yards per Carry,0,0,1864,758,2015,0,2
Yards per Carry,0,1,1864,753,2014,0,25
Yards per Carry,0,2,1864,672,2015,0,10
Yards per Carry,0,3,1864,656,2014,0,26
Yards per Carry,0,4,1864,652,2016,0,17
Yards per Carry,0,5,1864,643,2016,0,1
Yards per Carry,0,6,1864,642,2015,0,17
Yards per Carry,0,7,1864,600,2015,0,25
Yards per Carry,0,8,1864,595,2015,0,9
Yards per Carry,0,9,1864,576,2016,0,3
Yards per Carry,0,10,1864,568,2015,0,22
Yards per Carry,0,11,1864,562,2015,0,5
Yards per Carry,0,12,1864,547,2015,0,6
Yards per Carry,0,13,1864,527,2015,0,26
