Staff_ID,Year,Role,Wins,Losses,Ties,Playoffs,Team
43,2014,Assistant Coach,5,11,0,None,8
43,2015,Assistant Coach,10,6,0,None,8
43,2016,Assistant Coach,6,10,0,None,8
44,2014,Strength Coordinator,5,11,0,None,8
44,2015,Strength Coordinator,11,6,0,Wild Card,6
44,2016,Strength Coordinator,7,9,0,None,6
45,2014,Head Coach,5,11,0,None,9
45,2015,Head Coach,4,12,0,None,9
45,2016,Offensive Coordinator,7,9,0,None,30
46,2014,Offensive Coordinator,5,11,0,None,9
46,2015,Offensive Coordinator,4,12,0,None,9
47,2014,Defensive Coordinator,5,11,0,None,9
48,2014,Assistant Coach,5,11,0,None,9
48,2015,Assistant Coach,4,12,0,None,9
48,2016,Offensive Coordinator,10,7,0,Wild Card,9
49,2014,Strength Coordinator,5,11,0,None,9
50,2014,Head Coach,10,6,0,None,10
50,2015,Head Coach,14,5,0,Won Conference,10
50,2016,Head Coach,13,5,0,Conference,10
51,2014,Offensive Coordinator,10,6,0,None,10
51,2015,Offensive Coordinator,14,5,0,Won Conference,10
51,2016,Offensive Coordinator,13,5,0,Conference,10
52,2014,Defensive Coordinator,10,6,0,None,10
52,2015,Defensive Coordinator,14,5,0,Won Conference,10
52,2016,Defensive Coordinator,13,5,0,Conference,10
53,2014,Assistant Coach,10,6,0,None,10
53,2015,Assistant Coach,14,5,0,Won Conference,10
53,2016,Defensive Coordinator,7,9,0,None,26
54,2014,Strength Coordinator,10,6,0,None,10
54,2015,Strength Coordinator,14,5,0,Won Conference,10
54,2016,Strength Coordinator,13,5,0,Conference,10
55,2014,Head Coach,5,11,0,None,11
56,2014,Offensive Coordinator,5,11,0,None,11
56,2015,Offensive Coordinator,6,10,0,None,11
56,2016,Offensive Coordinator,6,10,0,None,11
57,2014,Defensive Coordinator,5,11,0,None,11
57,2015,Defensive Coordinator,6,10,0,None,11
57,2016,Defensive Coordinator,6,10,0,None,11
58,2014,Assistant Coach,5,11,0,None,11
58,2015,Assistant Coach,6,10,0,None,11
58,2016,Assistant Coach,6,10,0,None,11
59,2014,Strength Coordinator,5,11,0,None,11
59,2015,Strength Coordinator,4,12,0,None,9
59,2016,Strength Coordinator,10,7,0,Wild Card,9
60,2014,Head Coach,9,7,0,None,12
60,2015,Head Coach,3,13,0,None,12
61,2014,Offensive Coordinator,9,7,0,None,12
61,2015,Offensive Coordinator,3,13,0,None,12
61,2016,Offensive Coordinator,8,8,0,None,12
62,2014,Defensive Coordinator,9,7,0,None,12
62,2015,Defensive Coordinator,3,13,0,None,12
62,2016,Defensive Coordinator,8,8,0,None,12
63,2014,Assistant Coach,9,7,0,None,12
63,2015,Assistant Coach,3,13,0,None,12
63,2016,Assistant Coach,8,8,0,None,12
64,2014,Strength Coordinator,9,7,0,None,12
65,2014,Head Coach,2,14,0,None,13
66,2014,Offensive Coordinator,2,14,0,None,13
66,2015,Offensive Coordinator,8,8,0,None,13
66,2016,Offensive Coordinator,10,8,0,Division,13
67,2014,Defensive Coordinator,2,14,0,None,13
67,2015,Defensive Coordinator,8,8,0,None,13
67,2016,Defensive Coordinator,10,8,0,Division,13
68,2014,Assistant Coach,2,14,0,None,13
68,2015,Defensive Coordinator,8,8,0,None,31
68,2016,Defensive Coordinator,8,9,0,Wild Card,31
69,2014,Strength Coordinator,2,14,0,None,13
69,2015,Strength Coordinator,8,8,0,None,13
69,2016,Strength Coordinator,10,8,0,Division,13
70,2014,Head Coach,5,11,0,None,14
71,2014,Offensive Coordinator,5,11,0,None,14
71,2015,Offensive Coordinator,10,7,0,Wild Card,14
72,2014,Defensive Coordinator,5,11,0,None,14
72,2015,Defensive Coordinator,10,7,0,Wild Card,14
72,2016,Defensive Coordinator,9,7,0,None,14
73,2014,Assistant Coach,5,11,0,None,14
73,2015,Assistant Coach,10,7,0,Wild Card,14
73,2016,Assistant Coach,8,8,0,None,28
74,2014,Strength Coordinator,5,11,0,None,14
74,2015,Strength Coordinator,10,7,0,Wild Card,14
74,2016,Strength Coordinator,9,7,0,None,14
75,2014,Head Coach,11,7,0,Division,15
76,2014,Offensive Coordinator,11,7,0,Division,15
77,2014,Defensive Coordinator,11,7,0,Division,15
77,2015,Defensive Coordinator,4,12,0,None,15
77,2016,Defensive Coordinator,7,9,0,None,15
78,2014,Assistant Coach,11,7,0,Division,15
78,2015,Assistant Coach,4,12,0,None,15
78,2016,Assistant Coach,7,9,0,None,15
79,2014,Strength Coordinator,11,7,0,Division,15
80,2014,Head Coach,8,8,0,None,16
80,2015,Head Coach,8,8,0,None,16
80,2016,Head Coach,5,10,1,None,16
81,2014,Offensive Coordinator,8,8,0,None,16
81,2015,Offensive Coordinator,8,8,0,None,16
81,2016,Offensive Coordinator,5,10,1,None,16
82,2014,Defensive Coordinator,8,8,0,None,16
82,2015,Defensive Coordinator,8,8,0,None,16
82,2016,Head Coach,17,2,0,Won Conference,4
83,2014,Assistant Coach,8,8,0,None,16
83,2015,Assistant Coach,8,8,0,None,16
83,2016,Defensive Coordinator,5,10,1,None,16
84,2014,Strength Coordinator,8,8,0,None,16
85,2014,Head Coach,7,9,0,None,17
85,2015,Head Coach,8,8,0,None,17
85,2016,Head Coach,1,15,0,None,17
86,2014,Offensive Coordinator,7,9,0,None,17
86,2015,Offensive Coordinator,8,8,0,None,17
86,2016,Offensive Coordinator,1,15,0,None,17
87,2014,Defensive Coordinator,7,9,0,None,17
87,2015,Defensive Coordinator,8,8,0,None,17
87,2016,Defensive Coordinator,1,15,0,None,17
88,2014,Assistant Coach,7,9,0,None,17
88,2015,Assistant Coach,8,8,0,None,17
88,2016,Assistant Coach,1,15,0,None,17
89,2014,Strength Coordinator,7,9,0,None,17
89,2015,Strength Coordinator,8,8,0,None,17
90,2014,Head Coach,7,9,0,None,18
90,2015,Head Coach,11,7,0,Division,18
90,2016,Head Coach,11,7,0,Division,18
91,2014,Offensive Coordinator,7,9,0,None,18
91,2015,Offensive Coordinator,11,7,0,Division,18
91,2016,Offensive Coordinator,11,7,0,Division,18
92,2014,Defensive Coordinator,7,9,0,None,18
92,2015,Defensive Coordinator,11,7,0,Division,18
92,2016,Defensive Coordinator,11,7,0,Division,18
93,2014,Assistant Coach,7,9,0,None,18
93,2015,Assistant Coach,11,7,0,Division,18
93,2016,Assistant Coach,11,7,0,Division,18
94,2014,Strength Coordinator,7,9,0,None,18
94,2015,Strength Coordinator,8,8,0,None,3
94,2016,Strength Coordinator,8,7,1,None,3
95,2014,Head Coach,18,1,0,Champion,19
95,2015,Head Coach,13,5,0,Conference,19
95,2016,Head Coach,17,2,0,Champion,19
96,2014,Offensive Coordinator,18,1,0,Champion,19
96,2015,Head Coach,10,7,0,Wild Card,14
96,2016,Head Coach,9,7,0,None,14
97,2014,Defensive Coordinator,18,1,0,Champion,19
97,2015,Defensive Coordinator,13,5,0,Conference,19
97,2016,Defensive Coordinator,17,2,0,Champion,19
98,2014,Assistant Coach,18,1,0,Champion,19
98,2015,Assistant Coach,13,5,0,Conference,19
98,2016,Assistant Coach,17,2,0,Champion,19
99,2014,Strength Coordinator,18,1,0,Champion,19
100,2014,Head Coach,11,7,0,Division,20
101,2014,Offensive Coordinator,11,7,0,Division,20
101,2015,Offensive Coordinator,14,6,0,Champion,20
101,2016,Offensive Coordinator,13,5,0,Conference,20
102,2014,Defensive Coordinator,11,7,0,Division,20
102,2015,Defensive Coordinator,14,6,0,Champion,20
102,2016,Defensive Coordinator,13,5,0,Conference,20
103,2014,Assistant Coach,11,7,0,Division,20
103,2015,Assistant Coach,14,6,0,Champion,20
103,2016,Assistant Coach,13,5,0,Conference,20
104,2014,Strength Coordinator,11,7,0,Division,20
104,2015,Strength Coordinator,14,6,0,Champion,20
104,2016,Strength Coordinator,13,5,0,Conference,20
105,2014,Head Coach,8,8,0,None,21
105,2015,Head Coach,7,9,0,None,21
105,2016,Head Coach,9,7,0,None,21
106,2014,Offensive Coordinator,8,8,0,None,21
106,2015,Offensive Coordinator,7,9,0,None,21
106,2016,Offensive Coordinator,9,7,0,None,21
107,2014,Defensive Coordinator,8,8,0,None,21
107,2015,Defensive Coordinator,7,9,0,None,21
107,2016,Defensive Coordinator,9,7,0,None,21
108,2014,Assistant Coach,8,8,0,None,21
108,2015,Defensive Coordinator,12,5,0,Division,2
108,2016,Defensive Coordinator,11,7,0,Division,2
109,2014,Strength Coordinator,8,8,0,None,21
109,2015,Strength Coordinator,7,9,0,None,21
109,2016,Strength Coordinator,9,7,0,None,21
110,2014,Head Coach,10,7,0,Wild Card,22
110,2015,Head Coach,7,9,0,None,22
110,2016,Head Coach,5,11,0,None,22
111,2014,Offensive Coordinator,10,7,0,Wild Card,22
111,2015,Offensive Coordinator,7,9,0,None,22
112,2014,Defensive Coordinator,10,7,0,Wild Card,22
112,2015,Defensive Coordinator,7,9,0,None,22
112,2016,Defensive Coordinator,5,11,0,None,22
113,2014,Assistant Coach,10,7,0,Wild Card,22
113,2015,Assistant Coach,7,9,0,None,22
113,2016,Assistant Coach,5,11,0,None,22
114,2014,Strength Coordinator,10,7,0,Wild Card,22
115,2014,Head Coach,9,7,0,None,23
116,2014,Offensive Coordinator,9,7,0,None,23
116,2015,Offensive Coordinator,9,7,0,None,23
116,2016,Offensive Coordinator,9,8,0,Wild Card,23
117,2014,Defensive Coordinator,9,7,0,None,23
117,2015,Defensive Coordinator,9,7,0,None,23
118,2014,Assistant Coach,9,7,0,None,23
118,2015,Assistant Coach,9,7,0,None,23
118,2016,Assistant Coach,9,8,0,Wild Card,23
119,2014,Strength Coordinator,9,7,0,None,23
120,2014,Head Coach,9,7,0,None,24
120,2015,Head Coach,9,7,0,None,24
120,2016,Head Coach,4,12,0,None,24
121,2014,Offensive Coordinator,9,7,0,None,24
121,2015,Offensive Coordinator,9,7,0,None,24
121,2016,Offensive Coordinator,4,12,0,None,24
122,2014,Defensive Coordinator,9,7,0,None,24
122,2015,Defensive Coordinator,9,7,0,None,24
122,2016,Defensive Coordinator,4,12,0,None,24
123,2014,Assistant Coach,9,7,0,None,24
123,2015,Assistant Coach,9,7,0,None,24
123,2016,Assistant Coach,4,12,0,None,24
124,2014,Strength Coordinator,9,7,0,None,24
124,2015,Strength Coordinator,9,7,0,None,24
124,2016,Strength Coordinator,4,12,0,None,24
125,2014,Head Coach,12,6,0,Division,25
125,2015,Head Coach,12,6,0,Conference,25
125,2016,Head Coach,7,9,0,None,25
126,2014,Offensive Coordinator,12,6,0,Division,25
126,2015,Offensive Coordinator,12,6,0,Conference,25
126,2016,Offensive Coordinator,7,9,0,None,25
127,2014,Defensive Coordinator,12,6,0,Division,25
127,2015,Defensive Coordinator,12,6,0,Conference,25
127,2016,Head Coach,7,9,0,None,7
128,2014,Assistant Coach,12,6,0,Division,25
128,2015,Assistant Coach,12,6,0,Conference,25
128,2016,Assistant Coach,7,9,0,None,25
129,2014,Strength Coordinator,12,6,0,Division,25
129,2015,Strength Coordinator,12,6,0,Conference,25
129,2016,Strength Coordinator,7,9,0,None,25
130,2014,Head Coach,5,11,0,None,26
131,2014,Offensive Coordinator,5,11,0,None,26
131,2015,Offensive Coordinator,10,8,0,Division,26
131,2016,Offensive Coordinator,7,9,0,None,26
132,2014,Defensive Coordinator,5,11,0,None,26
132,2015,Head Coach,8,8,0,None,13
132,2016,Head Coach,10,8,0,Division,13
133,2014,Assistant Coach,5,11,0,None,26
133,2015,Assistant Coach,10,8,0,Division,26
133,2016,Assistant Coach,7,9,0,None,26
134,2014,Strength Coordinator,5,11,0,None,26
134,2015,Strength Coordinator,10,8,0,Division,26
135,2014,Head Coach,14,4,0,Conference,27
135,2015,Head Coach,11,6,0,Wild Card,27
135,2016,Head Coach,11,6,0,Wild Card,27
136,2014,Offensive Coordinator,14,4,0,Conference,27
136,2015,Offensive Coordinator,11,6,0,Wild Card,27
136,2016,Offensive Coordinator,11,6,0,Wild Card,27
137,2014,Defensive Coordinator,14,4,0,Conference,27
137,2015,Defensive Coordinator,11,6,0,Wild Card,27
137,2016,Defensive Coordinator,11,6,0,Wild Card,27
138,2014,Assistant Coach,14,4,0,Conference,27
138,2015,Assistant Coach,11,6,0,Wild Card,27
138,2016,Assistant Coach,11,6,0,Wild Card,27
139,2014,Strength Coordinator,14,4,0,Conference,27
139,2015,Strength Coordinator,11,6,0,Wild Card,27
139,2016,Strength Coordinator,11,6,0,Wild Card,27
140,2014,Head Coach,10,7,0,Wild Card,28
141,2014,Offensive Coordinator,10,7,0,Wild Card,28
141,2015,Offensive Coordinator,10,8,0,Division,28
142,2014,Defensive Coordinator,10,7,0,Wild Card,28
142,2015,Defensive Coordinator,10,8,0,Division,28
142,2016,Defensive Coordinator,8,8,0,None,28
143,2014,Assistant Coach,10,7,0,Wild Card,28
143,2015,Assistant Coach,10,8,0,Division,28
144,2014,Strength Coordinator,10,7,0,Wild Card,28
144,2015,Strength Coordinator,10,8,0,Division,28
144,2016,Strength Coordinator,8,8,0,None,28
145,2014,Head Coach,14,5,0,Won Conference,29
145,2015,Head Coach,10,7,0,Wild Card,29
145,2016,Head Coach,7,9,0,None,29
146,2014,Offensive Coordinator,14,5,0,Won Conference,29
146,2015,Head Coach,10,8,0,Division,28
146,2016,Head Coach,8,8,0,None,28
147,2014,Defensive Coordinator,14,5,0,Won Conference,29
147,2015,Defensive Coordinator,10,7,0,Wild Card,29
147,2016,Defensive Coordinator,7,9,0,None,29
148,2014,Assistant Coach,14,5,0,Won Conference,29
148,2015,Assistant Coach,10,7,0,Wild Card,29
148,2016,Assistant Coach,7,9,0,None,29
149,2014,Strength Coordinator,14,5,0,Won Conference,29
149,2015,Strength Coordinator,10,7,0,Wild Card,29
149,2016,Strength Coordinator,7,9,0,None,29
150,2014,Head Coach,3,13,0,None,30
150,2015,Head Coach,0,16,0,None,30
151,2014,Offensive Coordinator,3,13,0,None,30
151,2015,Offensive Coordinator,0,16,0,None,30
152,2014,Defensive Coordinator,3,13,0,None,30
153,2014,Assistant Coach,3,13,0,None,30
153,2015,Assistant Coach,0,16,0,None,30
154,2014,Strength Coordinator,3,13,0,None,30
154,2015,Strength Coordinator,0,16,0,None,30
154,2016,Strength Coordinator,8,9,0,Wild Card,31
155,2014,Head Coach,11,7,0,Conference,31
155,2015,Head Coach,8,8,0,None,31
155,2016,Head Coach,8,9,0,Wild Card,31
156,2014,Offensive Coordinator,11,7,0,Conference,31
156,2015,Offensive Coordinator,8,8,0,None,31
156,2016,Offensive Coordinator,8,9,0,Wild Card,31
157,2014,Defensive Coordinator,11,7,0,Conference,31
157,2015,Head Coach,4,12,0,None,15
157,2016,Head Coach,7,9,0,None,15
158,2014,Assistant Coach,11,7,0,Conference,31
158,2015,Assistant Coach,8,8,0,None,31
158,2016,Assistant Coach,8,9,0,Wild Card,31
159,2014,Strength Coordinator,11,7,0,Conference,31
159,2015,Strength Coordinator,8,8,0,None,31
159,2016,Strength Coordinator,7,9,0,None,26
160,2015,Strength Coordinator,3,13,0,None,12
160,2016,Strength Coordinator,8,8,0,None,12
162,2016,Assistant Coach,7,9,0,None,30
163,2016,Assistant Coach,9,7,0,None,14
166,2015,Strength Coordinator,9,7,0,None,4
166,2016,Strength Coordinator,17,2,0,Won Conference,4
170,2015,Strength Coordinator,7,9,0,None,22
170,2016,Strength Coordinator,5,11,0,None,22
171,2015,Offensive Coordinator,13,5,0,Conference,19
171,2016,Offensive Coordinator,17,2,0,Champion,19
172,2015,Head Coach,14,6,0,Champion,20
172,2016,Head Coach,13,5,0,Conference,20
178,2016,Assistant Coach,10,7,0,Wild Card,9
180,2015,Strength Coordinator,6,10,0,None,11
180,2016,Strength Coordinator,6,10,0,None,11
182,2015,Strength Coordinator,8,8,0,None,16
182,2016,Strength Coordinator,5,10,1,None,16
184,2015,Assistant Coach,8,8,0,None,13
184,2016,Defensive Coordinator,7,9,0,None,7
185,2015,Offensive Coordinator,10,7,0,Wild Card,29
185,2016,Offensive Coordinator,7,9,0,None,29
189,2015,Defensive Coordinator,4,12,0,None,7
189,2016,Head Coach,8,8,0,None,12
191,2016,Assistant Coach,13,5,0,Conference,10
193,2015,Assistant Coach,4,12,0,None,7
193,2016,Assistant Coach,7,9,0,None,7
211,2016,Assistant Coach,9,7,0,None,21
219,2015,Head Coach,4,12,0,None,1
219,2016,Head Coach,5,11,0,None,1
220,2016,Strength Coordinator,7,9,0,None,7
222,2015,Defensive Coordinator,10,8,0,Division,26
222,2016,Head Coach,8,10,0,Division,0
229,2015,Strength Coordinator,10,6,0,None,8
229,2016,Strength Coordinator,6,10,0,None,8
230,2015,Head Coach,6,10,0,None,5
230,2016,Head Coach,5,11,0,None,5
234,2015,Head Coach,10,6,0,None,8
234,2016,Head Coach,6,10,0,None,8
236,2015,Strength Coordinator,11,7,0,Division,18
236,2016,Strength Coordinator,11,7,0,Division,18
241,2015,Assistant Coach,7,9,0,None,21
241,2016,Defensive Coordinator,7,9,0,None,30
247,2015,Strength Coordinator,4,12,0,None,15
247,2016,Strength Coordinator,7,9,0,None,15
249,2015,Head Coach,10,8,0,Division,26
249,2016,Head Coach,7,9,0,None,26
255,2016,Strength Coordinator,7,9,0,None,30
256,2015,Strength Coordinator,13,5,0,Conference,19
256,2016,Strength Coordinator,17,2,0,Champion,19
260,2016,Defensive Coordinator,5,11,0,None,1
261,2015,Defensive Coordinator,0,16,0,None,30
261,2016,Defensive Coordinator,9,8,0,Wild Card,23
262,2015,Strength Coordinator,9,7,0,None,23
262,2016,Strength Coordinator,9,8,0,Wild Card,23
263,2015,Head Coach,9,7,0,None,23
263,2016,Head Coach,9,8,0,Wild Card,23
267,2015,Strength Coordinator,4,12,0,None,1
267,2016,Strength Coordinator,5,11,0,None,1
268,2015,Head Coach,6,10,0,None,11
268,2016,Head Coach,6,10,0,None,11
271,2016,Offensive Coordinator,6,10,0,None,8
279,2016,Defensive Coordinator,10,7,0,Wild Card,9
289,2016,Defensive Coordinator,7,9,0,None,25
290,2016,Assistant Coach,5,10,1,None,16
296,2016,Offensive Coordinator,9,7,0,None,14
297,2016,Assistant Coach,10,8,0,Division,13
