Year,Game_ID,Week,Visitor_Score,Visitor_Team,Home_Score,Home_Team,Attendance,Weather,Temperature,Wind,Visitor_Quarterback,Home_Quarterback,Visitor_Running_Back,Home_Running_Back,Visitor_Receiver,Home_Receiver,Visitor_QB_Pass_Attempts,Visitor_QB_Completions,Visitor_QB_Passing_Yardage,Home_QB_Pass_Attempts,Home_QB_Completions,Home_QB_Passing_Yardage,Visiting_Leader_Rushes,Visiting_Leader_Rushing_Yardage,Home_Leader_Rushes,Home_Leader_Rushing_Yardage,Visiting_Leader_Receptions,Visiting_Leader_Receiving_Yardage,Home_Leader_Receptions,Home_Leader_Receiving_Yardage
2016,23,Ex. Season Week 3,17,12,13,5,56900,Sunny,47,4,1886,4021,1945,699,494,1598,20,15,84,33,13,147,22,82,6,96,6,46,2,65
2016,24,Ex. Season Week 3,27,13,20,4,57900,Sunny,60,1,154,3218,1797,3218,1686,281,19,10,132,30,16,184,15,52,3,28,5,111,4,100
2016,25,Ex. Season Week 3,23,14,10,7,59900,Sunny,68,3,1221,4020,2448,395,1135,3397,17,13,194,27,16,177,27,40,7,31,3,73,4,76
2016,26,Ex. Season Week 3,16,16,27,18,59000,Rain,56,9,550,1458,3305,1762,1586,1606,30,17,137,19,11,102,9,55,3,54,4,41,3,37
2016,27,Ex. Season Week 3,35,19,6,21,63600,Sunny,77,2,112,4055,998,1567,1716,1567,8,6,96,22,9,84,12,74,15,84,7,88,4,40
2016,28,Ex. Season Week 3,24,20,37,17,59000,Sunny,70,10,1345,4008,1674,1616,1562,4169,46,22,213,26,15,227,9,39,20,46,6,49,2,85
2016,29,Ex. Season Week 3,23,22,28,25,55000,Rain,50,14,1856,2394,686,4086,1008,236,28,15,158,26,15,263,4,14,9,34,5,73,5,86
2016,30,Ex. Season Week 3,3,23,12,27,57800,Sunny,65,6,142,53,142,3286,3427,4248,7,4,54,37,18,157,2,21,18,109,2,48,4,44
2016,31,Ex. Season Week 3,13,28,6,15,58400,Sunny,50,2,3211,1653,4075,632,1546,115,34,23,254,25,11,138,13,35,13,72,7,66,2,75
2016,32,Ex. Season Week 4,19,0,22,12,56700,Sunny,74,10,3209,1928,1951,1945,842,3428,29,16,146,33,17,251,14,67,24,72,2,44,7,107
2016,33,Ex. Season Week 4,13,1,40,3,58600,Sunny,62,7,185,4040,4092,1829,703,645,47,18,146,15,9,135,5,39,26,125,5,59,3,49
2016,34,Ex. Season Week 4,14,4,24,14,62600,Stormy,87,20,363,1221,1854,2448,3423,1254,11,9,116,29,23,201,13,34,17,49,4,76,4,41
2016,35,Ex. Season Week 4,13,5,29,6,58000,Sunny,71,1,4021,1751,699,1845,2627,3431,36,15,209,18,10,119,8,50,24,85,7,131,1,40
2016,36,Ex. Season Week 4,10,7,35,13,55700,Sunny,82,3,4020,3221,648,1797,1216,1151,26,11,68,25,18,235,2,15,21,97,7,57,6,95
2016,37,Ex. Season Week 4,13,9,17,30,51700,Sunny,61,3,4030,2407,3259,422,499,354,27,11,96,19,10,122,17,39,6,30,7,49,4,70
2016,38,Ex. Season Week 4,10,10,33,2,57500,Sunny,76,10,1461,741,1938,3284,3467,931,49,22,226,14,12,131,4,35,8,40,7,100,3,62
2016,39,Ex. Season Week 4,23,15,10,22,55700,Sunny,60,4,1653,1856,632,4108,1316,569,17,11,157,35,20,159,23,61,7,24,2,55,5,65
2016,40,Ex. Season Week 4,9,17,33,16,57100,Sunny,66,2,4008,550,1788,2427,4169,599,29,13,118,17,14,140,4,49,24,67,2,32,3,49
2016,41,Ex. Season Week 4,21,18,34,20,65300,Sunny,66,7,1557,1345,1532,1674,481,3434,19,16,163,20,15,214,10,58,24,107,5,70,4,55
2016,42,Ex. Season Week 4,17,21,24,23,57100,Sunny,88,1,4055,142,1567,1940,1317,556,28,12,115,10,9,142,13,49,18,49,8,105,4,81
2016,43,Ex. Season Week 4,7,25,33,28,61700,Sunny,64,7,2394,94,3296,4075,712,3361,28,12,98,15,11,99,8,38,20,99,3,37,2,46
2016,44,Ex. Season Week 4,34,24,23,11,53600,Sunny,49,11,3207,98,1235,2412,1295,405,21,15,191,30,19,177,23,76,19,96,4,57,5,55
2016,45,Ex. Season Week 4,10,26,22,31,54700,Stormy,94,15,3249,320,727,3272,3459,1632,15,11,146,25,16,134,11,20,11,63,6,86,5,42
2016,46,Ex. Season Week 4,19,27,13,19,61100,Sunny,54,9,53,4017,3286,3338,4248,4200,10,7,115,27,15,112,17,77,3,93,4,68,2,36
2016,47,Ex. Season Week 4,19,29,16,8,60500,Rain,87,20,164,370,1721,1397,2583,844,29,16,163,30,16,191,12,40,9,49,6,106,5,89
2016,48,Ex. Season Week 5,37,2,10,25,54500,Sunny,72,6,3216,2394,960,4086,2632,712,17,12,179,17,11,154,24,99,7,33,4,55,4,102
2016,49,Ex. Season Week 5,28,3,13,7,60400,Sunny,80,6,1488,4020,1829,395,477,1216,11,7,109,31,19,166,19,93,16,48,3,45,4,71
2016,50,Ex. Season Week 5,20,6,17,26,51800,Sunny,78,3,1751,1898,1845,2420,3431,192,24,12,137,26,16,211,23,168,11,62,4,59,5,72
2016,51,Ex. Season Week 5,3,30,17,0,55000,Sunny,97,4,2407,3209,3282,1951,2564,2634,22,12,107,13,9,130,5,33,29,77,5,68,2,69
2016,52,Ex. Season Week 5,15,8,31,4,59900,Sunny,60,9,370,4042,1109,1854,2042,1022,37,20,249,18,12,128,7,42,18,61,6,95,4,49
2016,53,Ex. Season Week 5,16,31,3,5,54800,Sunny,81,11,320,4021,1612,1598,771,1276,21,10,94,37,16,102,8,30,10,55,4,68,2,38
2016,54,Ex. Season Week 5,17,11,28,15,56300,Sunny,45,4,98,1653,3278,632,3438,115,41,24,281,21,13,184,12,85,16,63,9,72,3,84
2016,55,Ex. Season Week 5,13,12,10,9,57600,Sunny,64,2,1138,4030,1945,3259,1593,2628,27,18,127,25,11,54,20,60,10,42,7,86,3,24
2016,56,Ex. Season Week 5,16,13,24,1,52800,Sunny,73,1,154,1654,1797,4092,1151,493,27,11,160,12,8,133,12,43,9,74,8,163,2,98
2016,57,Ex. Season Week 5,10,14,13,29,67200,Sunny,64,8,1221,164,1221,1721,1517,2583,34,21,206,29,15,101,11,62,15,66,5,92,5,54
2016,58,Ex. Season Week 5,17,16,20,21,62300,Sunny,78,4,550,1092,2427,1567,3448,1752,28,24,237,14,11,111,10,34,22,106,7,125,3,66
2016,59,Ex. Season Week 5,45,19,31,18,58800,Rain,72,4,112,1458,998,1532,713,811,14,13,183,33,16,205,8,88,8,34,4,76,3,93
2016,60,Ex. Season Week 5,16,20,20,27,62100,Stormy,88,36,1345,376,1674,3286,1850,4248,25,15,198,32,22,231,16,37,19,82,4,91,10,80
2016,61,Ex. Season Week 5,20,22,13,24,57700,Sunny,48,2,1856,3207,2451,1837,569,255,19,12,136,40,20,233,9,37,11,53,5,84,3,91
2016,62,Ex. Season Week 5,28,23,31,17,53800,Sunny,66,2,3234,4008,1940,1616,1026,1585,34,20,256,23,12,131,10,57,18,42,4,99,5,60
2016,63,Ex. Season Week 5,16,28,23,10,62000,Sunny,47,4,3211,1461,4075,1938,547,3467,34,22,260,21,13,242,11,36,21,48,4,82,4,145
2016,64,Reg. Season Week 1,20,0,13,26,58100,Sunny,88,3,1536,3249,1864,2420,1864,3459,31,22,208,32,23,280,18,88,12,81,7,64,10,162
2016,65,Reg. Season Week 1,9,1,27,27,62400,Sunny,80,4,1654,53,947,3286,493,287,29,17,181,27,22,272,14,28,21,103,5,63,7,89
2016,66,Reg. Season Week 1,10,2,31,30,56200,Sunny,85,3,741,3242,3284,1601,3284,4278,35,20,180,39,23,208,8,46,12,73,5,51,4,70
2016,67,Reg. Season Week 1,24,3,31,19,68900,Sunny,62,1,1488,112,477,3307,366,3307,34,20,207,32,22,279,20,121,12,64,4,51,7,119
2016,68,Reg. Season Week 1,7,4,3,17,63900,Sunny,87,4,363,29,754,1788,1022,1877,43,29,306,28,20,226,17,62,6,20,8,144,6,74
2016,69,Reg. Season Week 1,3,5,30,15,61200,Sunny,62,1,1923,177,1598,1220,1639,862,30,14,167,32,20,165,9,70,24,79,6,84,5,52
2016,70,Reg. Season Week 1,20,8,26,23,60100,Rain,76,7,370,142,1109,3256,1770,3427,39,29,325,35,25,312,14,56,25,101,5,125,8,139
2016,71,Reg. Season Week 1,20,10,10,9,60700,Rain,65,11,1006,562,1938,1134,3467,614,29,20,160,51,30,305,13,62,10,19,6,64,7,87
2016,72,Reg. Season Week 1,3,11,24,31,61300,Sunny,61,4,98,1344,200,1344,1757,771,41,20,175,34,22,219,4,27,14,85,3,55,6,62
2016,73,Reg. Season Week 1,14,13,38,20,69300,Sunny,81,2,154,1662,913,731,3444,1850,39,21,229,26,21,290,7,38,16,49,4,82,7,126
2016,74,Reg. Season Week 1,13,14,16,16,65900,Rain,55,13,898,550,2448,3305,1496,599,37,26,161,46,26,383,6,57,19,103,11,66,8,158
2016,75,Reg. Season Week 1,17,21,51,18,67900,Sunny,71,1,1092,1458,1700,1532,1752,811,36,25,249,13,11,202,7,41,16,96,5,70,8,109
2016,76,Reg. Season Week 1,20,22,40,6,61800,Sunny,68,4,3245,1441,686,1808,1832,189,44,27,371,31,23,279,8,34,17,48,9,136,8,130
2016,77,Reg. Season Week 1,3,24,10,25,61600,Sunny,48,1,73,28,1837,165,994,238,28,16,165,27,18,254,19,45,27,109,3,60,5,112
2016,78,Reg. Season Week 1,9,28,26,12,63400,Sunny,76,4,94,1138,1739,1945,547,779,30,18,195,41,27,226,14,115,19,86,5,75,9,92
2016,79,Reg. Season Week 1,9,29,10,7,62400,Stormy,92,16,104,648,4090,1604,1644,747,41,27,263,30,20,261,17,32,12,37,10,117,3,95
2016,80,Reg. Season Week 2,8,1,34,23,56800,Sunny,66,1,1654,142,4092,3256,277,3427,26,12,109,29,20,262,13,36,25,80,3,31,7,96
2016,81,Reg. Season Week 2,30,3,24,0,65900,Rain,94,15,1488,1536,477,1864,571,1288,22,15,220,27,16,194,24,192,21,121,3,85,2,83
2016,82,Reg. Season Week 2,27,5,20,31,61500,Sunny,81,2,1923,1344,3270,3308,1183,3447,36,22,269,34,21,220,18,123,19,44,9,117,5,56
2016,83,Reg. Season Week 2,14,6,28,21,66400,Sunny,53,4,1441,1092,1808,1567,189,1752,41,20,226,24,20,212,9,45,15,61,5,87,4,67
2016,84,Reg. Season Week 2,30,7,24,2,63200,Rain,56,7,648,741,395,3284,284,931,25,12,101,43,25,248,4,62,20,98,4,47,6,120
2016,85,Reg. Season Week 2,17,8,23,4,66500,Sunny,58,11,370,363,1109,754,1770,1854,39,21,202,28,21,219,11,42,21,80,8,78,4,51
2016,86,Reg. Season Week 2,13,12,33,9,61200,Sunny,70,12,1138,562,1945,2423,1593,1799,59,28,286,24,18,219,8,10,19,85,10,147,5,93
2016,87,Reg. Season Week 2,24,15,27,11,56700,Rain,64,5,177,98,1220,1637,862,36,45,22,152,46,31,395,22,83,16,124,5,52,8,105
2016,88,Reg. Season Week 2,37,19,26,26,58100,Sunny,51,0,112,3249,3307,2420,1716,3459,42,28,401,36,21,243,11,43,20,92,8,146,6,81
2016,89,Reg. Season Week 2,41,20,16,17,64700,Rain,89,9,1662,29,731,1616,1331,321,31,26,298,44,30,417,13,61,3,25,10,126,7,124
2016,90,Reg. Season Week 2,13,22,35,18,63000,Sunny,50,2,3245,1557,686,1762,1832,811,42,22,215,28,21,271,5,34,25,77,5,59,9,126
2016,91,Reg. Season Week 2,3,25,14,14,65400,Sunny,71,2,28,898,165,1496,238,1517,34,20,198,37,23,231,19,48,12,54,9,105,6,78
2016,92,Reg. Season Week 2,18,24,17,16,66300,Sunny,81,10,73,550,1837,3305,1295,1586,17,12,136,31,21,158,33,141,17,76,7,86,5,52
2016,93,Reg. Season Week 2,19,27,13,13,59300,Sunny,72,8,53,154,3286,913,2556,1089,28,15,109,41,22,231,20,66,11,89,4,24,5,78
2016,94,Reg. Season Week 2,13,28,16,10,67400,Sunny,49,10,94,1006,1739,1938,547,4275,31,20,167,41,23,217,14,30,7,54,8,95,5,59
2016,95,Reg. Season Week 2,16,29,20,30,59400,Sunny,59,4,104,3242,4090,1469,945,354,34,19,126,35,23,188,17,26,12,27,6,67,7,78
2016,96,Reg. Season Week 3,24,0,21,7,64600,Rain,90,1,1536,648,1864,648,1819,557,36,26,254,22,16,193,22,84,10,75,8,93,4,46
2016,97,Reg. Season Week 3,17,1,20,9,58200,Stormy,74,36,1654,562,4092,1134,493,499,34,22,256,36,28,222,16,42,17,82,5,82,8,77
2016,98,Reg. Season Week 3,12,2,30,20,69700,Sunny,70,9,741,1662,3284,731,260,1331,43,22,159,28,17,244,10,58,14,43,5,47,6,90
2016,99,Reg. Season Week 3,10,4,6,5,66200,Sunny,79,4,363,1923,754,699,3423,1183,19,12,93,31,21,195,26,55,15,39,3,27,10,119
2016,100,Reg. Season Week 3,13,8,17,14,67400,Sunny,76,7,370,898,1397,1496,1770,1544,42,27,301,33,23,192,4,20,18,90,9,138,6,79
2016,101,Reg. Season Week 3,27,10,30,25,64200,Sunny,57,2,1006,28,1550,165,4275,238,51,34,338,37,21,319,20,117,16,115,10,138,7,134
2016,102,Reg. Season Week 3,12,31,34,6,64300,Sunny,60,3,1344,1441,1344,1808,915,1673,42,21,116,27,20,230,12,67,14,89,3,38,6,84
2016,103,Reg. Season Week 3,17,12,13,30,61600,Sunny,62,1,1138,3242,1945,3282,779,4278,30,21,233,31,16,171,18,55,22,114,4,78,3,63
2016,104,Reg. Season Week 3,17,13,24,3,64600,Sunny,49,7,154,1488,913,477,1089,477,45,27,302,21,18,166,8,47,20,153,10,112,7,94
2016,105,Reg. Season Week 3,27,15,21,24,65400,Sunny,75,5,177,73,1220,1837,377,1295,34,26,366,31,25,239,19,70,12,104,9,185,4,66
2016,106,Reg. Season Week 3,21,16,24,11,59900,Sunny,48,4,550,98,3305,1637,599,405,44,30,259,27,21,235,20,88,23,146,7,90,6,65
2016,107,Reg. Season Week 3,28,19,30,28,66700,Sunny,49,4,112,94,3307,1739,1602,452,38,28,354,30,21,241,8,27,26,109,10,157,4,60
2016,108,Reg. Season Week 3,20,18,17,27,69300,Sunny,94,7,1557,53,1762,3286,811,287,39,24,261,33,21,228,26,82,13,94,6,110,2,48
2016,109,Reg. Season Week 3,24,21,20,17,63500,Sunny,67,9,4055,29,1700,1788,1317,1788,13,12,133,40,23,233,19,68,10,32,6,79,7,64
2016,110,Reg. Season Week 3,18,22,34,23,57500,Sunny,60,8,3245,142,686,3289,569,3427,46,24,278,21,14,162,15,34,16,102,11,133,6,71
2016,111,Reg. Season Week 3,0,26,27,29,65900,Sunny,61,2,1898,104,4111,4090,2534,1644,18,8,76,20,14,147,13,26,17,90,3,40,4,58
2016,112,Reg. Season Week 4,9,0,34,27,67900,Sunny,71,2,1536,53,1864,3286,842,287,34,14,140,30,18,225,17,77,20,73,4,64,6,108
2016,113,Reg. Season Week 4,16,2,41,19,67000,Sunny,66,4,741,112,917,3307,260,1716,27,9,67,28,23,335,12,68,19,64,3,27,8,161
2016,114,Reg. Season Week 4,17,30,21,3,66500,Sunny,41,1,3242,1488,3282,477,354,366,41,24,261,28,21,236,16,65,24,164,7,109,7,109
2016,115,Reg. Season Week 4,6,9,27,7,63300,Rain,61,4,562,648,1134,1604,1799,557,52,27,180,39,19,164,12,80,16,40,7,65,6,62
2016,116,Reg. Season Week 4,6,10,20,29,70000,Sunny,62,1,1006,164,1006,4090,4275,1644,41,23,212,29,20,144,9,92,17,52,7,54,5,60
2016,117,Reg. Season Week 4,16,11,14,8,63100,Sunny,70,0,98,370,1637,1109,1637,533,31,20,162,45,32,323,18,62,14,68,7,46,6,102
2016,118,Reg. Season Week 4,31,14,13,6,68900,Sunny,78,1,898,1751,1496,1808,1544,425,32,24,295,27,11,106,12,89,15,64,6,95,6,70
2016,119,Reg. Season Week 4,20,15,23,21,69700,Rain,46,8,177,1092,1220,1700,377,1317,40,26,266,39,29,305,13,111,10,48,10,138,12,123
2016,120,Reg. Season Week 4,13,16,20,22,60100,Sunny,62,0,550,3245,3305,686,599,1008,41,26,202,39,20,323,17,54,17,57,8,61,3,92
2016,121,Reg. Season Week 4,39,20,21,12,68000,Rain,77,6,1662,1138,731,1945,1850,779,20,16,269,39,22,335,26,108,7,45,7,182,12,231
2016,122,Reg. Season Week 4,23,23,28,31,63100,Sunny,76,7,142,1344,142,3308,3427,771,27,19,240,31,20,271,9,65,17,86,5,62,5,100
2016,123,Reg. Season Week 4,10,25,23,4,67900,Sunny,71,5,28,363,165,754,238,1022,39,26,271,26,15,178,9,22,20,70,12,124,4,61
2016,124,Reg. Season Week 4,13,24,31,1,55600,Sunny,72,12,73,1654,1837,4092,2538,277,29,16,221,21,17,189,13,55,24,90,3,63,4,77
2016,125,Reg. Season Week 4,20,26,13,17,55400,Sunny,69,8,3249,29,2420,1788,1605,321,33,20,226,46,27,241,14,86,9,17,3,83,7,110
2016,126,Reg. Season Week 5,16,0,20,24,64700,Rain,58,7,1536,73,1864,1837,842,1280,42,24,239,33,20,238,18,71,21,78,6,69,6,83
2016,127,Reg. Season Week 5,44,3,23,14,70000,Sunny,87,0,1488,898,477,1496,366,1544,22,13,174,33,20,229,24,119,13,112,5,64,4,94
2016,128,Reg. Season Week 5,28,4,21,26,63800,Sunny,80,5,363,3249,754,2420,1022,3459,21,10,110,39,26,338,28,146,13,35,5,85,5,93
2016,129,Reg. Season Week 5,10,5,24,29,68900,Sunny,79,0,1923,164,699,4090,1183,1644,40,23,222,27,18,167,19,117,20,30,8,109,4,70
2016,130,Reg. Season Week 5,10,7,56,18,68700,Sunny,53,1,648,1557,648,1762,747,353,43,24,154,30,26,365,8,58,9,107,6,73,11,169
2016,131,Reg. Season Week 5,20,9,17,21,70000,Sunny,47,1,562,1092,1134,1567,1799,1752,49,34,276,32,22,267,12,67,8,28,15,146,9,139
2016,132,Reg. Season Week 5,21,10,30,15,64700,Sunny,33,4,1006,177,1550,1220,4275,862,39,27,273,26,12,162,12,39,17,95,13,136,4,51
2016,133,Reg. Season Week 5,13,31,38,20,70000,Rain,56,7,1344,1662,1344,731,771,1562,14,8,132,22,15,178,5,28,20,62,4,101,4,59
2016,134,Reg. Season Week 5,17,13,13,28,65200,Sunny,55,0,154,94,1797,1739,1089,452,26,16,136,41,28,289,4,16,16,23,4,58,10,120
2016,135,Reg. Season Week 5,17,16,39,2,58500,Sunny,57,4,550,741,3305,917,599,260,45,26,271,25,20,250,14,93,14,64,9,100,5,119
2016,136,Reg. Season Week 5,24,19,17,6,67000,Sunny,80,3,112,1441,3307,1845,1602,1673,30,24,258,36,23,285,20,75,5,19,7,95,9,117
2016,137,Reg. Season Week 5,14,22,20,30,56000,Sunny,57,6,3245,3242,3245,3282,954,354,45,22,245,30,25,223,4,23,21,72,4,62,7,80
2016,138,Reg. Season Week 5,13,23,17,11,61900,Sunny,76,11,142,98,3256,1637,1248,36,28,18,148,37,25,298,17,85,25,67,5,50,7,136
2016,139,Reg. Season Week 5,3,25,30,27,68100,Sunny,60,0,28,53,459,3286,712,4215,33,19,262,18,13,173,12,69,16,77,4,87,5,88
2016,140,Reg. Season Week 6,10,1,38,0,58400,Sunny,57,11,1654,1536,925,1864,709,1819,13,6,86,16,14,187,5,41,23,148,3,41,5,74
2016,141,Reg. Season Week 6,41,3,13,22,66300,Sunny,49,2,1488,3245,1829,3245,571,954,28,18,205,42,23,226,23,125,5,52,3,48,5,69
2016,142,Reg. Season Week 6,24,4,14,24,70000,Rain,62,8,363,73,754,1837,1022,1837,31,17,183,34,16,148,21,88,25,93,5,77,5,63
2016,143,Reg. Season Week 6,17,7,21,5,61300,Sunny,49,11,648,1923,1604,699,284,1183,42,21,258,31,20,249,12,55,20,65,3,58,7,125
2016,144,Reg. Season Week 6,17,31,20,13,58600,Sunny,69,6,1344,154,3308,913,771,1089,39,25,279,30,20,206,13,50,19,97,7,103,4,59
2016,145,Reg. Season Week 6,44,11,20,12,65900,Rain,63,13,98,1138,1637,718,1529,779,24,18,202,51,22,331,18,46,11,60,4,78,4,96
2016,146,Reg. Season Week 6,7,14,34,30,64200,Sunny,44,8,898,3242,1496,1469,1254,354,26,15,93,31,23,263,4,29,19,81,4,55,5,91
2016,147,Reg. Season Week 6,17,16,20,19,69700,Sunny,60,8,550,112,3305,3307,599,1602,37,23,230,39,32,315,19,82,15,60,4,77,10,128
2016,148,Reg. Season Week 6,25,17,37,25,59700,Sunny,73,6,29,28,1788,165,1830,238,47,28,285,31,20,215,8,45,21,128,8,119,9,104
2016,149,Reg. Season Week 6,10,18,23,9,66500,Rain,46,13,1557,562,1557,1134,353,1799,49,24,344,26,17,232,4,40,20,60,9,121,4,100
2016,150,Reg. Season Week 6,26,20,24,23,68000,Sunny,72,9,1662,142,1662,3256,1562,883,35,19,250,27,19,233,9,75,24,114,5,60,3,53
2016,151,Reg. Season Week 6,23,21,9,10,70000,Sunny,37,11,1092,1006,1567,1550,1752,3467,30,21,312,43,29,244,18,51,9,24,12,159,10,106
2016,152,Reg. Season Week 6,31,27,28,26,58500,Rain,47,10,53,3249,3286,2420,287,3459,46,27,342,38,27,339,12,103,20,60,4,95,9,109
2016,153,Reg. Season Week 6,16,28,13,8,62500,Sunny,50,11,94,370,1739,1397,1739,4262,37,27,277,47,20,195,24,116,7,43,6,61,6,71
2016,154,Reg. Season Week 7,10,3,14,2,67400,Sunny,37,1,1488,741,477,3284,571,260,42,27,287,41,23,232,16,59,14,87,7,100,6,68
2016,155,Reg. Season Week 7,27,4,16,1,64000,Rain,56,8,363,1654,754,4092,1022,493,22,16,98,40,22,333,19,98,19,78,4,41,8,167
2016,156,Reg. Season Week 7,13,5,38,9,63100,Sunny,45,3,1923,562,1598,1134,1639,1134,33,23,205,28,19,231,6,52,20,79,8,84,3,53
2016,157,Reg. Season Week 7,24,6,20,16,60100,Rain,37,15,1441,550,1808,3305,425,1844,34,20,240,33,21,199,19,94,15,117,5,70,3,67
2016,158,Reg. Season Week 7,40,8,28,31,60500,Sunny,89,2,370,1344,1109,3308,4262,3447,24,14,189,49,29,448,22,187,11,43,2,54,8,141
2016,159,Reg. Season Week 7,41,10,37,18,68300,Sunny,61,7,1006,1557,1069,1532,4275,953,43,28,494,43,28,409,5,18,16,76,8,167,10,169
2016,160,Reg. Season Week 7,19,12,59,28,69300,Sunny,67,6,1138,94,4084,1739,779,547,34,17,210,23,20,296,17,48,13,91,2,57,8,205
2016,161,Reg. Season Week 7,27,13,20,11,64500,Rain,44,8,154,98,1797,1637,1089,36,26,16,203,52,33,388,6,51,13,24,4,70,10,193
2016,162,Reg. Season Week 7,13,15,15,7,64000,Sunny,77,12,177,648,1220,395,862,284,35,22,270,46,28,338,16,86,10,55,8,142,10,117
2016,163,Reg. Season Week 7,34,19,16,30,65400,Rain,46,16,112,3242,3307,3242,1602,354,27,21,285,30,23,223,19,66,6,40,6,118,4,60
2016,164,Reg. Season Week 7,14,21,27,29,70000,Sunny,65,4,1092,104,1092,4090,1752,2583,30,17,211,24,20,250,5,34,30,102,7,126,3,68
2016,165,Reg. Season Week 7,7,22,33,14,63800,Sunny,87,8,3245,898,686,1496,954,1496,58,33,295,26,19,262,5,17,17,80,4,67,7,78
2016,166,Reg. Season Week 7,14,25,17,26,55500,Stormy,73,38,28,3249,165,2420,238,192,42,28,279,39,21,200,25,85,15,42,8,136,7,66
