Year,Division,Place,Team,Wins,Losses,Ties,Note,Points_Scored,Points_Allowed,Conference_Wins,Conference_Losses,Conference_Ties,Division_Wins,Division_Losses,Division_Ties
2026,NC West,2,26,8,8,0,None,348,345,6,6,0,3,3,0
2026,NC West,3,24,7,9,0,None,297,367,5,7,0,3,3,0
2026,NC West,4,25,6,10,0,None,338,384,4,8,0,2,4,0
2025,AC North,1,2,11,5,0,Won Division,397,278,9,3,0,5,1,0
2025,AC North,2,30,11,5,0,Wild Card,369,336,9,3,0,4,2,0
2025,AC North,3,6,5,11,0,None,237,355,5,7,0,2,4,0
2025,AC North,4,22,4,12,0,None,325,397,3,9,0,1,5,0
2025,AC South,1,28,11,5,0,Won Division,417,389,7,5,0,5,1,0
2025,AC South,2,12,10,6,0,Wild Card,402,403,7,5,0,4,2,0
2025,AC South,3,11,8,8,0,None,339,292,6,6,0,3,3,0
2025,AC South,4,31,3,13,0,None,257,419,2,10,0,0,6,0
2025,AC East,1,3,10,6,0,Won Division,458,343,8,4,0,5,1,0
2025,AC East,2,19,7,9,0,None,345,418,7,5,0,4,2,0
2025,AC East,3,14,7,9,0,None,335,369,7,5,0,3,3,0
2025,AC East,4,16,6,10,0,None,355,404,2,10,0,0,6,0
2025,AC West,1,20,9,7,0,Won Division,374,328,8,4,0,5,1,0
2025,AC West,2,8,8,8,0,None,391,370,6,6,0,3,3,0
2025,AC West,3,23,6,10,0,None,357,380,5,7,0,2,4,0
2025,AC West,4,13,5,11,0,None,300,385,5,7,0,2,4,0
2025,NC North,1,9,10,6,0,Won Division,423,358,8,4,0,5,1,0
2025,NC North,2,10,10,6,0,Wild Card,420,347,8,4,0,4,2,0
2025,NC North,3,15,8,8,0,None,309,328,4,8,0,2,4,0
2025,NC North,4,5,8,8,0,None,302,337,5,7,0,1,5,0
2025,NC South,1,27,10,6,0,Won Division,426,360,8,4,0,4,2,0
2025,NC South,2,1,10,6,0,None,452,335,7,5,0,3,3,0
2025,NC South,3,4,8,8,0,None,355,330,6,6,0,4,2,0
2025,NC South,4,17,5,11,0,None,297,426,2,10,0,1,5,0
2025,NC East,1,18,12,4,0,Won Division,378,251,9,3,0,4,2,0
2025,NC East,2,21,11,5,0,Wild Card,344,288,8,4,0,5,1,0
2025,NC East,3,7,8,8,0,None,371,399,4,8,0,2,4,0
2025,NC East,4,29,3,12,1,None,256,375,1,10,1,1,5,0
2025,NC West,1,24,10,6,0,Won Division,345,331,8,4,0,3,3,0
2025,NC West,2,0,7,8,1,None,340,319,6,5,1,4,2,0
2025,NC West,3,25,7,9,0,None,352,359,5,7,0,3,3,0
2025,NC West,4,26,7,9,0,None,317,336,6,6,0,2,4,0
2024,AC North,1,30,12,4,0,Won Division,365,272,9,3,0,4,2,0
2024,AC North,2,2,8,8,0,Wild Card,371,333,7,5,0,4,2,0
2024,AC North,3,6,6,10,0,None,224,344,5,7,0,3,3,0
2024,AC North,4,22,5,11,0,None,349,359,3,9,0,1,5,0
2024,AC South,1,28,9,7,0,Won Division,344,343,8,4,0,4,2,0
2024,AC South,2,11,7,9,0,None,308,352,7,5,0,5,1,0
2024,AC South,3,31,6,10,0,None,267,381,4,8,0,2,4,0
2024,AC South,4,12,4,12,0,None,325,456,3,9,0,1,5,0
2024,AC East,1,3,11,4,1,Won Division,468,319,9,2,1,5,0,1
2024,AC East,2,14,10,5,1,Wild Card,404,307,7,4,1,3,2,1
2024,AC East,3,19,8,8,0,None,397,423,6,6,0,2,4,0
2024,AC East,4,16,7,9,0,None,321,339,5,7,0,1,5,0
2024,AC West,1,8,9,7,0,Won Division,348,286,8,4,0,5,1,0
2024,AC West,2,23,7,9,0,None,347,383,6,6,0,3,3,0
2024,AC West,3,13,6,10,0,None,264,355,5,7,0,2,4,0
2024,AC West,4,20,5,11,0,None,307,382,3,9,0,2,4,0
2024,NC North,1,9,13,3,0,Won Division,487,318,9,3,0,5,1,0
2024,NC North,2,10,12,4,0,Wild Card,450,295,8,4,0,4,2,0
2024,NC North,3,15,7,9,0,None,275,357,4,8,0,0,6,0
2024,NC North,4,5,6,10,0,None,304,386,5,7,0,3,3,0
2024,NC South,1,4,10,6,0,Won Division,416,337,7,5,0,4,2,0
2024,NC South,2,17,7,9,0,None,365,417,4,8,0,3,3,0
2024,NC South,3,27,7,9,0,None,298,318,5,7,0,3,3,0
2024,NC South,4,1,6,10,0,None,347,452,3,9,0,2,4,0
2024,NC East,1,18,13,3,0,Won Division,404,292,9,3,0,4,2,0
2024,NC East,2,21,10,6,0,Wild Card,365,334,7,5,0,1,5,0
2024,NC East,3,29,9,7,0,None,362,273,8,4,0,4,2,0
2024,NC East,4,7,8,8,0,None,394,372,7,5,0,3,3,0
2024,NC West,1,25,10,6,0,Won Division,366,227,7,5,0,5,1,0
2024,NC West,2,24,7,9,0,None,311,349,6,6,0,4,2,0
2024,NC West,3,0,7,9,0,None,345,394,4,8,0,2,4,0
2024,NC West,4,26,3,13,0,None,241,384,3,9,0,1,5,0
2023,AC North,1,30,9,7,0,Won Division,365,274,7,5,0,4,2,0
2023,AC North,2,6,8,8,0,None,326,370,5,7,0,4,2,0
2023,AC North,3,2,7,9,0,None,376,366,5,7,0,2,4,0
2023,AC North,4,22,6,10,0,None,334,397,4,8,0,2,4,0
2023,AC South,1,31,11,5,0,Won Division,378,294,9,3,0,5,1,0
2023,AC South,2,11,9,7,0,None,352,344,8,4,0,4,2,0
2023,AC South,3,12,6,10,0,None,398,379,4,8,0,1,5,0
2023,AC South,4,28,5,11,0,None,294,400,4,8,0,2,4,0
2023,AC East,1,14,9,7,0,Won Division,314,316,7,5,0,4,2,0
2023,AC East,2,16,9,7,0,Wild Card,354,372,9,3,0,4,2,0
2023,AC East,3,3,9,7,0,None,439,383,6,6,0,2,4,0
2023,AC East,4,19,9,7,0,None,356,404,6,6,0,2,4,0
2023,AC West,1,23,12,4,0,Won Division,399,270,9,3,0,5,1,0
2023,AC West,2,8,11,5,0,Wild Card,452,321,7,5,0,4,2,0
2023,AC West,3,20,7,9,0,None,408,387,5,7,0,3,3,0
2023,AC West,4,13,2,14,0,None,202,432,1,11,0,0,6,0
2023,NC North,1,10,8,8,0,Won Division,377,354,6,6,0,5,1,0
2023,NC North,2,15,8,8,0,None,286,329,7,5,0,3,3,0
2023,NC North,3,9,6,10,0,None,340,392,4,8,0,2,4,0
2023,NC North,4,5,4,12,0,None,290,396,3,9,0,2,4,0
2023,NC South,1,4,14,2,0,Won Division,441,254,10,2,0,6,0,0
2023,NC South,2,27,10,6,0,Wild Card,328,347,7,5,0,3,3,0
2023,NC South,3,17,6,10,0,None,411,448,4,8,0,2,4,0
2023,NC South,4,1,5,11,0,None,345,396,4,8,0,1,5,0
2023,NC East,1,7,10,6,0,Won Division,384,310,9,3,0,5,1,0
2023,NC East,2,29,10,6,0,Wild Card,384,276,7,5,0,4,2,0
2023,NC East,3,18,9,7,0,None,478,428,7,5,0,3,3,0
2023,NC East,4,21,5,11,0,None,364,430,3,9,0,0,6,0
2023,NC West,1,26,9,7,0,Won Division,347,385,7,5,0,3,3,0
2023,NC West,2,0,8,8,0,None,382,406,8,4,0,5,1,0
2023,NC West,3,25,8,8,0,None,357,318,5,7,0,1,5,0
2023,NC West,4,24,7,9,0,None,306,389,5,7,0,3,3,0
2022,AC North,1,22,11,5,0,Won Division,420,282,9,3,0,4,2,0
2022,AC North,2,2,10,6,0,Wild Card,389,288,8,4,0,4,2,0
2022,AC North,3,6,6,10,0,None,284,381,4,8,0,2,4,0
2022,AC North,4,30,3,13,0,None,249,434,3,9,0,2,4,0
2022,AC South,1,28,14,2,0,Won Division,488,278,10,2,0,5,1,0
2022,AC South,2,11,9,7,0,None,355,393,7,5,0,3,3,0
2022,AC South,3,31,9,7,0,None,438,407,6,6,0,3,3,0
2022,AC South,4,12,5,11,0,None,336,405,4,8,0,1,5,0
2022,AC East,1,3,11,5,0,Won Division,431,342,8,4,0,5,1,0
2022,AC East,2,14,11,5,0,Wild Card,445,290,7,5,0,4,2,0
2022,AC East,3,16,7,9,0,None,340,429,4,8,0,2,4,0
2022,AC East,4,19,5,11,0,None,326,326,3,9,0,1,5,0
2022,AC West,1,20,13,3,0,Won Division,552,374,9,3,0,5,1,0
2022,AC West,2,8,9,7,0,None,420,340,6,6,0,3,3,0
2022,AC West,3,23,7,9,0,None,344,410,6,6,0,3,3,0
2022,AC West,4,13,4,12,0,None,269,438,2,10,0,1,5,0
2022,NC North,1,9,10,6,0,Won Division,394,312,9,3,0,5,1,0
2022,NC North,2,10,7,9,0,None,346,409,5,7,0,3,3,0
2022,NC North,3,15,6,10,0,None,339,397,5,7,0,4,2,0
2022,NC North,4,5,1,15,0,None,265,476,1,11,0,0,6,0
2022,NC South,1,27,13,3,0,Won Division,468,269,10,2,0,5,1,0
2022,NC South,2,4,12,4,0,Wild Card,407,317,8,4,0,4,2,0
2022,NC South,3,17,7,9,0,None,344,443,5,7,0,2,4,0
2022,NC South,4,1,3,13,0,None,295,413,2,10,0,1,5,0
2022,NC East,1,29,12,4,0,Won Division,435,346,9,3,0,4,2,0
2022,NC East,2,18,8,8,0,None,423,408,6,6,0,3,3,0
2022,NC East,3,7,5,11,0,None,370,436,5,7,0,3,3,0
2022,NC East,4,21,4,12,0,None,290,429,3,9,0,2,4,0
2022,NC West,1,0,10,6,0,Won Division,393,323,8,4,0,4,2,0
2022,NC West,2,24,9,7,0,Wild Card,328,343,8,4,0,3,3,0
2022,NC West,3,26,8,8,0,None,337,364,7,5,0,4,2,0
2022,NC West,4,25,7,9,0,None,348,366,5,7,0,1,5,0
2021,AC North,1,2,9,7,0,Won Division,371,307,8,4,0,5,1,0
2021,AC North,2,30,9,7,0,Wild Card,408,369,7,5,0,4,2,0
2021,AC North,3,6,8,8,0,None,376,329,6,6,0,3,3,0
2021,AC North,4,22,5,11,0,None,335,400,4,8,0,0,6,0
2021,AC South,1,28,11,5,0,Won Division,325,226,8,4,0,4,2,0
2021,AC South,2,31,8,8,0,None,358,288,5,7,0,2,4,0
2021,AC South,3,11,7,9,0,None,324,342,6,6,0,3,3,0
2021,AC South,4,12,7,9,0,None,379,387,5,7,0,3,3,0
2021,AC East,1,14,11,5,0,Won Division,442,346,8,4,0,4,2,0
2021,AC East,2,3,8,8,0,None,371,378,6,6,0,3,3,0
2021,AC East,3,19,6,9,1,None,313,398,5,6,1,2,3,1
2021,AC East,4,16,5,10,1,None,316,372,4,7,1,2,3,1
2021,AC West,1,23,10,6,0,Won Division,373,355,7,5,0,4,2,0
2021,AC West,2,8,9,7,0,Wild Card,389,411,7,5,0,4,2,0
2021,AC West,3,20,8,8,0,None,404,366,6,6,0,3,3,0
2021,AC West,4,13,7,9,0,None,273,382,3,9,0,1,5,0
2021,NC North,1,10,14,2,0,Won Division,470,319,10,2,0,5,1,0
2021,NC North,2,9,13,3,0,Wild Card,393,238,9,3,0,4,2,0
2021,NC North,3,15,5,11,0,None,264,372,4,8,0,3,3,0
2021,NC North,4,5,1,15,0,None,170,440,0,12,0,0,6,0
2021,NC South,1,4,13,3,0,Won Division,433,281,9,3,0,4,2,0
2021,NC South,2,27,9,6,1,Wild Card,377,246,7,4,1,4,2,0
2021,NC South,3,1,6,10,0,None,332,400,4,8,0,2,4,0
2021,NC South,4,17,4,12,0,None,279,419,3,9,0,2,4,0
2021,NC East,1,7,9,7,0,Won Division,418,390,7,5,0,3,3,0
2021,NC East,2,21,8,7,1,None,448,406,7,4,1,4,2,0
2021,NC East,3,18,8,8,0,None,427,424,7,5,0,3,3,0
2021,NC East,4,29,6,10,0,None,346,426,5,7,0,2,4,0
2021,NC West,1,25,11,5,0,Won Division,406,379,7,5,0,5,1,0
2021,NC West,2,0,9,7,0,None,402,370,7,5,0,4,2,0
2021,NC West,3,24,5,11,0,None,262,354,4,8,0,2,4,0
2021,NC West,4,26,5,11,0,None,310,374,5,7,0,1,5,0
2020,AC North,1,30,10,6,0,Won Division,372,308,7,5,0,4,2,0
2020,AC North,2,22,10,6,0,None,413,371,6,6,0,1,5,0
2020,AC North,3,6,9,7,0,None,358,304,8,4,0,5,1,0
2020,AC North,4,2,8,8,0,None,403,349,7,5,0,2,4,0
2020,AC South,1,28,8,8,0,Won Division,295,320,7,5,0,4,2,0
2020,AC South,2,12,8,8,0,None,442,347,6,6,0,4,2,0
2020,AC South,3,31,7,9,0,None,320,407,5,7,0,2,4,0
2020,AC South,4,11,5,11,0,None,283,423,2,10,0,2,4,0
2020,AC East,1,19,10,6,0,Won Division,421,377,6,6,0,5,1,0
2020,AC East,2,3,10,6,0,Wild Card,410,345,7,5,0,3,3,0
2020,AC East,3,14,9,6,1,None,360,344,8,4,0,3,3,0
2020,AC East,4,16,2,14,0,None,254,437,1,11,0,1,5,0
2020,AC West,1,13,13,3,0,Won Division,503,275,9,3,0,4,2,0
2020,AC West,2,20,12,4,0,Wild Card,483,339,9,3,0,5,1,0
2020,AC West,3,8,9,7,0,None,395,339,6,6,0,3,3,0
2020,AC West,4,23,4,12,0,None,267,446,2,10,0,0,6,0
2020,NC North,1,10,15,1,0,Won Division,476,315,12,0,0,6,0,0
2020,NC North,2,15,9,7,0,Wild Card,324,319,7,5,0,2,4,0
2020,NC North,3,9,7,9,0,None,355,304,5,7,0,3,3,0
2020,NC North,4,5,3,13,0,None,203,431,2,10,0,1,5,0
2020,NC South,1,1,8,8,0,Won Division,321,361,7,5,0,3,3,0
2020,NC South,2,17,7,9,0,None,418,438,5,7,0,2,4,0
2020,NC South,3,4,6,10,0,None,371,386,6,6,0,4,2,0
2020,NC South,4,27,6,10,0,None,318,376,5,7,0,3,3,0
2020,NC East,1,21,9,7,0,Won Division,379,393,7,5,0,3,3,0
2020,NC East,2,29,9,7,0,Wild Card,423,339,7,5,0,3,3,0
2020,NC East,3,18,7,9,0,None,415,423,5,7,0,3,3,0
2020,NC East,4,7,7,9,0,None,332,368,6,6,0,3,3,0
2020,NC West,1,25,11,5,0,Won Division,359,338,8,4,0,4,2,0
2020,NC West,2,0,7,8,1,None,310,321,6,6,0,4,2,0
2020,NC West,3,26,5,11,0,None,292,408,4,8,0,2,4,0
2020,NC West,4,24,5,11,0,None,276,300,4,8,0,2,4,0
2019,AC North,1,6,8,8,0,Won Division,357,373,5,7,0,3,3,0
2019,AC North,2,2,8,8,0,None,323,330,5,7,0,3,3,0
2019,AC North,3,22,5,11,0,None,327,357,4,8,0,3,3,0
2019,AC North,4,30,5,11,0,None,285,437,4,8,0,3,3,0
2019,AC South,1,31,10,6,0,Won Division,452,333,7,5,0,5,1,0
2019,AC South,2,28,9,7,0,None,294,305,6,6,0,3,3,0
2019,AC South,3,12,8,8,0,None,377,368,5,7,0,2,4,0
2019,AC South,4,11,5,10,1,None,252,358,4,7,1,2,4,0
2019,AC East,1,3,12,4,0,Won Division,409,273,9,3,0,4,2,0
2019,AC East,2,16,11,5,0,Wild Card,402,306,8,4,0,5,1,0
2019,AC East,3,19,11,5,0,Wild Card,495,367,8,4,0,2,4,0
2019,AC East,4,14,9,7,0,None,370,344,7,5,0,1,5,0
2019,AC West,1,13,10,6,0,Won Division,325,328,8,4,0,4,2,0
2019,AC West,2,20,10,6,0,None,409,318,7,5,0,3,3,0
2019,AC West,3,23,6,9,1,None,328,373,4,7,1,3,3,0
2019,AC West,4,8,6,10,0,None,309,385,4,8,0,2,4,0
2019,NC North,1,10,15,1,0,Won Division,494,236,11,1,0,5,1,0
2019,NC North,2,9,10,6,0,Wild Card,372,302,8,4,0,4,2,0
2019,NC North,3,15,7,9,0,None,303,343,6,6,0,2,4,0
2019,NC North,4,5,2,14,0,None,249,394,2,10,0,1,5,0
2019,NC South,1,4,9,7,0,Won Division,304,280,7,5,0,4,2,0
2019,NC South,2,17,9,7,0,Wild Card,425,419,6,6,0,1,5,0
2019,NC South,3,27,8,8,0,None,342,313,8,4,0,5,1,0
2019,NC South,4,1,3,13,0,None,253,382,2,10,0,2,4,0
2019,NC East,1,21,9,7,0,Won Division,419,331,7,5,0,4,2,0
2019,NC East,2,18,8,8,0,None,415,468,6,6,0,3,3,0
2019,NC East,3,7,5,11,0,None,257,395,5,7,0,3,3,0
2019,NC East,4,29,5,11,0,None,306,434,4,8,0,2,4,0
2019,NC West,1,25,10,6,0,Won Division,335,293,7,5,0,4,2,0
2019,NC West,2,24,9,7,0,None,349,333,7,5,0,5,1,0
2019,NC West,3,26,8,8,0,None,361,326,6,6,0,2,4,0
2019,NC West,4,0,5,11,0,None,261,355,4,8,0,1,5,0
2018,AC North,1,22,8,8,0,Won Division,317,321,6,6,0,4,2,0
2018,AC North,2,2,7,9,0,None,301,295,5,7,0,2,4,0
2018,AC North,3,6,6,10,0,None,280,365,5,7,0,4,2,0
2018,AC North,4,30,2,14,0,None,288,413,2,10,0,2,4,0
2018,AC South,1,28,11,5,0,Won Division,379,327,9,3,0,6,0,0
2018,AC South,2,12,11,5,0,Wild Card,419,363,7,5,0,3,3,0
2018,AC South,3,31,8,7,1,None,380,319,5,6,1,3,3,0
2018,AC South,4,11,5,11,0,None,330,368,2,10,0,0,6,0
2018,AC East,1,3,13,3,0,Won Division,473,321,11,1,0,5,1,0
2018,AC East,2,16,12,4,0,Wild Card,392,308,8,4,0,2,4,0
2018,AC East,3,14,9,7,0,None,368,338,6,6,0,3,3,0
2018,AC East,4,19,7,8,1,None,361,412,4,7,1,2,4,0
2018,AC West,1,13,11,5,0,Won Division,368,304,8,4,0,5,1,0
2018,AC West,2,8,10,6,0,None,364,329,8,4,0,3,3,0
2018,AC West,3,23,8,8,0,None,323,404,6,6,0,4,2,0
2018,AC West,4,20,7,9,0,None,398,401,3,9,0,0,6,0
2018,NC North,1,15,9,7,0,Won Division,333,339,6,6,0,4,2,0
2018,NC North,2,9,9,7,0,None,344,287,8,4,0,3,3,0
2018,NC North,3,10,8,8,0,None,350,335,8,4,0,3,3,0
2018,NC North,4,5,5,11,0,None,253,321,5,7,0,2,4,0
2018,NC South,1,4,11,5,0,Won Division,426,291,8,4,0,5,1,0
2018,NC South,2,27,10,6,0,Wild Card,314,258,7,5,0,3,3,0
2018,NC South,3,1,10,6,0,None,349,295,7,5,0,3,3,0
2018,NC South,4,17,5,11,0,None,286,382,3,9,0,1,5,0
2018,NC East,1,18,10,6,0,Won Division,431,377,9,3,0,4,2,0
2018,NC East,2,29,7,9,0,None,339,336,7,5,0,4,2,0
2018,NC East,3,21,6,10,0,None,330,377,5,7,0,3,3,0
2018,NC East,4,7,3,13,0,None,205,401,1,11,0,1,5,0
2018,NC West,1,24,10,6,0,Won Division,358,331,8,4,0,5,1,0
2018,NC West,2,0,10,6,0,Wild Card,321,252,8,4,0,5,1,0
2018,NC West,3,25,4,12,0,None,252,305,3,9,0,0,6,0
2018,NC West,4,26,3,13,0,None,215,372,3,9,0,2,4,0
2017,AC North,1,2,11,5,0,Won Division,443,303,8,4,0,5,1,0
2017,AC North,2,6,11,5,0,Wild Card,369,331,8,4,0,4,2,0
2017,AC North,3,22,7,9,0,None,303,333,4,8,0,2,4,0
2017,AC North,4,30,4,12,0,None,265,388,3,9,0,1,5,0
2017,AC South,1,31,13,3,0,Won Division,403,340,9,3,0,5,1,0
2017,AC South,2,28,8,8,0,None,364,343,6,6,0,2,4,0
2017,AC South,3,12,7,9,0,None,396,346,5,7,0,3,3,0
2017,AC South,4,11,6,10,0,None,286,371,5,7,0,2,4,0
2017,AC East,1,19,12,4,0,Won Division,469,397,9,3,0,5,1,0
2017,AC East,2,3,10,6,0,Wild Card,449,340,7,5,0,4,2,0
2017,AC East,3,14,7,9,0,None,405,378,6,6,0,2,4,0
2017,AC East,4,16,2,14,0,None,257,456,2,10,0,1,5,0
2017,AC West,1,8,10,6,0,Won Division,345,343,7,5,0,4,2,0
2017,AC West,2,13,8,8,0,None,360,381,6,6,0,3,3,0
2017,AC West,3,20,8,8,0,None,466,379,6,6,0,3,3,0
2017,AC West,4,23,8,8,0,None,328,348,5,7,0,2,4,0
2017,NC North,1,10,11,5,0,Won Division,454,311,8,4,0,3,3,0
2017,NC North,2,9,10,6,0,Wild Card,326,265,8,4,0,3,3,0
2017,NC North,3,15,9,7,0,None,345,303,8,4,0,3,3,0
2017,NC North,4,5,4,12,0,None,271,370,4,8,0,3,3,0
2017,NC South,1,1,8,8,0,Won Division,318,396,6,6,0,3,3,0
2017,NC South,2,4,7,9,0,None,360,381,5,7,0,4,2,0
2017,NC South,3,27,7,9,0,None,333,380,5,7,0,3,3,0
2017,NC South,4,17,7,9,0,None,374,423,4,8,0,2,4,0
2017,NC East,1,29,10,6,0,Won Division,383,319,9,3,0,4,2,0
2017,NC East,2,21,9,7,0,Wild Card,432,343,8,4,0,4,2,0
2017,NC East,3,18,9,7,0,None,475,482,6,6,0,3,3,0
2017,NC East,4,7,3,13,0,None,247,379,2,10,0,1,5,0
2017,NC West,1,0,12,4,0,Won Division,406,308,9,3,0,5,1,0
2017,NC West,2,26,8,8,0,None,283,325,6,6,0,2,4,0
2017,NC West,3,24,6,10,0,None,295,341,5,7,0,3,3,0
2017,NC West,4,25,4,12,0,None,297,404,3,9,0,2,4,0
2016,AC North,1,2,10,6,0,Won Division,415,306,8,4,0,4,2,0
2016,AC North,2,6,7,9,0,None,295,360,6,6,0,4,2,0
2016,AC North,3,30,7,9,0,None,389,382,4,8,0,2,4,0
2016,AC North,4,22,5,11,0,None,294,433,3,9,0,2,4,0
2016,AC South,1,31,8,8,0,Won Division,322,368,7,5,0,5,1,0
2016,AC South,2,28,8,8,0,None,342,322,6,6,0,4,2,0
2016,AC South,3,12,8,8,0,None,344,409,6,6,0,2,4,0
2016,AC South,4,11,6,10,0,None,304,326,5,7,0,1,5,0
2016,AC East,1,19,14,2,0,Won Division,507,288,10,2,0,5,1,0
2016,AC East,2,14,9,7,0,None,327,330,5,7,0,2,4,0
2016,AC East,3,3,8,7,1,None,426,355,5,6,1,1,4,1
2016,AC East,4,16,5,10,1,None,317,328,4,7,1,3,2,1
2016,AC West,1,20,12,4,0,Won Division,441,342,10,2,0,5,1,0
2016,AC West,2,13,9,7,0,Wild Card,338,327,7,5,0,4,2,0
2016,AC West,3,23,9,7,0,Wild Card,337,312,6,6,0,2,4,0
2016,AC West,4,8,6,10,0,None,337,341,3,9,0,1,5,0
2016,NC North,1,10,12,4,0,Won Division,376,255,8,4,0,5,1,0
2016,NC North,2,9,10,6,0,Wild Card,296,265,7,5,0,2,4,0
2016,NC North,3,15,7,9,0,None,348,352,6,6,0,3,3,0
2016,NC North,4,5,5,11,0,None,215,359,3,9,0,2,4,0
2016,NC South,1,4,15,1,0,Won Division,387,214,11,1,0,5,1,0
2016,NC South,2,27,11,5,0,Wild Card,430,275,9,3,0,5,1,0
2016,NC South,3,1,5,11,0,None,269,367,5,7,0,1,5,0
2016,NC South,4,17,1,15,0,None,233,450,1,11,0,1,5,0
2016,NC East,1,18,10,6,0,Won Division,468,373,9,3,0,5,1,0
2016,NC East,2,21,9,7,0,None,345,341,7,5,0,3,3,0
2016,NC East,3,7,7,9,0,None,285,323,4,8,0,2,4,0
2016,NC East,4,29,7,9,0,None,258,287,5,7,0,2,4,0
2016,NC West,1,0,7,9,0,Won Division,334,335,7,5,0,4,2,0
2016,NC West,2,25,7,9,0,None,277,331,6,6,0,4,2,0
2016,NC West,3,26,7,9,0,None,263,307,5,7,0,3,3,0
2016,NC West,4,24,4,12,0,None,220,376,3,9,0,1,5,0
2015,AC North,1,2,12,4,0,Won Division,421,304,8,4,0,2,4,0
2015,AC North,2,6,11,5,0,Wild Card,396,289,8,4,0,5,1,0
2015,AC North,3,22,7,9,0,None,373,389,7,5,0,5,1,0
2015,AC North,4,30,0,16,0,None,151,485,0,12,0,0,6,0
2015,AC South,1,28,9,7,0,Won Division,326,288,6,6,0,4,2,0
2015,AC South,2,31,8,8,0,None,339,336,5,7,0,3,3,0
2015,AC South,3,11,6,10,0,None,314,328,4,8,0,3,3,0
2015,AC South,4,12,3,13,0,None,267,402,2,10,0,2,4,0
2015,AC East,1,19,12,4,0,Won Division,474,299,10,2,0,4,2,0
2015,AC East,2,14,10,6,0,Wild Card,338,333,9,3,0,3,3,0
2015,AC East,3,16,8,8,0,None,311,330,6,6,0,3,3,0
2015,AC East,4,3,8,8,0,None,353,371,6,6,0,2,4,0
2015,AC West,1,20,10,6,0,Won Division,387,359,7,5,0,4,2,0
2015,AC West,2,8,10,6,0,None,355,317,7,5,0,4,2,0
2015,AC West,3,23,9,7,0,None,347,293,5,7,0,0,6,0
2015,AC West,4,13,8,8,0,None,308,319,6,6,0,4,2,0
2015,NC North,1,10,12,4,0,Won Division,395,284,9,3,0,3,3,0
2015,NC North,2,5,6,10,0,None,275,315,6,6,0,4,2,0
2015,NC North,3,15,4,12,0,None,249,301,4,8,0,3,3,0
2015,NC North,4,9,4,12,0,None,211,300,3,9,0,2,4,0
2015,NC South,1,27,11,5,0,Won Division,321,276,10,2,0,5,1,0
2015,NC South,2,4,9,7,0,None,354,281,5,7,0,1,5,0
2015,NC South,3,17,8,8,0,None,348,390,7,5,0,5,1,0
2015,NC South,4,1,4,12,0,None,298,348,3,9,0,1,5,0
2015,NC East,1,18,10,6,0,Won Division,454,417,7,5,0,5,1,0
2015,NC East,2,29,10,6,0,Wild Card,352,281,7,5,0,3,3,0
2015,NC East,3,21,7,9,0,None,326,348,6,6,0,3,3,0
2015,NC East,4,7,4,12,0,None,244,448,2,10,0,1,5,0
2015,NC West,1,25,11,5,0,Won Division,389,268,9,3,0,5,1,0
