Category,Team/All_Teams,Place,Record,Year,Team
Total Yards Allowed,0,8,3797,2021,0
Total Yards Allowed,0,9,3804,2023,0
Pass Attempts,0,0,373,2019,0
Pass Attempts,0,1,364,2023,0
Pass Attempts,0,2,362,2022,0
Pass Attempts,0,3,356,2014,0
Pass Attempts,0,4,348,2021,0
Pass Attempts,0,5,344,2020,0
Pass Attempts,0,6,305,2016,0
Pass Attempts,0,7,298,2018,0
Pass Attempts,0,8,293,2015,0
Pass Attempts,0,9,293,2017,0
Rush Attempts,0,0,331,2017,0
Rush Attempts,0,1,315,2016,0
Rush Attempts,0,2,313,2018,0
Rush Attempts,0,3,305,2015,0
Rush Attempts,0,4,305,2022,0
Rush Attempts,0,5,291,2021,0
Rush Attempts,0,6,285,2020,0
Rush Attempts,0,7,282,2014,0
Rush Attempts,0,8,281,2023,0
Rush Attempts,0,9,277,2019,0
Points Scored,1,0,218,2018,1
Points Scored,1,1,215,2023,1
Points Scored,1,2,207,2021,1
Points Scored,1,3,200,2020,1
Points Scored,1,4,198,2017,1
Points Scored,1,5,186,2015,1
Points Scored,1,6,184,2022,1
Points Scored,1,7,168,2016,1
Points Scored,1,8,158,2019,1
Points Scored,1,9,150,2014,1
Points Allowed,1,0,184,2018,1
Points Allowed,1,1,217,2015,1
Points Allowed,1,2,225,2020,1
Points Allowed,1,3,229,2016,1
Points Allowed,1,4,238,2019,1
Points Allowed,1,5,247,2017,1
Points Allowed,1,6,247,2023,1
Points Allowed,1,7,250,2021,1
Points Allowed,1,8,253,2014,1
Points Allowed,1,9,258,2022,1
Passing Yards,1,0,2578,2017,1
Passing Yards,1,1,2570,2023,1
Passing Yards,1,2,2567,2022,1
Passing Yards,1,3,2510,2020,1
Passing Yards,1,4,2501,2015,1
Passing Yards,1,5,2493,2019,1
Passing Yards,1,6,2411,2021,1
Passing Yards,1,7,2365,2014,1
Passing Yards,1,8,2197,2016,1
Passing Yards,1,9,2136,2018,1
Passing Yards Allowed,1,0,2186,2020,1
Passing Yards Allowed,1,1,2237,2019,1
Passing Yards Allowed,1,2,2271,2016,1
Passing Yards Allowed,1,3,2272,2015,1
Passing Yards Allowed,1,4,2390,2018,1
Passing Yards Allowed,1,5,2420,2014,1
Passing Yards Allowed,1,6,2435,2017,1
Passing Yards Allowed,1,7,2436,2023,1
Passing Yards Allowed,1,8,2651,2021,1
Passing Yards Allowed,1,9,2723,2022,1
Rushing Yards,1,0,1373,2018,1
Rushing Yards,1,1,1086,2017,1
Rushing Yards,1,2,930,2016,1
Rushing Yards,1,3,875,2023,1
Rushing Yards,1,4,846,2021,1
Rushing Yards,1,5,810,2020,1
Rushing Yards,1,6,773,2019,1
Rushing Yards,1,7,705,2022,1
Rushing Yards,1,8,701,2015,1
Rushing Yards,1,9,613,2014,1
Rushing Yards Allowed,1,0,891,2018,1
Rushing Yards Allowed,1,1,1021,2021,1
Rushing Yards Allowed,1,2,1025,2017,1
Rushing Yards Allowed,1,3,1080,2015,1
Rushing Yards Allowed,1,4,1243,2020,1
Rushing Yards Allowed,1,5,1251,2022,1
Rushing Yards Allowed,1,6,1416,2016,1
Rushing Yards Allowed,1,7,1428,2019,1
Rushing Yards Allowed,1,8,1501,2023,1
Rushing Yards Allowed,1,9,1556,2014,1
Total Yards,1,0,3665,2017,1
Total Yards,1,1,3510,2018,1
Total Yards,1,2,3445,2023,1
Total Yards,1,3,3320,2020,1
Total Yards,1,4,3273,2022,1
Total Yards,1,5,3266,2019,1
Total Yards,1,6,3258,2021,1
Total Yards,1,7,3203,2015,1
Total Yards,1,8,3128,2016,1
Total Yards,1,9,2978,2014,1
Total Yards Allowed,1,0,3281,2018,1
Total Yards Allowed,1,1,3353,2015,1
Total Yards Allowed,1,2,3430,2020,1
Total Yards Allowed,1,3,3460,2017,1
Total Yards Allowed,1,4,3665,2019,1
Total Yards Allowed,1,5,3673,2021,1
Total Yards Allowed,1,6,3687,2016,1
Total Yards Allowed,1,7,3938,2023,1
Total Yards Allowed,1,8,3975,2022,1
Total Yards Allowed,1,9,3976,2014,1
Pass Attempts,1,0,428,2014,1
Pass Attempts,1,1,413,2021,1
Pass Attempts,1,2,411,2022,1
Pass Attempts,1,3,390,2015,1
Pass Attempts,1,4,389,2019,1
Pass Attempts,1,5,382,2023,1
Pass Attempts,1,6,371,2020,1
Pass Attempts,1,7,366,2016,1
Pass Attempts,1,8,360,2017,1
Pass Attempts,1,9,334,2018,1
Rush Attempts,1,0,268,2018,1
Rush Attempts,1,1,243,2017,1
Rush Attempts,1,2,227,2016,1
Rush Attempts,1,3,223,2015,1
Rush Attempts,1,4,220,2021,1
Rush Attempts,1,5,219,2020,1
Rush Attempts,1,6,199,2019,1
Rush Attempts,1,7,195,2023,1
Rush Attempts,1,8,183,2022,1
Rush Attempts,1,9,174,2014,1
Points Scored,2,0,276,2017,2
Points Scored,2,1,263,2015,2
Points Scored,2,2,259,2016,2
Points Scored,2,3,251,2020,2
Points Scored,2,4,243,2022,2
Points Scored,2,5,235,2023,2
Points Scored,2,6,231,2021,2
Points Scored,2,7,201,2019,2
Points Scored,2,8,188,2018,2
Points Scored,2,9,181,2014,2
Points Allowed,2,0,180,2022,2
Points Allowed,2,1,184,2018,2
Points Allowed,2,2,189,2017,2
Points Allowed,2,3,190,2015,2
Points Allowed,2,4,191,2016,2
Points Allowed,2,5,191,2021,2
Points Allowed,2,6,206,2019,2
Points Allowed,2,7,218,2020,2
Points Allowed,2,8,228,2023,2
Points Allowed,2,9,250,2014,2
Passing Yards,2,0,2615,2021,2
Passing Yards,2,1,2591,2023,2
Passing Yards,2,2,2521,2020,2
Passing Yards,2,3,2495,2022,2
Passing Yards,2,4,2442,2018,2
Passing Yards,2,5,2433,2019,2
Passing Yards,2,6,2370,2014,2
Passing Yards,2,7,2125,2015,2
Passing Yards,2,8,2056,2016,2
Passing Yards,2,9,1942,2017,2
Passing Yards Allowed,2,0,1961,2021,2
Passing Yards Allowed,2,1,2084,2014,2
Passing Yards Allowed,2,2,2218,2016,2
Passing Yards Allowed,2,3,2219,2020,2
Passing Yards Allowed,2,4,2243,2018,2
Passing Yards Allowed,2,5,2254,2015,2
Passing Yards Allowed,2,6,2256,2019,2
Passing Yards Allowed,2,7,2347,2022,2
Passing Yards Allowed,2,8,2508,2023,2
Passing Yards Allowed,2,9,2699,2017,2
Rushing Yards,2,0,1476,2017,2
Rushing Yards,2,1,1418,2015,2
Rushing Yards,2,2,1228,2016,2
Rushing Yards,2,3,1216,2023,2
Rushing Yards,2,4,1068,2021,2
Rushing Yards,2,5,1037,2020,2
Rushing Yards,2,6,980,2022,2
Rushing Yards,2,7,960,2018,2
Rushing Yards,2,8,957,2014,2
Rushing Yards,2,9,879,2019,2
Rushing Yards Allowed,2,0,735,2017,2
Rushing Yards Allowed,2,1,791,2022,2
Rushing Yards Allowed,2,2,901,2020,2
Rushing Yards Allowed,2,3,965,2021,2
Rushing Yards Allowed,2,4,972,2023,2
Rushing Yards Allowed,2,5,1010,2018,2
Rushing Yards Allowed,2,6,1045,2015,2
Rushing Yards Allowed,2,7,1057,2014,2
Rushing Yards Allowed,2,8,1066,2019,2
Rushing Yards Allowed,2,9,1076,2016,2
Total Yards,2,0,3808,2023,2
Total Yards,2,1,3684,2021,2
Total Yards,2,2,3559,2020,2
Total Yards,2,3,3543,2015,2
Total Yards,2,4,3475,2022,2
Total Yards,2,5,3419,2017,2
Total Yards,2,6,3403,2018,2
Total Yards,2,7,3328,2014,2
Total Yards,2,8,3313,2019,2
Total Yards,2,9,3284,2016,2
Total Yards Allowed,2,0,2926,2021,2
Total Yards Allowed,2,1,3121,2020,2
Total Yards Allowed,2,2,3139,2022,2
Total Yards Allowed,2,3,3141,2014,2
Total Yards Allowed,2,4,3253,2018,2
Total Yards Allowed,2,5,3295,2016,2
Total Yards Allowed,2,6,3300,2015,2
Total Yards Allowed,2,7,3322,2019,2
Total Yards Allowed,2,8,3435,2017,2
Total Yards Allowed,2,9,3480,2023,2
Pass Attempts,2,0,415,2014,2
Pass Attempts,2,1,388,2021,2
Pass Attempts,2,2,368,2020,2
Pass Attempts,2,3,366,2023,2
Pass Attempts,2,4,365,2018,2
Pass Attempts,2,5,358,2022,2
Pass Attempts,2,6,354,2019,2
Pass Attempts,2,7,330,2015,2
Pass Attempts,2,8,328,2017,2
Pass Attempts,2,9,326,2016,2
Rush Attempts,2,0,338,2017,2
Rush Attempts,2,1,323,2015,2
Rush Attempts,2,2,302,2016,2
Rush Attempts,2,3,290,2022,2
Rush Attempts,2,4,288,2023,2
Rush Attempts,2,5,275,2018,2
Rush Attempts,2,6,270,2021,2
Rush Attempts,2,7,263,2020,2
Rush Attempts,2,8,262,2019,2
Rush Attempts,2,9,253,2014,2
Points Scored,3,0,295,2018,3
Points Scored,3,1,280,2017,3
Points Scored,3,2,274,2023,3
Points Scored,3,3,269,2022,3
Points Scored,3,4,266,2016,3
Points Scored,3,5,256,2020,3
Points Scored,3,6,255,2019,3
Points Scored,3,7,231,2021,3
Points Scored,3,8,220,2015,3
Points Scored,3,9,193,2014,3
Points Allowed,3,0,170,2019,3
Points Allowed,3,1,200,2018,3
Points Allowed,3,2,203,2014,3
Points Allowed,3,3,212,2017,3
Points Allowed,3,4,213,2022,3
Points Allowed,3,5,215,2020,3
Points Allowed,3,6,221,2016,3
Points Allowed,3,7,231,2015,3
Points Allowed,3,8,236,2021,3
Points Allowed,3,9,239,2023,3
Passing Yards,3,0,2550,2023,3
Passing Yards,3,1,2516,2017,3
Passing Yards,3,2,2444,2016,3
Passing Yards,3,3,2319,2022,3
Passing Yards,3,4,2252,2020,3
Passing Yards,3,5,2186,2021,3
Passing Yards,3,6,2181,2019,3
Passing Yards,3,7,2028,2015,3
Passing Yards,3,8,1866,2014,3
Passing Yards,3,9,1815,2018,3
Passing Yards Allowed,3,0,2216,2014,3
Passing Yards Allowed,3,1,2327,2019,3
Passing Yards Allowed,3,2,2339,2015,3
Passing Yards Allowed,3,3,2616,2022,3
Passing Yards Allowed,3,4,2661,2021,3
Passing Yards Allowed,3,5,2682,2020,3
Passing Yards Allowed,3,6,2711,2023,3
Passing Yards Allowed,3,7,2719,2016,3
Passing Yards Allowed,3,8,2730,2018,3
Passing Yards Allowed,3,9,2836,2017,3
Rushing Yards,3,0,1721,2018,3
Rushing Yards,3,1,1655,2016,3
Rushing Yards,3,2,1624,2015,3
Rushing Yards,3,3,1605,2019,3
Rushing Yards,3,4,1600,2022,3
Rushing Yards,3,5,1480,2021,3
Rushing Yards,3,6,1470,2017,3
Rushing Yards,3,7,1462,2023,3
Rushing Yards,3,8,1453,2020,3
Rushing Yards,3,9,1420,2014,3
Rushing Yards Allowed,3,0,965,2018,3
Rushing Yards Allowed,3,1,972,2017,3
Rushing Yards Allowed,3,2,1011,2022,3
Rushing Yards Allowed,3,3,1013,2021,3
Rushing Yards Allowed,3,4,1036,2023,3
Rushing Yards Allowed,3,5,1094,2019,3
Rushing Yards Allowed,3,6,1122,2014,3
Rushing Yards Allowed,3,7,1206,2015,3
Rushing Yards Allowed,3,8,1240,2020,3
Rushing Yards Allowed,3,9,1276,2016,3
Total Yards,3,0,4099,2016,3
Total Yards,3,1,4012,2023,3
Total Yards,3,2,3986,2017,3
Total Yards,3,3,3919,2022,3
Total Yards,3,4,3786,2019,3
Total Yards,3,5,3706,2020,3
Total Yards,3,6,3666,2021,3
Total Yards,3,7,3653,2015,3
Total Yards,3,8,3537,2018,3
Total Yards,3,9,3286,2014,3
Total Yards Allowed,3,0,3338,2014,3
Total Yards Allowed,3,1,3421,2019,3
Total Yards Allowed,3,2,3545,2015,3
Total Yards Allowed,3,3,3628,2022,3
Total Yards Allowed,3,4,3675,2021,3
Total Yards Allowed,3,5,3695,2018,3
Total Yards Allowed,3,6,3748,2023,3
Total Yards Allowed,3,7,3809,2017,3
Total Yards Allowed,3,8,3922,2020,3
Total Yards Allowed,3,9,3995,2016,3
Pass Attempts,3,0,343,2021,3
Pass Attempts,3,1,328,2017,3
Pass Attempts,3,2,327,2023,3
Pass Attempts,3,3,310,2020,3
Pass Attempts,3,4,301,2016,3
Pass Attempts,3,5,299,2022,3
Pass Attempts,3,6,298,2019,3
Pass Attempts,3,7,295,2015,3
Pass Attempts,3,8,277,2014,3
Pass Attempts,3,9,258,2018,3
Rush Attempts,3,0,376,2018,3
Rush Attempts,3,1,346,2016,3
Rush Attempts,3,2,336,2015,3
Rush Attempts,3,3,335,2014,3
Rush Attempts,3,4,333,2021,3
Rush Attempts,3,5,330,2019,3
Rush Attempts,3,6,329,2017,3
Rush Attempts,3,7,327,2023,3
Rush Attempts,3,8,319,2022,3
Rush Attempts,3,9,316,2020,3
Points Scored,4,0,275,2023,4
Points Scored,4,1,270,2021,4
Points Scored,4,2,266,2018,4
Points Scored,4,3,254,2022,4
Points Scored,4,4,241,2016,4
Points Scored,4,5,240,2014,4
Points Scored,4,6,231,2020,4
Points Scored,4,7,225,2017,4
Points Scored,4,8,221,2015,4
Points Scored,4,9,190,2019,4
Points Allowed,4,0,133,2016,4
Points Allowed,4,1,158,2023,4
Points Allowed,4,2,175,2015,4
Points Allowed,4,3,175,2019,4
Points Allowed,4,4,175,2021,4
Points Allowed,4,5,181,2018,4
Points Allowed,4,6,188,2014,4
Points Allowed,4,7,198,2022,4
Points Allowed,4,8,238,2017,4
Points Allowed,4,9,241,2020,4
Passing Yards,4,0,2531,2018,4
Passing Yards,4,1,2526,2022,4
Passing Yards,4,2,2450,2017,4
Passing Yards,4,3,2298,2020,4
Passing Yards,4,4,2233,2023,4
Passing Yards,4,5,2098,2015,4
Passing Yards,4,6,2089,2021,4
Passing Yards,4,7,1997,2019,4
Passing Yards,4,8,1908,2016,4
Passing Yards,4,9,1828,2014,4
Passing Yards Allowed,4,0,2185,2019,4
Passing Yards Allowed,4,1,2203,2014,4
Passing Yards Allowed,4,2,2233,2016,4
Passing Yards Allowed,4,3,2308,2017,4
Passing Yards Allowed,4,4,2446,2020,4
Passing Yards Allowed,4,5,2449,2023,4
Passing Yards Allowed,4,6,2476,2018,4
Passing Yards Allowed,4,7,2502,2015,4
Passing Yards Allowed,4,8,2515,2021,4
Passing Yards Allowed,4,9,2580,2022,4
Rushing Yards,4,0,1616,2023,4
Rushing Yards,4,1,1555,2016,4
Rushing Yards,4,2,1416,2022,4
Rushing Yards,4,3,1377,2021,4
Rushing Yards,4,4,1300,2015,4
Rushing Yards,4,5,1297,2014,4
Rushing Yards,4,6,1253,2020,4
Rushing Yards,4,7,1211,2018,4
Rushing Yards,4,8,1203,2019,4
Rushing Yards,4,9,815,2017,4
Rushing Yards Allowed,4,0,871,2020,4
Rushing Yards Allowed,4,1,898,2015,4
Rushing Yards Allowed,4,2,907,2021,4
Rushing Yards Allowed,4,3,973,2023,4
Rushing Yards Allowed,4,4,980,2016,4
Rushing Yards Allowed,4,5,1003,2018,4
Rushing Yards Allowed,4,6,1039,2017,4
Rushing Yards Allowed,4,7,1078,2022,4
Rushing Yards Allowed,4,8,1122,2019,4
Rushing Yards Allowed,4,9,1159,2014,4
Total Yards,4,0,3942,2022,4
Total Yards,4,1,3850,2023,4
Total Yards,4,2,3743,2018,4
Total Yards,4,3,3551,2020,4
Total Yards,4,4,3466,2021,4
Total Yards,4,5,3464,2016,4
Total Yards,4,6,3398,2015,4
Total Yards,4,7,3265,2017,4
Total Yards,4,8,3200,2019,4
Total Yards,4,9,3125,2014,4
Total Yards Allowed,4,0,3213,2016,4
Total Yards Allowed,4,1,3308,2019,4
Total Yards Allowed,4,2,3318,2020,4
Total Yards Allowed,4,3,3348,2017,4
Total Yards Allowed,4,4,3362,2014,4
Total Yards Allowed,4,5,3400,2015,4
Total Yards Allowed,4,6,3422,2021,4
Total Yards Allowed,4,7,3423,2023,4
Total Yards Allowed,4,8,3480,2018,4
Total Yards Allowed,4,9,3658,2022,4
Pass Attempts,4,0,341,2017,4
Pass Attempts,4,1,324,2020,4
Pass Attempts,4,2,323,2022,4
Pass Attempts,4,3,315,2019,4
Pass Attempts,4,4,304,2015,4
Pass Attempts,4,5,304,2018,4
Pass Attempts,4,6,287,2021,4
Pass Attempts,4,7,283,2016,4
Pass Attempts,4,8,280,2014,4
Pass Attempts,4,9,270,2023,4
Rush Attempts,4,0,351,2016,4
Rush Attempts,4,1,339,2022,4
Rush Attempts,4,2,338,2014,4
Rush Attempts,4,3,338,2021,4
Rush Attempts,4,4,336,2023,4
Rush Attempts,4,5,332,2020,4
Rush Attempts,4,6,327,2018,4
Rush Attempts,4,7,306,2015,4
Rush Attempts,4,8,295,2019,4
Rush Attempts,4,9,255,2017,4
Points Scored,5,0,181,2023,5
Points Scored,5,1,171,2015,5
Points Scored,5,2,169,2017,5
Points Scored,5,3,165,2022,5
Points Scored,5,4,158,2014,5
Points Scored,5,5,158,2018,5
Points Scored,5,6,155,2019,5
Points Scored,5,7,134,2016,5
Points Scored,5,8,126,2020,5
Points Scored,5,9,106,2021,5
Points Allowed,5,0,196,2015,5
Points Allowed,5,1,200,2018,5
Points Allowed,5,2,224,2016,5
Points Allowed,5,3,231,2017,5
Points Allowed,5,4,236,2014,5
Points Allowed,5,5,246,2019,5
Points Allowed,5,6,247,2023,5
Points Allowed,5,7,269,2020,5
Points Allowed,5,8,275,2021,5
Points Allowed,5,9,297,2022,5
Passing Yards,5,0,2325,2023,5
Passing Yards,5,1,2290,2015,5
Passing Yards,5,2,2215,2014,5
Passing Yards,5,3,2188,2022,5
Passing Yards,5,4,2172,2016,5
Passing Yards,5,5,2126,2019,5
Passing Yards,5,6,1959,2018,5
Passing Yards,5,7,1885,2021,5
Passing Yards,5,8,1848,2020,5
Passing Yards,5,9,1634,2017,5
Passing Yards Allowed,5,0,2081,2014,5
Passing Yards Allowed,5,1,2132,2016,5
Passing Yards Allowed,5,2,2185,2015,5
Passing Yards Allowed,5,3,2247,2018,5
Passing Yards Allowed,5,4,2365,2017,5
Passing Yards Allowed,5,5,2376,2019,5
Passing Yards Allowed,5,6,2503,2020,5
Passing Yards Allowed,5,7,2543,2023,5
Passing Yards Allowed,5,8,2595,2021,5
Passing Yards Allowed,5,9,2656,2022,5
Rushing Yards,5,0,1160,2018,5
Rushing Yards,5,1,1120,2016,5
Rushing Yards,5,2,1073,2020,5
Rushing Yards,5,3,1056,2015,5
Rushing Yards,5,4,1045,2014,5
Rushing Yards,5,5,1016,2023,5
Rushing Yards,5,6,1003,2021,5
Rushing Yards,5,7,951,2022,5
Rushing Yards,5,8,901,2017,5
Rushing Yards,5,9,898,2019,5
Rushing Yards Allowed,5,0,902,2016,5
Rushing Yards Allowed,5,1,925,2020,5
Rushing Yards Allowed,5,2,953,2019,5
Rushing Yards Allowed,5,3,1060,2017,5
Rushing Yards Allowed,5,4,1121,2022,5
Rushing Yards Allowed,5,5,1132,2018,5
Rushing Yards Allowed,5,6,1185,2015,5
Rushing Yards Allowed,5,7,1276,2023,5
Rushing Yards Allowed,5,8,1301,2021,5
Rushing Yards Allowed,5,9,1373,2014,5
Total Yards,5,0,3347,2015,5
Total Yards,5,1,3342,2023,5
Total Yards,5,2,3292,2016,5
Total Yards,5,3,3260,2014,5
Total Yards,5,4,3140,2022,5
Total Yards,5,5,3119,2018,5
Total Yards,5,6,3025,2019,5
Total Yards,5,7,2921,2020,5
Total Yards,5,8,2888,2021,5
Total Yards,5,9,2535,2017,5
Total Yards Allowed,5,0,3035,2016,5
Total Yards Allowed,5,1,3329,2019,5
Total Yards Allowed,5,2,3370,2015,5
Total Yards Allowed,5,3,3380,2018,5
Total Yards Allowed,5,4,3425,2017,5
Total Yards Allowed,5,5,3428,2020,5
Total Yards Allowed,5,6,3454,2014,5
Total Yards Allowed,5,7,3778,2022,5
Total Yards Allowed,5,8,3820,2023,5
Total Yards Allowed,5,9,3896,2021,5
Pass Attempts,5,0,381,2023,5
Pass Attempts,5,1,379,2019,5
Pass Attempts,5,2,378,2014,5
Pass Attempts,5,3,376,2022,5
Pass Attempts,5,4,368,2015,5
Pass Attempts,5,5,368,2021,5
Pass Attempts,5,6,365,2016,5
Pass Attempts,5,7,344,2018,5
Pass Attempts,5,8,341,2020,5
Pass Attempts,5,9,339,2017,5
Rush Attempts,5,0,281,2018,5
Rush Attempts,5,1,265,2014,5
Rush Attempts,5,2,260,2015,5
Rush Attempts,5,3,258,2016,5
Rush Attempts,5,4,251,2017,5
Rush Attempts,5,5,236,2023,5
Rush Attempts,5,6,233,2020,5
Rush Attempts,5,7,233,2022,5
Rush Attempts,5,8,227,2021,5
Rush Attempts,5,9,210,2019,5
Points Scored,6,0,247,2015,6
Points Scored,6,1,238,2014,6
Points Scored,6,2,235,2021,6
Points Scored,6,3,230,2017,6
Points Scored,6,4,223,2019,6
Points Scored,6,5,223,2020,6
Points Scored,6,6,203,2023,6
Points Scored,6,7,184,2016,6
Points Scored,6,8,177,2022,6
Points Scored,6,9,175,2018,6
Points Allowed,6,0,180,2015,6
Points Allowed,6,1,190,2020,6
Points Allowed,6,2,201,2014,6
Points Allowed,6,3,205,2021,6
Points Allowed,6,4,206,2017,6
Points Allowed,6,5,225,2016,6
Points Allowed,6,6,228,2018,6
Points Allowed,6,7,231,2023,6
Points Allowed,6,8,233,2019,6
Points Allowed,6,9,238,2022,6
Passing Yards,6,0,2712,2020,6
Passing Yards,6,1,2649,2018,6
Passing Yards,6,2,2603,2017,6
Passing Yards,6,3,2507,2014,6
Passing Yards,6,4,2463,2022,6
Passing Yards,6,5,2386,2021,6
Passing Yards,6,6,2351,2019,6
Passing Yards,6,7,2347,2023,6
Passing Yards,6,8,2278,2016,6
Passing Yards,6,9,2145,2015,6
Passing Yards Allowed,6,0,2090,2020,6
Passing Yards Allowed,6,1,2312,2017,6
Passing Yards Allowed,6,2,2315,2014,6
Passing Yards Allowed,6,3,2349,2018,6
Passing Yards Allowed,6,4,2461,2016,6
Passing Yards Allowed,6,5,2469,2015,6
Passing Yards Allowed,6,6,2576,2022,6
Passing Yards Allowed,6,7,2579,2023,6
Passing Yards Allowed,6,8,2671,2019,6
Passing Yards Allowed,6,9,2688,2021,6
Rushing Yards,6,0,1463,2015,6
Rushing Yards,6,1,1249,2014,6
Rushing Yards,6,2,1210,2021,6
Rushing Yards,6,3,1152,2016,6
Rushing Yards,6,4,958,2019,6
Rushing Yards,6,5,940,2020,6
Rushing Yards,6,6,935,2017,6
Rushing Yards,6,7,930,2023,6
Rushing Yards,6,8,836,2022,6
Rushing Yards,6,9,732,2018,6
Rushing Yards Allowed,6,0,944,2023,6
Rushing Yards Allowed,6,1,1020,2020,6
Rushing Yards Allowed,6,2,1028,2019,6
Rushing Yards Allowed,6,3,1035,2021,6
Rushing Yards Allowed,6,4,1041,2022,6
Rushing Yards Allowed,6,5,1049,2017,6
Rushing Yards Allowed,6,6,1051,2018,6
Rushing Yards Allowed,6,7,1063,2014,6
Rushing Yards Allowed,6,8,1072,2016,6
Rushing Yards Allowed,6,9,1327,2015,6
Total Yards,6,0,3756,2014,6
Total Yards,6,1,3652,2020,6
Total Yards,6,2,3608,2015,6
Total Yards,6,3,3597,2021,6
Total Yards,6,4,3538,2017,6
Total Yards,6,5,3430,2016,6
Total Yards,6,6,3381,2018,6
Total Yards,6,7,3310,2019,6
Total Yards,6,8,3300,2022,6
Total Yards,6,9,3277,2023,6
Total Yards Allowed,6,0,3110,2020,6
Total Yards Allowed,6,1,3361,2017,6
Total Yards Allowed,6,2,3379,2014,6
Total Yards Allowed,6,3,3400,2018,6
Total Yards Allowed,6,4,3523,2023,6
Total Yards Allowed,6,5,3533,2016,6
Total Yards Allowed,6,6,3617,2022,6
Total Yards Allowed,6,7,3700,2019,6
Total Yards Allowed,6,8,3723,2021,6
Total Yards Allowed,6,9,3796,2015,6
Pass Attempts,6,0,385,2020,6
Pass Attempts,6,1,385,2023,6
Pass Attempts,6,2,384,2022,6
Pass Attempts,6,3,380,2017,6
Pass Attempts,6,4,375,2018,6
Pass Attempts,6,5,362,2019,6
Pass Attempts,6,6,356,2014,6
Pass Attempts,6,7,350,2016,6
Pass Attempts,6,8,336,2021,6
Pass Attempts,6,9,313,2015,6
Rush Attempts,6,0,302,2015,6
Rush Attempts,6,1,290,2014,6
Rush Attempts,6,2,273,2016,6
Rush Attempts,6,3,266,2017,6
Rush Attempts,6,4,264,2021,6
Rush Attempts,6,5,261,2020,6
Rush Attempts,6,6,260,2019,6
Rush Attempts,6,7,242,2018,6
Rush Attempts,6,8,241,2022,6
Rush Attempts,6,9,228,2023,6
Points Scored,7,0,261,2021,7
Points Scored,7,1,240,2023,7
Points Scored,7,2,231,2022,7
