Week,Visitor_Team,Home_Team
Reg. Season Week 3,7,26
Reg. Season Week 3,8,11
Reg. Season Week 3,12,2
Reg. Season Week 3,13,28
Reg. Season Week 3,14,23
Reg. Season Week 3,15,29
Reg. Season Week 3,17,9
Reg. Season Week 3,18,25
Reg. Season Week 3,22,19
Reg. Season Week 3,24,1
Reg. Season Week 3,31,30
Reg. Season Week 4,0,10
Reg. Season Week 4,1,21
Reg. Season Week 4,3,28
Reg. Season Week 4,7,4
Reg. Season Week 4,11,31
Reg. Season Week 4,13,2
Reg. Season Week 4,14,16
Reg. Season Week 4,18,17
Reg. Season Week 4,19,12
Reg. Season Week 4,20,6
Reg. Season Week 4,23,22
Reg. Season Week 4,25,5
Reg. Season Week 4,26,9
Reg. Season Week 4,27,29
Reg. Season Week 5,0,5
Reg. Season Week 5,2,20
Reg. Season Week 5,3,11
Reg. Season Week 5,4,18
Reg. Season Week 5,6,22
Reg. Season Week 5,7,27
Reg. Season Week 5,8,30
Reg. Season Week 5,10,26
Reg. Season Week 5,14,12
Reg. Season Week 5,16,28
Reg. Season Week 5,17,21
Reg. Season Week 5,19,31
Reg. Season Week 5,24,15
Reg. Season Week 5,29,1
Reg. Season Week 6,5,26
Reg. Season Week 6,6,13
Reg. Season Week 6,9,10
Reg. Season Week 6,11,12
Reg. Season Week 6,15,0
Reg. Season Week 6,20,30
Reg. Season Week 6,21,4
Reg. Season Week 6,22,8
Reg. Season Week 6,23,2
Reg. Season Week 6,25,24
Reg. Season Week 6,27,1
Reg. Season Week 6,28,14
Reg. Season Week 6,29,7
Reg. Season Week 6,31,3
Reg. Season Week 7,0,24
Reg. Season Week 7,1,4
Reg. Season Week 7,2,8
Reg. Season Week 7,3,14
Reg. Season Week 7,7,18
Reg. Season Week 7,9,25
Reg. Season Week 7,11,19
Reg. Season Week 7,12,28
Reg. Season Week 7,13,20
Reg. Season Week 7,21,27
Reg. Season Week 7,26,15
Reg. Season Week 7,29,17
Reg. Season Week 7,30,23
Reg. Season Week 7,31,16
Reg. Season Week 8,2,6
Reg. Season Week 8,4,29
Reg. Season Week 8,11,14
Reg. Season Week 8,15,5
Reg. Season Week 8,17,7
Reg. Season Week 8,18,21
Reg. Season Week 8,19,16
Reg. Season Week 8,22,20
Reg. Season Week 8,23,8
Reg. Season Week 8,24,9
Reg. Season Week 8,25,10
Reg. Season Week 8,26,0
Reg. Season Week 8,28,31
Reg. Season Week 8,30,13
Reg. Season Week 9,1,7
Reg. Season Week 9,4,17
Reg. Season Week 9,5,9
Reg. Season Week 9,8,6
Reg. Season Week 9,10,24
Reg. Season Week 9,12,3
Reg. Season Week 9,13,22
Reg. Season Week 9,15,25
Reg. Season Week 9,16,11
Reg. Season Week 9,20,23
Reg. Season Week 9,27,18
Reg. Season Week 9,28,19
Reg. Season Week 9,29,21
Reg. Season Week 9,30,2
Reg. Season Week 10,5,24
Reg. Season Week 10,6,23
Reg. Season Week 10,7,21
Reg. Season Week 10,8,13
Reg. Season Week 10,9,0
Reg. Season Week 10,10,15
Reg. Season Week 10,11,28
Reg. Season Week 10,12,16
Reg. Season Week 10,14,31
Reg. Season Week 10,17,27
Reg. Season Week 10,18,1
Reg. Season Week 10,19,3
Reg. Season Week 10,22,30
Reg. Season Week 10,25,26
Reg. Season Week 11,0,25
Reg. Season Week 11,1,17
Reg. Season Week 11,2,22
Reg. Season Week 11,3,16
Reg. Season Week 11,4,27
Reg. Season Week 11,8,20
Reg. Season Week 11,9,15
Reg. Season Week 11,10,5
Reg. Season Week 11,13,23
Reg. Season Week 11,14,19
Reg. Season Week 11,18,29
Reg. Season Week 11,24,26
Reg. Season Week 11,30,6
Reg. Season Week 11,31,12
Reg. Season Week 12,1,20
Reg. Season Week 12,5,28
Reg. Season Week 12,6,29
Reg. Season Week 12,11,9
Reg. Season Week 12,13,4
Reg. Season Week 12,14,0
Reg. Season Week 12,15,12
Reg. Season Week 12,16,25
Reg. Season Week 12,17,8
Reg. Season Week 12,18,2
Reg. Season Week 12,19,24
Reg. Season Week 12,21,30
Reg. Season Week 12,22,7
Reg. Season Week 12,23,27
Reg. Season Week 12,26,3
Reg. Season Week 12,31,10
Reg. Season Week 13,1,5
Reg. Season Week 13,2,3
Reg. Season Week 13,9,18
Reg. Season Week 13,10,7
Reg. Season Week 13,11,6
Reg. Season Week 13,16,8
Reg. Season Week 13,19,13
Reg. Season Week 13,20,12
Reg. Season Week 13,21,24
Reg. Season Week 13,23,31
Reg. Season Week 13,25,17
Reg. Season Week 13,26,4
Reg. Season Week 13,27,15
Reg. Season Week 13,28,22
Reg. Season Week 13,29,0
Reg. Season Week 13,30,14
Reg. Season Week 14,0,16
Reg. Season Week 14,2,21
Reg. Season Week 14,4,20
Reg. Season Week 14,7,6
Reg. Season Week 14,9,31
Reg. Season Week 14,10,11
Reg. Season Week 14,12,5
Reg. Season Week 14,13,1
Reg. Season Week 14,23,17
Reg. Season Week 14,24,3
Reg. Season Week 14,25,19
Reg. Season Week 14,26,14
Reg. Season Week 14,27,8
Reg. Season Week 14,28,15
Reg. Season Week 14,29,22
Reg. Season Week 14,30,18
Reg. Season Week 15,0,26
Reg. Season Week 15,1,27
Reg. Season Week 15,2,30
Reg. Season Week 15,3,19
Reg. Season Week 15,5,15
Reg. Season Week 15,7,29
Reg. Season Week 15,8,23
Reg. Season Week 15,10,9
Reg. Season Week 15,16,14
Reg. Season Week 15,17,4
Reg. Season Week 15,20,13
Reg. Season Week 15,21,18
Reg. Season Week 15,22,6
Reg. Season Week 15,24,25
Reg. Season Week 15,28,12
Reg. Season Week 15,31,11
Reg. Season Week 16,0,19
Reg. Season Week 16,2,29
Reg. Season Week 16,3,25
Reg. Season Week 16,4,23
Reg. Season Week 16,8,1
Reg. Season Week 16,9,28
Reg. Season Week 16,10,12
Reg. Season Week 16,11,5
Reg. Season Week 16,14,24
Reg. Season Week 16,16,26
Reg. Season Week 16,17,13
Reg. Season Week 16,18,6
Reg. Season Week 16,20,27
Reg. Season Week 16,21,22
Reg. Season Week 16,30,7
Reg. Season Week 16,31,15
Reg. Season Week 17,5,10
Reg. Season Week 17,6,30
Reg. Season Week 17,12,31
Reg. Season Week 17,15,9
Reg. Season Week 17,16,3
Reg. Season Week 17,17,1
Reg. Season Week 17,19,14
Reg. Season Week 17,20,8
Reg. Season Week 17,21,7
Reg. Season Week 17,22,2
Reg. Season Week 17,23,13
Reg. Season Week 17,25,0
Reg. Season Week 17,26,24
Reg. Season Week 17,27,4
Reg. Season Week 17,28,11
Reg. Season Week 17,29,18
Wild Card Round,2,28
Wild Card Round,10,25
Wild Card Round,14,8
Wild Card Round,21,4
Divisional Round,4,18
Divisional Round,10,9
Divisional Round,14,30
Divisional Round,28,3
Conference Round,4,9
Conference Round,14,3
Front Office Bowl,3,9
