Category,Team/All_Teams,Place,Player,Record,Last_Year
Receiving Touchdowns,0,0,1864,17,2018
Receiving Touchdowns,0,1,1836,14,2018
Receiving Touchdowns,0,2,842,12,2018
Receiving Touchdowns,0,3,1546,10,2015
Receiving Touchdowns,0,4,4255,9,2018
Receiving Touchdowns,0,5,260,4,2017
Receiving Touchdowns,0,6,1675,4,2017
Receiving Touchdowns,0,7,452,4,2018
Receiving Touchdowns,0,8,883,3,2015
Receiving Touchdowns,0,9,557,3,2017
Receiving Touchdowns,0,10,1771,2,2014
Receiving Touchdowns,0,11,1288,2,2016
Receiving Touchdowns,0,12,1819,2,2016
Receiving Touchdowns,0,13,4232,2,2018
Receiving Touchdowns,0,14,1365,1,2015
Receiving Touchdowns,0,15,2566,1,2015
Receiving Touchdowns,0,16,1951,1,2016
Receiving Touchdowns,0,17,2634,1,2016
Receiving Touchdowns,0,18,2512,1,2018
Receiving Touchdowns,0,19,5016,1,2018
Targeted Passes,0,0,842,465,2018
Targeted Passes,0,1,1864,404,2018
Targeted Passes,0,2,1836,235,2018
Targeted Passes,0,3,1546,220,2015
Targeted Passes,0,4,4255,133,2018
Targeted Passes,0,5,452,105,2018
Targeted Passes,0,6,1288,93,2016
Targeted Passes,0,7,1771,84,2014
Targeted Passes,0,8,883,79,2015
Targeted Passes,0,9,1675,76,2017
Targeted Passes,0,10,1819,69,2016
Targeted Passes,0,11,260,61,2017
Targeted Passes,0,12,557,50,2017
Targeted Passes,0,13,4232,47,2018
Targeted Passes,0,14,2589,38,2014
Targeted Passes,0,15,1365,37,2015
Targeted Passes,0,16,2566,35,2015
Targeted Passes,0,17,5016,33,2018
Targeted Passes,0,18,2634,29,2016
Targeted Passes,0,19,1093,20,2017
Targeted Passes,0,20,2512,20,2018
Targeted Passes,0,21,2012,19,2014
Targeted Passes,0,22,3272,19,2015
Targeted Passes,0,23,831,14,2015
Targeted Passes,0,24,369,12,2014
Targeted Passes,0,25,1951,12,2016
Targeted Passes,0,26,2423,12,2018
Targeted Passes,0,27,5897,8,2018
Targeted Passes,0,28,3358,7,2018
Targeted Passes,0,29,4980,6,2017
Targeted Passes,0,30,1464,4,2014
Targeted Passes,0,31,5741,4,2018
Targeted Passes,0,32,5928,4,2018
Targeted Passes,0,33,1371,3,2014
Targeted Passes,0,34,3370,3,2016
Targeted Passes,0,35,3410,2,2015
Targeted Passes,0,36,4071,2,2016
Targeted Passes,0,37,4891,2,2017
Passes Dropped,0,0,842,28,2018
Passes Dropped,0,1,1864,12,2018
Passes Dropped,0,2,4255,11,2018
Passes Dropped,0,3,1546,10,2015
Passes Dropped,0,4,452,7,2018
Passes Dropped,0,5,1771,5,2014
Passes Dropped,0,6,1288,5,2016
Passes Dropped,0,7,260,5,2017
Passes Dropped,0,8,4232,5,2018
Passes Dropped,0,9,2566,4,2015
Passes Dropped,0,10,1093,4,2017
Passes Dropped,0,11,1836,4,2018
Passes Dropped,0,12,2589,3,2014
Passes Dropped,0,13,883,2,2015
Passes Dropped,0,14,2634,2,2016
Passes Dropped,0,15,1675,2,2017
Passes Dropped,0,16,5016,2,2018
Passes Dropped,0,17,369,1,2014
Passes Dropped,0,18,1365,1,2015
Passes Dropped,0,19,3272,1,2015
Passes Dropped,0,20,1819,1,2016
Passes Dropped,0,21,1951,1,2016
Passes Dropped,0,22,3370,1,2016
Passes Dropped,0,23,4980,1,2017
Passes Dropped,0,24,2512,1,2018
Passes Dropped,0,25,5741,1,2018
100 Yards Receiving,0,0,1546,4,2015
100 Yards Receiving,0,1,842,4,2018
100 Yards Receiving,0,2,452,2,2018
100 Yards Receiving,0,3,260,1,2017
100 Yards Receiving,0,4,1836,1,2018
100 Yards Receiving,0,5,4255,1,2018
Interceptions,0,0,587,20,2018
Interceptions,0,1,1073,18,2018
Interceptions,0,2,794,4,2016
Interceptions,0,3,389,4,2017
Interceptions,0,4,1333,4,2017
Interceptions,0,5,6489,4,2018
Interceptions,0,6,955,3,2017
Interceptions,0,7,307,3,2018
Interceptions,0,8,995,2,2015
Interceptions,0,9,1729,2,2015
Interceptions,0,10,455,2,2017
Interceptions,0,11,1040,2,2018
Interceptions,0,12,4811,2,2018
Interceptions,0,13,1091,1,2014
Interceptions,0,14,1386,1,2014
Interceptions,0,15,535,1,2015
Interceptions,0,16,861,1,2015
Interceptions,0,17,2264,1,2016
Interceptions,0,18,722,1,2017
Interceptions,0,19,2972,1,2018
Interceptions,0,20,5439,1,2018
Interceptions,0,21,5487,1,2018
Pass Defense Percentage,0,0,1073,805,2018
Pass Defense Percentage,0,1,587,801,2018
Pass Defense Percentage,0,2,389,789,2017
Pass Defense Percentage,0,3,722,775,2017
Pass Defense Percentage,0,4,4811,773,2018
Pass Defense Percentage,0,5,1333,764,2017
Tackles,0,0,587,309,2018
Tackles,0,1,794,298,2016
Tackles,0,2,307,293,2018
Tackles,0,3,1333,268,2017
Tackles,0,4,1073,250,2018
Tackles,0,5,1321,152,2018
Tackles,0,6,722,144,2017
Tackles,0,7,3721,127,2018
Tackles,0,8,4811,119,2018
Tackles,0,9,604,118,2018
Tackles,0,10,435,109,2018
Tackles,0,11,389,102,2017
Tackles,0,12,1040,96,2018
Tackles,0,13,995,94,2015
Tackles,0,14,955,79,2017
Tackles,0,15,5487,76,2018
Tackles,0,16,139,65,2015
Tackles,0,17,1729,60,2015
Tackles,0,18,6489,56,2018
Tackles,0,19,1386,53,2014
Tackles,0,20,861,53,2015
Tackles,0,21,5390,51,2018
Tackles,0,22,1225,50,2015
Tackles,0,23,455,50,2017
Tackles,0,24,131,46,2014
Tackles,0,25,219,46,2017
Tackles,0,26,2973,44,2016
Tackles,0,27,1091,41,2014
Tackles,0,28,1394,41,2016
Tackles,0,29,3008,40,2016
Tackles,0,30,912,40,2018
Tackles,0,31,2972,35,2018
Tackles,0,32,1193,34,2014
Tackles,0,33,3812,33,2015
Tackles,0,34,1834,31,2017
Tackles,0,35,2909,27,2014
Tackles,0,36,1570,26,2015
Tackles,0,37,2264,26,2016
Tackles,0,38,282,24,2017
Tackles,0,39,3152,21,2018
Tackles,0,40,791,18,2015
Tackles,0,41,371,15,2016
Tackles,0,42,1507,14,2017
Tackles,0,43,6165,14,2018
Tackles,0,44,1228,13,2018
Tackles,0,45,1430,11,2017
Tackles,0,46,4497,11,2017
Tackles,0,47,842,10,2018
Tackles,0,48,5439,10,2018
Tackles,0,49,2236,9,2014
Tackles,0,50,2332,9,2016
Tackles,0,51,910,9,2018
Tackles,0,52,535,8,2015
Tackles,0,53,2977,7,2014
Tackles,0,54,3156,6,2015
Tackles,0,55,1836,6,2018
Tackles,0,56,1772,5,2014
Tackles,0,57,1536,4,2018
Tackles,0,58,4255,4,2018
Tackles,0,59,426,3,2015
Tackles,0,60,3773,3,2015
Tackles,0,61,1288,3,2016
Tackles,0,62,3014,3,2016
Tackles,0,63,3084,3,2016
Tackles,0,64,5603,3,2017
Tackles,0,65,1515,3,2018
Tackles,0,66,98,2,2015
Tackles,0,67,239,2,2015
Tackles,0,68,2566,2,2015
Tackles,0,69,1951,2,2016
Tackles,0,70,4780,2,2016
Tackles,0,71,1675,2,2017
Tackles,0,72,452,2,2018
Tackles,0,73,4232,2,2018
Tackles,0,74,691,1,2014
Tackles,0,75,1771,1,2014
Tackles,0,76,1546,1,2015
Tackles,0,77,625,1,2016
Tackles,0,78,1819,1,2016
Tackles,0,79,4678,1,2016
Tackles,0,80,557,1,2017
Tackles,0,81,1041,1,2017
Tackles,0,82,593,1,2018
Tackles,0,83,1864,1,2018
Tackles,0,84,2423,1,2018
Tackles,0,85,2512,1,2018
Tackles,0,86,5304,1,2018
Assists,0,0,794,105,2016
Assists,0,1,307,87,2018
Assists,0,2,587,85,2018
Assists,0,3,1333,74,2017
Assists,0,4,1073,66,2018
Assists,0,5,1321,64,2018
Assists,0,6,3721,53,2018
Assists,0,7,722,50,2017
Assists,0,8,4811,49,2018
Assists,0,9,435,44,2018
Assists,0,10,604,44,2018
Assists,0,11,389,40,2017
Assists,0,12,5487,33,2018
Assists,0,13,139,28,2015
Assists,0,14,1040,28,2018
Assists,0,15,995,27,2015
Assists,0,16,861,23,2015
Assists,0,17,1386,19,2014
Assists,0,18,1394,19,2016
Assists,0,19,955,19,2017
Assists,0,20,5390,19,2018
Assists,0,21,6489,18,2018
Assists,0,22,1225,16,2015
Assists,0,23,131,15,2014
Assists,0,24,3812,15,2015
Assists,0,25,1091,14,2014
Assists,0,26,219,14,2017
Assists,0,27,2972,14,2018
Assists,0,28,2973,12,2016
Assists,0,29,1570,11,2015
Assists,0,30,1729,11,2015
Assists,0,31,455,11,2017
Assists,0,32,3152,11,2018
Assists,0,33,1193,10,2014
Assists,0,34,3008,10,2016
Assists,0,35,2264,9,2016
Assists,0,36,1507,8,2017
Assists,0,37,371,7,2016
Assists,0,38,912,7,2018
Assists,0,39,1228,7,2018
Assists,0,40,6165,7,2018
Assists,0,41,2977,6,2014
Assists,0,42,2236,5,2014
Assists,0,43,2909,5,2014
Assists,0,44,282,5,2017
Assists,0,45,5439,5,2018
Assists,0,46,2332,4,2016
Assists,0,47,1430,4,2017
Assists,0,48,1834,4,2017
Assists,0,49,910,3,2018
Assists,0,50,791,2,2015
Assists,0,51,691,1,2014
Assists,0,52,239,1,2015
Assists,0,53,426,1,2015
Assists,0,54,535,1,2015
Assists,0,55,3156,1,2015
Assists,0,56,3084,1,2016
Assists,0,57,4780,1,2016
Assists,0,58,4497,1,2017
Sacks,0,0,307,360,2018
Sacks,0,1,1321,340,2018
Sacks,0,2,435,245,2018
Sacks,0,3,604,160,2018
Sacks,0,4,3721,135,2018
Sacks,0,5,5487,125,2018
Sacks,0,6,995,110,2015
Sacks,0,7,131,100,2014
Sacks,0,8,1394,90,2016
Sacks,0,9,139,80,2015
Sacks,0,10,1225,50,2015
Sacks,0,11,1570,45,2015
Sacks,0,12,1729,40,2015
Sacks,0,13,3008,35,2016
Sacks,0,14,587,35,2018
Sacks,0,15,5390,35,2018
Sacks,0,16,2909,20,2014
Sacks,0,17,794,20,2016
Sacks,0,18,1040,20,2018
Sacks,0,19,2236,15,2014
Sacks,0,20,535,10,2015
Sacks,0,21,371,10,2016
Sacks,0,22,282,10,2017
Sacks,0,23,455,10,2017
Sacks,0,24,1333,10,2017
Sacks,0,25,1507,10,2017
Sacks,0,26,4497,10,2017
Sacks,0,27,1073,10,2018
Sacks,0,28,1228,10,2018
Sacks,0,29,1193,5,2014
Sacks,0,30,426,5,2015
Sacks,0,31,2264,5,2016
Sacks,0,32,1430,5,2017
Hurries,0,0,1321,53,2018
Hurries,0,1,435,35,2018
Hurries,0,2,3721,28,2018
Hurries,0,3,604,27,2018
Hurries,0,4,139,26,2015
Hurries,0,5,5487,24,2018
Hurries,0,6,307,20,2018
Hurries,0,7,1394,14,2016
Hurries,0,8,131,10,2014
Hurries,0,9,3008,10,2016
Hurries,0,10,5390,10,2018
Hurries,0,11,1570,7,2015
Hurries,0,12,2909,5,2014
Hurries,0,13,1225,5,2015
Hurries,0,14,1507,5,2017
Hurries,0,15,6165,5,2018
Hurries,0,16,1729,4,2015
Hurries,0,17,371,4,2016
Hurries,0,18,4497,4,2017
Hurries,0,19,426,3,2015
Hurries,0,20,995,3,2015
Hurries,0,21,4811,3,2018
Hurries,0,22,794,2,2016
Hurries,0,23,2264,2,2016
Hurries,0,24,3014,1,2016
Hurries,0,25,389,1,2017
Hurries,0,26,955,1,2017
Hurries,0,27,1073,1,2018
Blocked Passes,0,0,1321,11,2018
Blocked Passes,0,1,435,9,2018
Blocked Passes,0,2,604,8,2018
Blocked Passes,0,3,5487,7,2018
Blocked Passes,0,4,1394,6,2016
Blocked Passes,0,5,307,5,2018
Blocked Passes,0,6,3721,5,2018
Blocked Passes,0,7,131,3,2014
Blocked Passes,0,8,5390,3,2018
Blocked Passes,0,9,2909,2,2014
Blocked Passes,0,10,139,2,2015
Blocked Passes,0,11,995,2,2015
Blocked Passes,0,12,1225,2,2015
Blocked Passes,0,13,1570,2,2015
Blocked Passes,0,14,3008,2,2016
Blocked Passes,0,15,4497,2,2017
Blocked Passes,0,16,426,1,2015
Blocked Passes,0,17,1834,1,2017
Blocked Passes,0,18,1040,1,2018
Blocked Passes,0,19,1073,1,2018
Blocked Passes,0,20,6165,1,2018
Field Goals,0,0,270,50,2016
Field Goals,0,1,430,30,2017
Field Goals,0,2,1687,28,2014
Field Goals,0,3,2834,28,2018
Key Run Blocks,0,0,1515,234,2018
Key Run Blocks,0,1,593,187,2018
Key Run Blocks,0,2,1484,103,2017
Key Run Blocks,0,3,1836,52,2018
Key Run Blocks,0,4,625,40,2016
Key Run Blocks,0,5,1041,29,2017
Key Run Blocks,0,6,1634,23,2018
Key Run Blocks,0,7,2677,22,2017
Key Run Blocks,0,8,355,20,2014
Key Run Blocks,0,9,823,18,2015
Key Run Blocks,0,10,781,18,2018
Key Run Blocks,0,11,3558,16,2016
Key Run Blocks,0,12,906,15,2018
Key Run Blocks,0,13,1706,11,2016
Key Run Blocks,0,14,1675,11,2017
Key Run Blocks,0,15,2720,7,2017
Key Run Blocks,0,16,883,5,2015
Key Run Blocks,0,17,5016,5,2018
Key Run Blocks,0,18,1365,4,2015
Key Run Blocks,0,19,1566,4,2015
Key Run Blocks,0,20,54,3,2015
Key Run Blocks,0,21,1130,2,2014
Key Run Blocks,0,22,1371,2,2014
Key Run Blocks,0,23,2750,2,2016
Key Run Blocks,0,24,3608,2,2017
Key Run Blocks,0,25,4300,2,2017
Key Run Blocks,0,26,1132,2,2018
Key Run Blocks,0,27,3370,1,2016
Key Run Blocks,0,28,4364,1,2017
Key Run Blocks,0,29,2512,1,2018
Key Run Blocks,0,30,5201,1,2018
Key Run Opportunities,0,0,1515,544,2018
Key Run Opportunities,0,1,593,501,2018
Key Run Opportunities,0,2,1484,294,2017
Key Run Opportunities,0,3,1836,155,2018
Key Run Opportunities,0,4,625,119,2016
Key Run Opportunities,0,5,1634,67,2018
Key Run Opportunities,0,6,1041,59,2017
Key Run Opportunities,0,7,3558,56,2016
Key Run Opportunities,0,8,2677,56,2017
Key Run Opportunities,0,9,781,51,2018
Key Run Opportunities,0,10,906,44,2018
Key Run Opportunities,0,11,355,41,2014
Key Run Opportunities,0,12,823,39,2015
Key Run Opportunities,0,13,1706,34,2016
Key Run Opportunities,0,14,1675,23,2017
Key Run Opportunities,0,15,883,19,2015
Key Run Opportunities,0,16,2720,15,2017
Key Run Opportunities,0,17,1365,13,2015
Key Run Opportunities,0,18,1566,13,2015
Key Run Opportunities,0,19,1130,9,2014
Key Run Opportunities,0,20,1132,9,2018
Key Run Opportunities,0,21,5016,9,2018
Key Run Opportunities,0,22,54,7,2015
Key Run Opportunities,0,23,4300,7,2017
Key Run Opportunities,0,24,3608,5,2017
Key Run Opportunities,0,25,4364,5,2017
Key Run Opportunities,0,26,2696,5,2018
Key Run Opportunities,0,27,2012,3,2014
Key Run Opportunities,0,28,2750,3,2016
Key Run Opportunities,0,29,2512,3,2018
Key Run Opportunities,0,30,1371,2,2014
Key Run Opportunities,0,31,1093,2,2017
Key Run Opportunities,0,32,5201,2,2018
Key Run Opportunities,0,33,3370,1,2016
Key Run Opportunities,0,34,3358,1,2018
Pancake Blocks,0,0,1515,42,2018
Pancake Blocks,0,1,593,37,2018
Pancake Blocks,0,2,1836,4,2018
Pancake Blocks,0,3,1041,1,2017
Pancake Blocks,0,4,1484,1,2017
Passes Defensed,0,0,587,69,2018
Passes Defensed,0,1,1073,54,2018
Passes Defensed,0,2,307,18,2018
Passes Defensed,0,3,794,17,2016
Passes Defensed,0,4,1333,15,2017
Passes Defensed,0,5,389,14,2017
Passes Defensed,0,6,722,14,2017
Passes Defensed,0,7,995,9,2015
Passes Defensed,0,8,1040,9,2018
Passes Defensed,0,9,4811,8,2018
Passes Defensed,0,10,455,6,2017
Passes Defensed,0,11,861,5,2015
Passes Defensed,0,12,1729,5,2015
Passes Defensed,0,13,955,5,2017
Passes Defensed,0,14,6489,5,2018
Passes Defensed,0,15,1193,4,2014
Passes Defensed,0,16,1386,4,2014
Passes Defensed,0,17,912,3,2018
Passes Defensed,0,18,1091,2,2014
Passes Defensed,0,19,3812,2,2015
Passes Defensed,0,20,1834,2,2017
Passes Defensed,0,21,435,2,2018
Passes Defensed,0,22,2972,2,2018
Passes Defensed,0,23,3152,2,2018
Passes Defensed,0,24,5487,2,2018
Passes Defensed,0,25,131,1,2014
Passes Defensed,0,26,1772,1,2014
Passes Defensed,0,27,2977,1,2014
Passes Defensed,0,28,239,1,2015
Passes Defensed,0,29,426,1,2015
Passes Defensed,0,30,1225,1,2015
Passes Defensed,0,31,1570,1,2015
Passes Defensed,0,32,2264,1,2016
Passes Defensed,0,33,3014,1,2016
Passes Defensed,0,34,282,1,2017
Passes Defensed,0,35,1430,1,2017
Passes Defensed,0,36,1507,1,2017
Passes Defensed,0,37,1228,1,2018
Passes Defensed,0,38,5390,1,2018
Passes Defensed,0,39,5439,1,2018
Passes Defensed,0,40,6165,1,2018
Punt Return Yards,0,0,5741,321,2018
Punt Return Yards,0,1,4255,308,2018
Punt Return Yards,0,2,239,211,2015
Punt Return Yards,0,3,433,184,2014
Punt Return Yards,0,4,722,127,2017
Punt Return Yards,0,5,535,111,2015
Punt Return Yards,0,6,3270,94,2017
Punt Return Yards,0,7,369,61,2014
Punt Return Yards,0,8,912,23,2018
Punt Return Yards,0,9,1288,9,2016
Kickoff Return Yards,0,0,2566,802,2015
Kickoff Return Yards,0,1,842,744,2018
Kickoff Return Yards,0,2,1819,630,2016
Kickoff Return Yards,0,3,5741,548,2018
Kickoff Return Yards,0,4,2589,327,2014
Kickoff Return Yards,0,5,722,165,2017
Kickoff Return Yards,0,6,3270,144,2017
Kickoff Return Yards,0,7,557,133,2017
Kickoff Return Yards,0,8,910,133,2018
Kickoff Return Yards,0,9,260,126,2017
Kickoff Return Yards,0,10,239,116,2015
Kickoff Return Yards,0,11,455,56,2017
Kickoff Return Yards,0,12,912,22,2018
Kickoff Return Yards,0,13,369,19,2014
Kickoff Return Yards,0,14,282,17,2017
Kickoff Return Yards,0,15,535,16,2015
Kickoff Return TDs,0,0,2566,3,2015
Kickoff Return TDs,0,1,5741,1,2018
Points Scored,0,0,1864,368,2018
Points Scored,0,1,270,222,2016
Points Scored,0,2,430,134,2017
Points Scored,0,3,1687,118,2014
Points Scored,0,4,2834,117,2018
Points Scored,0,5,1836,108,2018
Points Scored,0,6,842,78,2018
Points Scored,0,7,1546,60,2015
Points Scored,0,8,4255,54,2018
Points Scored,0,9,1073,44,2018
Points Scored,0,10,2423,36,2018
Points Scored,0,11,587,30,2018
Points Scored,0,12,98,24,2015
Points Scored,0,13,2566,24,2015
Points Scored,0,14,260,24,2017
Points Scored,0,15,1675,24,2017
Points Scored,0,16,452,24,2018
Points Scored,0,17,883,18,2015
Points Scored,0,18,557,18,2017
Points Scored,0,19,1536,18,2018
Points Scored,0,20,1771,12,2014
Points Scored,0,21,831,12,2015
Points Scored,0,22,3272,12,2015
Points Scored,0,23,1288,12,2016
Points Scored,0,24,1819,12,2016
Points Scored,0,25,307,12,2018
Points Scored,0,26,4232,12,2018
Points Scored,0,27,5741,12,2018
Points Scored,0,28,535,6,2015
Points Scored,0,29,995,6,2015
Points Scored,0,30,1365,6,2015
Points Scored,0,31,794,6,2016
Points Scored,0,32,1951,6,2016
Points Scored,0,33,2634,6,2016
Points Scored,0,34,389,6,2017
Points Scored,0,35,435,6,2018
Points Scored,0,36,1132,6,2018
Points Scored,0,37,2512,6,2018
Points Scored,0,38,4811,6,2018
Points Scored,0,39,5016,6,2018
Points Scored,0,40,6489,6,2018
Yards from Scrimmage,0,0,1864,9948,2018
Yards from Scrimmage,0,1,842,3371,2018
Yards from Scrimmage,0,2,1836,1860,2018
Yards from Scrimmage,0,3,1546,1547,2015
Yards from Scrimmage,0,4,1536,1248,2018
Yards from Scrimmage,0,5,4255,1086,2018
Yards from Scrimmage,0,6,2423,819,2018
Yards from Scrimmage,0,7,452,740,2018
Yards from Scrimmage,0,8,1288,653,2016
Yards from Scrimmage,0,9,260,635,2017
Yards from Scrimmage,0,10,883,618,2015
Yards from Scrimmage,0,11,1771,518,2014
Yards from Scrimmage,0,12,1819,511,2016
Yards from Scrimmage,0,13,3272,412,2015
Yards from Scrimmage,0,14,1675,412,2017
Yards from Scrimmage,0,15,831,382,2015
Yards from Scrimmage,0,16,557,371,2017
Yards from Scrimmage,0,17,1365,320,2015
Yards from Scrimmage,0,18,4232,261,2018
Yards from Scrimmage,0,19,5016,260,2018
Yards from Scrimmage,0,20,2589,248,2014
Yards from Scrimmage,0,21,98,230,2015
Yards from Scrimmage,0,22,1951,222,2016
Yards from Scrimmage,0,23,2566,210,2015
Yards from Scrimmage,0,24,2634,153,2016
Yards from Scrimmage,0,25,4891,127,2017
Yards from Scrimmage,0,26,1093,111,2017
Yards from Scrimmage,0,27,2012,66,2014
Yards from Scrimmage,0,28,5897,65,2018
Yards from Scrimmage,0,29,2512,60,2018
Yards from Scrimmage,0,30,4071,57,2016
Yards from Scrimmage,0,31,369,54,2014
Yards from Scrimmage,0,32,4980,52,2017
