Category,Team/All_Teams,Place,Record,Year,Team
Passing Yards Allowed,17,0,2329,2014,17
Rushing Yards,17,0,972,2014,17
Rushing Yards Allowed,17,0,1168,2014,17
Total Yards,17,0,3220,2014,17
Total Yards Allowed,17,0,3498,2014,17
Pass Attempts,17,0,390,2014,17
Rush Attempts,17,0,229,2014,17
Points Scored,18,0,235,2014,18
Points Allowed,18,0,268,2014,18
Passing Yards,18,0,2763,2014,18
Passing Yards Allowed,18,0,2615,2014,18
Rushing Yards,18,0,926,2014,18
Rushing Yards Allowed,18,0,1040,2014,18
Total Yards,18,0,3690,2014,18
Total Yards Allowed,18,0,3655,2014,18
Pass Attempts,18,0,400,2014,18
Rush Attempts,18,0,221,2014,18
Points Scored,19,0,308,2014,19
Points Allowed,19,0,163,2014,19
Passing Yards,19,0,2660,2014,19
Passing Yards Allowed,19,0,1918,2014,19
Rushing Yards,19,0,1185,2014,19
Rushing Yards Allowed,19,0,1022,2014,19
Total Yards,19,0,3845,2014,19
Total Yards Allowed,19,0,2941,2014,19
Pass Attempts,19,0,333,2014,19
Rush Attempts,19,0,312,2014,19
Points Scored,20,0,198,2014,20
Points Allowed,20,0,178,2014,20
Passing Yards,20,0,2030,2014,20
Passing Yards Allowed,20,0,2433,2014,20
Rushing Yards,20,0,1327,2014,20
Rushing Yards Allowed,20,0,1009,2014,20
Total Yards,20,0,3358,2014,20
Total Yards Allowed,20,0,3442,2014,20
Pass Attempts,20,0,296,2014,20
Rush Attempts,20,0,321,2014,20
Points Scored,21,0,235,2014,21
Points Allowed,21,0,195,2014,21
Passing Yards,21,0,2558,2014,21
Passing Yards Allowed,21,0,2500,2014,21
Rushing Yards,21,0,1520,2014,21
Rushing Yards Allowed,21,0,729,2014,21
Total Yards,21,0,4078,2014,21
Total Yards Allowed,21,0,3230,2014,21
Pass Attempts,21,0,366,2014,21
Rush Attempts,21,0,323,2014,21
Points Scored,22,0,277,2014,22
Points Allowed,22,0,218,2014,22
Passing Yards,22,0,2857,2014,22
Passing Yards Allowed,22,0,2160,2014,22
Rushing Yards,22,0,1059,2014,22
Rushing Yards Allowed,22,0,1267,2014,22
Total Yards,22,0,3916,2014,22
Total Yards Allowed,22,0,3428,2014,22
Pass Attempts,22,0,380,2014,22
Rush Attempts,22,0,273,2014,22
Points Scored,23,0,198,2014,23
Points Allowed,23,0,197,2014,23
Passing Yards,23,0,2346,2014,23
Passing Yards Allowed,23,0,2334,2014,23
Rushing Yards,23,0,1080,2014,23
Rushing Yards Allowed,23,0,996,2014,23
Total Yards,23,0,3426,2014,23
Total Yards Allowed,23,0,3330,2014,23
Pass Attempts,23,0,342,2014,23
Rush Attempts,23,0,285,2014,23
Points Scored,24,0,206,2014,24
Points Allowed,24,0,176,2014,24
Passing Yards,24,0,1846,2014,24
Passing Yards Allowed,24,0,2003,2014,24
Rushing Yards,24,0,1365,2014,24
Rushing Yards Allowed,24,0,1029,2014,24
Total Yards,24,0,3212,2014,24
Total Yards Allowed,24,0,3032,2014,24
Pass Attempts,24,0,335,2014,24
Rush Attempts,24,0,335,2014,24
Points Scored,25,0,220,2014,25
Points Allowed,25,0,215,2014,25
Passing Yards,25,0,2807,2014,25
Passing Yards Allowed,25,0,2651,2014,25
Rushing Yards,25,0,1118,2014,25
Rushing Yards Allowed,25,0,925,2014,25
Total Yards,25,0,3926,2014,25
Total Yards Allowed,25,0,3576,2014,25
Pass Attempts,25,0,355,2014,25
Rush Attempts,25,0,263,2014,25
Points Scored,26,0,226,2014,26
Points Allowed,26,0,221,2014,26
Passing Yards,26,0,2740,2014,26
Passing Yards Allowed,26,0,2274,2014,26
Rushing Yards,26,0,980,2014,26
Rushing Yards Allowed,26,0,1151,2014,26
Total Yards,26,0,3720,2014,26
Total Yards Allowed,26,0,3425,2014,26
Pass Attempts,26,0,353,2014,26
Rush Attempts,26,0,263,2014,26
Points Scored,27,0,275,2014,27
Points Allowed,27,0,171,2014,27
Passing Yards,27,0,1957,2014,27
Passing Yards Allowed,27,0,2344,2014,27
Rushing Yards,27,0,1603,2014,27
Rushing Yards Allowed,27,0,784,2014,27
Total Yards,27,0,3561,2014,27
Total Yards Allowed,27,0,3128,2014,27
Pass Attempts,27,0,281,2014,27
Rush Attempts,27,0,346,2014,27
Points Scored,28,0,218,2014,28
Points Allowed,28,0,212,2014,28
Passing Yards,28,0,2310,2014,28
Passing Yards Allowed,28,0,2759,2014,28
Rushing Yards,28,0,1206,2014,28
Rushing Yards Allowed,28,0,761,2014,28
Total Yards,28,0,3517,2014,28
Total Yards Allowed,28,0,3520,2014,28
Pass Attempts,28,0,326,2014,28
Rush Attempts,28,0,294,2014,28
Points Scored,29,0,280,2014,29
Points Allowed,29,0,176,2014,29
Passing Yards,29,0,2934,2014,29
Passing Yards Allowed,29,0,2400,2014,29
Rushing Yards,29,0,837,2014,29
Rushing Yards Allowed,29,0,1165,2014,29
Total Yards,29,0,3771,2014,29
Total Yards Allowed,29,0,3565,2014,29
Pass Attempts,29,0,352,2014,29
Rush Attempts,29,0,255,2014,29
Points Scored,30,0,114,2014,30
Points Allowed,30,0,245,2014,30
Passing Yards,30,0,1817,2014,30
Passing Yards Allowed,30,0,2248,2014,30
Rushing Yards,30,0,847,2014,30
Rushing Yards Allowed,30,0,1358,2014,30
Total Yards,30,0,2665,2014,30
Total Yards Allowed,30,0,3607,2014,30
Pass Attempts,30,0,386,2014,30
Rush Attempts,30,0,216,2014,30
Points Scored,31,0,205,2014,31
Points Allowed,31,0,223,2014,31
Passing Yards,31,0,2498,2014,31
Passing Yards Allowed,31,0,2530,2014,31
Rushing Yards,31,0,993,2014,31
Rushing Yards Allowed,31,0,1364,2014,31
Total Yards,31,0,3491,2014,31
Total Yards Allowed,31,0,3894,2014,31
Pass Attempts,31,0,373,2014,31
Rush Attempts,31,0,244,2014,31
Points Scored,99,0,308,2014,19
Points Scored,99,1,280,2014,29
Points Scored,99,2,277,2014,22
Points Scored,99,3,275,2014,27
Points Scored,99,4,263,2014,15
Points Scored,99,5,258,2014,12
Points Scored,99,6,247,2014,16
Points Scored,99,7,240,2014,4
Points Scored,99,8,238,2014,6
Points Scored,99,9,235,2014,18
Points Scored,99,10,235,2014,21
Points Scored,99,11,227,2014,10
Points Scored,99,12,226,2014,26
Points Scored,99,13,220,2014,25
Points Scored,99,14,218,2014,28
Points Scored,99,15,206,2014,24
Points Scored,99,16,205,2014,31
Points Scored,99,17,202,2014,0
Points Scored,99,18,201,2014,11
Points Scored,99,19,198,2014,20
Points Scored,99,20,198,2014,23
Points Scored,99,21,193,2014,3
Points Scored,99,22,181,2014,2
Points Scored,99,23,180,2014,17
Points Scored,99,24,177,2014,7
Points Scored,99,25,166,2014,8
Points Scored,99,26,165,2014,14
Points Scored,99,27,158,2014,5
Points Scored,99,28,152,2014,13
Points Scored,99,29,150,2014,1
Points Scored,99,30,143,2014,9
Points Scored,99,31,114,2014,30
Points Allowed,99,0,163,2014,19
Points Allowed,99,1,166,2014,10
Points Allowed,99,2,170,2014,16
Points Allowed,99,3,171,2014,27
Points Allowed,99,4,176,2014,24
Points Allowed,99,5,176,2014,29
Points Allowed,99,6,178,2014,20
Points Allowed,99,7,185,2014,7
Points Allowed,99,8,188,2014,4
Points Allowed,99,9,191,2014,15
Points Allowed,99,10,195,2014,21
Points Allowed,99,11,197,2014,23
Points Allowed,99,12,201,2014,6
Points Allowed,99,13,203,2014,3
Points Allowed,99,14,205,2014,17
Points Allowed,99,15,212,2014,28
Points Allowed,99,16,215,2014,25
Points Allowed,99,17,218,2014,22
Points Allowed,99,18,220,2014,8
Points Allowed,99,19,220,2014,14
Points Allowed,99,20,221,2014,26
Points Allowed,99,21,223,2014,0
Points Allowed,99,22,223,2014,31
Points Allowed,99,23,236,2014,5
Points Allowed,99,24,236,2014,12
Points Allowed,99,25,239,2014,13
Points Allowed,99,26,240,2014,9
Points Allowed,99,27,245,2014,30
Points Allowed,99,28,250,2014,2
Points Allowed,99,29,250,2014,11
Points Allowed,99,30,253,2014,1
Points Allowed,99,31,268,2014,18
Passing Yards,99,0,2934,2014,29
Passing Yards,99,1,2857,2014,22
Passing Yards,99,2,2807,2014,25
Passing Yards,99,3,2763,2014,18
Passing Yards,99,4,2740,2014,26
Passing Yards,99,5,2715,2014,12
Passing Yards,99,6,2660,2014,19
Passing Yards,99,7,2603,2014,15
Passing Yards,99,8,2560,2014,11
Passing Yards,99,9,2558,2014,21
Passing Yards,99,10,2507,2014,6
Passing Yards,99,11,2498,2014,31
Passing Yards,99,12,2429,2014,16
Passing Yards,99,13,2370,2014,2
Passing Yards,99,14,2365,2014,1
Passing Yards,99,15,2364,2014,0
Passing Yards,99,16,2346,2014,23
Passing Yards,99,17,2310,2014,28
Passing Yards,99,18,2285,2014,14
Passing Yards,99,19,2263,2014,10
Passing Yards,99,20,2247,2014,17
Passing Yards,99,21,2215,2014,5
Passing Yards,99,22,2048,2014,8
Passing Yards,99,23,2030,2014,7
Passing Yards,99,24,2030,2014,20
Passing Yards,99,25,1957,2014,27
Passing Yards,99,26,1866,2014,3
Passing Yards,99,27,1846,2014,24
Passing Yards,99,28,1828,2014,4
Passing Yards,99,29,1821,2014,13
Passing Yards,99,30,1817,2014,30
Passing Yards,99,31,1779,2014,9
Passing Yards Allowed,99,0,1918,2014,19
Passing Yards Allowed,99,1,2003,2014,24
Passing Yards Allowed,99,2,2035,2014,16
Passing Yards Allowed,99,3,2081,2014,5
Passing Yards Allowed,99,4,2084,2014,2
Passing Yards Allowed,99,5,2140,2014,10
Passing Yards Allowed,99,6,2160,2014,22
Passing Yards Allowed,99,7,2195,2014,14
Passing Yards Allowed,99,8,2203,2014,4
Passing Yards Allowed,99,9,2216,2014,3
Passing Yards Allowed,99,10,2248,2014,30
Passing Yards Allowed,99,11,2253,2014,15
Passing Yards Allowed,99,12,2255,2014,13
Passing Yards Allowed,99,13,2274,2014,26
Passing Yards Allowed,99,14,2278,2014,9
Passing Yards Allowed,99,15,2315,2014,6
Passing Yards Allowed,99,16,2329,2014,17
Passing Yards Allowed,99,17,2333,2014,0
Passing Yards Allowed,99,18,2334,2014,23
Passing Yards Allowed,99,19,2344,2014,27
Passing Yards Allowed,99,20,2351,2014,7
Passing Yards Allowed,99,21,2400,2014,29
Passing Yards Allowed,99,22,2420,2014,1
Passing Yards Allowed,99,23,2433,2014,20
Passing Yards Allowed,99,24,2500,2014,21
Passing Yards Allowed,99,25,2530,2014,31
Passing Yards Allowed,99,26,2551,2014,8
Passing Yards Allowed,99,27,2566,2014,11
Passing Yards Allowed,99,28,2615,2014,18
Passing Yards Allowed,99,29,2646,2014,12
Passing Yards Allowed,99,30,2651,2014,25
Passing Yards Allowed,99,31,2759,2014,28
Rushing Yards,99,0,1603,2014,27
Rushing Yards,99,1,1520,2014,21
Rushing Yards,99,2,1420,2014,3
Rushing Yards,99,3,1365,2014,24
Rushing Yards,99,4,1361,2014,10
Rushing Yards,99,5,1327,2014,20
Rushing Yards,99,6,1297,2014,4
Rushing Yards,99,7,1249,2014,6
Rushing Yards,99,8,1207,2014,15
Rushing Yards,99,9,1206,2014,28
Rushing Yards,99,10,1185,2014,19
Rushing Yards,99,11,1138,2014,7
Rushing Yards,99,12,1132,2014,8
Rushing Yards,99,13,1118,2014,25
Rushing Yards,99,14,1098,2014,0
Rushing Yards,99,15,1080,2014,23
Rushing Yards,99,16,1066,2014,9
Rushing Yards,99,17,1061,2014,13
Rushing Yards,99,18,1059,2014,22
Rushing Yards,99,19,1045,2014,5
Rushing Yards,99,20,1018,2014,16
Rushing Yards,99,21,1005,2014,11
Rushing Yards,99,22,993,2014,31
Rushing Yards,99,23,980,2014,26
Rushing Yards,99,24,972,2014,17
Rushing Yards,99,25,957,2014,2
Rushing Yards,99,26,953,2014,12
Rushing Yards,99,27,926,2014,18
Rushing Yards,99,28,870,2014,14
Rushing Yards,99,29,847,2014,30
Rushing Yards,99,30,837,2014,29
Rushing Yards,99,31,613,2014,1
Rushing Yards Allowed,99,0,729,2014,21
Rushing Yards Allowed,99,1,761,2014,28
Rushing Yards Allowed,99,2,784,2014,27
Rushing Yards Allowed,99,3,855,2014,10
Rushing Yards Allowed,99,4,861,2014,12
Rushing Yards Allowed,99,5,925,2014,25
Rushing Yards Allowed,99,6,996,2014,23
Rushing Yards Allowed,99,7,1009,2014,20
Rushing Yards Allowed,99,8,1022,2014,19
Rushing Yards Allowed,99,9,1029,2014,24
Rushing Yards Allowed,99,10,1040,2014,18
Rushing Yards Allowed,99,11,1057,2014,2
Rushing Yards Allowed,99,12,1063,2014,6
Rushing Yards Allowed,99,13,1066,2014,13
Rushing Yards Allowed,99,14,1073,2014,14
Rushing Yards Allowed,99,15,1122,2014,3
Rushing Yards Allowed,99,16,1150,2014,9
Rushing Yards Allowed,99,17,1151,2014,26
Rushing Yards Allowed,99,18,1153,2014,8
Rushing Yards Allowed,99,19,1159,2014,4
Rushing Yards Allowed,99,20,1165,2014,29
Rushing Yards Allowed,99,21,1168,2014,17
Rushing Yards Allowed,99,22,1203,2014,16
Rushing Yards Allowed,99,23,1221,2014,0
Rushing Yards Allowed,99,24,1256,2014,15
Rushing Yards Allowed,99,25,1267,2014,22
Rushing Yards Allowed,99,26,1285,2014,7
Rushing Yards Allowed,99,27,1286,2014,11
Rushing Yards Allowed,99,28,1358,2014,30
Rushing Yards Allowed,99,29,1364,2014,31
Rushing Yards Allowed,99,30,1373,2014,5
Rushing Yards Allowed,99,31,1556,2014,1
Total Yards,99,0,4078,2014,21
Total Yards,99,1,3926,2014,25
Total Yards,99,2,3916,2014,22
Total Yards,99,3,3845,2014,19
Total Yards,99,4,3810,2014,15
Total Yards,99,5,3771,2014,29
Total Yards,99,6,3756,2014,6
Total Yards,99,7,3720,2014,26
Total Yards,99,8,3690,2014,18
Total Yards,99,9,3669,2014,12
Total Yards,99,10,3624,2014,10
Total Yards,99,11,3565,2014,11
Total Yards,99,12,3561,2014,27
Total Yards,99,13,3517,2014,28
Total Yards,99,14,3491,2014,31
Total Yards,99,15,3463,2014,0
Total Yards,99,16,3448,2014,16
Total Yards,99,17,3426,2014,23
Total Yards,99,18,3358,2014,20
Total Yards,99,19,3328,2014,2
Total Yards,99,20,3286,2014,3
Total Yards,99,21,3260,2014,5
Total Yards,99,22,3220,2014,17
Total Yards,99,23,3212,2014,24
Total Yards,99,24,3181,2014,8
Total Yards,99,25,3168,2014,7
Total Yards,99,26,3155,2014,14
Total Yards,99,27,3125,2014,4
Total Yards,99,28,2978,2014,1
Total Yards,99,29,2883,2014,13
Total Yards,99,30,2846,2014,9
Total Yards,99,31,2665,2014,30
Total Yards Allowed,99,0,2941,2014,19
Total Yards Allowed,99,1,2995,2014,10
Total Yards Allowed,99,2,3032,2014,24
Total Yards Allowed,99,3,3128,2014,27
Total Yards Allowed,99,4,3141,2014,2
Total Yards Allowed,99,5,3230,2014,21
Total Yards Allowed,99,6,3238,2014,16
Total Yards Allowed,99,7,3268,2014,14
Total Yards Allowed,99,8,3321,2014,13
Total Yards Allowed,99,9,3330,2014,23
Total Yards Allowed,99,10,3338,2014,3
Total Yards Allowed,99,11,3362,2014,4
Total Yards Allowed,99,12,3379,2014,6
Total Yards Allowed,99,13,3425,2014,26
Total Yards Allowed,99,14,3428,2014,22
Total Yards Allowed,99,15,3429,2014,9
Total Yards Allowed,99,16,3442,2014,20
Total Yards Allowed,99,17,3454,2014,5
Total Yards Allowed,99,18,3498,2014,17
Total Yards Allowed,99,19,3508,2014,12
Total Yards Allowed,99,20,3510,2014,15
Total Yards Allowed,99,21,3520,2014,28
Total Yards Allowed,99,22,3554,2014,0
Total Yards Allowed,99,23,3565,2014,29
Total Yards Allowed,99,24,3576,2014,25
Total Yards Allowed,99,25,3607,2014,30
Total Yards Allowed,99,26,3637,2014,7
Total Yards Allowed,99,27,3655,2014,18
Total Yards Allowed,99,28,3705,2014,8
Total Yards Allowed,99,29,3853,2014,11
Total Yards Allowed,99,30,3894,2014,31
Total Yards Allowed,99,31,3976,2014,1
Pass Attempts,99,0,428,2014,1
Pass Attempts,99,1,425,2014,14
Pass Attempts,99,2,418,2014,12
Pass Attempts,99,3,415,2014,2
Pass Attempts,99,4,400,2014,18
Pass Attempts,99,5,390,2014,17
Pass Attempts,99,6,386,2014,30
Pass Attempts,99,7,380,2014,22
Pass Attempts,99,8,378,2014,5
Pass Attempts,99,9,373,2014,31
Pass Attempts,99,10,366,2014,21
Pass Attempts,99,11,356,2014,0
Pass Attempts,99,12,356,2014,6
Pass Attempts,99,13,356,2014,11
Pass Attempts,99,14,355,2014,25
Pass Attempts,99,15,353,2014,26
Pass Attempts,99,16,352,2014,7
Pass Attempts,99,17,352,2014,29
Pass Attempts,99,18,350,2014,16
Pass Attempts,99,19,342,2014,8
Pass Attempts,99,20,342,2014,23
Pass Attempts,99,21,338,2014,13
Pass Attempts,99,22,335,2014,10
Pass Attempts,99,23,335,2014,24
Pass Attempts,99,24,333,2014,19
Pass Attempts,99,25,330,2014,9
Pass Attempts,99,26,329,2014,15
Pass Attempts,99,27,326,2014,28
Pass Attempts,99,28,296,2014,20
Pass Attempts,99,29,281,2014,27
Pass Attempts,99,30,280,2014,4
Pass Attempts,99,31,277,2014,3
Rush Attempts,99,0,346,2014,27
Rush Attempts,99,1,338,2014,4
Rush Attempts,99,2,335,2014,3
Rush Attempts,99,3,335,2014,24
Rush Attempts,99,4,323,2014,21
Rush Attempts,99,5,321,2014,20
Rush Attempts,99,6,318,2014,10
Rush Attempts,99,7,312,2014,19
Rush Attempts,99,8,294,2014,28
Rush Attempts,99,9,290,2014,6
Rush Attempts,99,10,285,2014,23
Rush Attempts,99,11,282,2014,0
Rush Attempts,99,12,278,2014,9
Rush Attempts,99,13,275,2014,15
Rush Attempts,99,14,273,2014,22
Rush Attempts,99,15,270,2014,8
Rush Attempts,99,16,270,2014,11
Rush Attempts,99,17,265,2014,5
Rush Attempts,99,18,265,2014,7
Rush Attempts,99,19,263,2014,25
Rush Attempts,99,20,263,2014,26
Rush Attempts,99,21,258,2014,16
Rush Attempts,99,22,255,2014,29
Rush Attempts,99,23,253,2014,2
Rush Attempts,99,24,244,2014,31
Rush Attempts,99,25,236,2014,13
Rush Attempts,99,26,230,2014,12
Rush Attempts,99,27,229,2014,17
Rush Attempts,99,28,228,2014,14
Rush Attempts,99,29,221,2014,18
Rush Attempts,99,30,216,2014,30
Rush Attempts,99,31,174,2014,1
