Category,Team/All_Teams,Place,Player,Record,Team,Year
Receptions,0,12,1864,58,0,2014
Receptions,0,13,842,57,0,2019
Receptions,0,14,1864,56,0,2017
Receptions,0,15,1864,54,0,2015
Receptions,0,16,883,52,0,2015
Receptions,0,17,1771,49,0,2014
Receptions,0,18,1546,49,0,2015
Receptions,0,19,842,45,0,2015
Receptions,0,20,1836,45,0,2018
Receptions,0,21,1819,44,0,2016
Receptions,0,22,842,42,0,2016
Receptions,0,23,7598,42,0,2020
Receptions,0,24,1836,41,0,2019
Receptions,0,25,4255,40,0,2017
Receptions,0,26,1836,38,0,2014
Receptions,0,27,260,37,0,2017
Receptions,0,28,1836,36,0,2015
Receptions,0,29,1836,36,0,2016
Receptions,0,30,557,36,0,2017
Receptions,0,31,5928,33,0,2019
Receptions,0,32,1836,31,0,2017
Receptions,0,33,7537,27,0,2020
Receptions,0,34,1288,26,0,2015
Receptions,0,35,1675,26,0,2017
Receptions,0,36,1288,25,0,2016
Receptions,0,37,1675,25,0,2016
Receptions,0,38,1365,22,0,2014
Receptions,0,39,2589,21,0,2014
Receptions,0,40,4255,21,0,2016
Receptions,0,41,4232,20,0,2018
Receptions,0,42,5928,20,0,2020
Receptions,0,43,5016,19,0,2019
Receptions,0,44,2566,18,0,2015
Receptions,0,45,7501,18,0,2020
Receptions,0,46,4255,17,0,2018
Receptions,0,47,5016,16,0,2018
Receptions,0,48,7569,14,0,2020
Receptions,0,49,3272,12,0,2015
Receptions,0,50,2634,11,0,2016
Receptions,0,51,7484,11,0,2020
Receptions,0,52,831,10,0,2014
Receptions,0,53,2012,10,0,2014
Receptions,0,54,1093,10,0,2017
Receptions,0,55,4255,10,0,2019
Receptions,0,56,5017,10,0,2019
Receptions,0,57,6610,9,0,2019
Receptions,0,58,1951,8,0,2016
Receptions,0,59,2512,7,0,2016
Receptions,0,60,1365,6,0,2015
Receptions,0,61,2512,6,0,2018
Receptions,0,62,5856,6,0,2019
Receptions,0,63,2423,5,0,2017
Receptions,0,64,4980,5,0,2017
Receptions,0,65,5828,5,0,2019
Receptions,0,66,7486,5,0,2020
Receptions,0,67,369,4,0,2014
Receptions,0,68,2423,4,0,2018
Receptions,0,69,3358,4,0,2018
Receptions,0,70,5897,4,0,2018
Receptions,0,71,7445,4,0,2020
Receptions,0,72,7638,4,0,2020
Receptions,0,73,1371,3,0,2014
Receptions,0,74,5016,3,0,2017
Receptions,0,75,5741,3,0,2018
Receptions,0,76,5928,3,0,2018
Receptions,0,77,582,3,0,2019
Receptions,0,78,1464,2,0,2014
Receptions,0,79,4071,2,0,2016
Receptions,0,80,4891,2,0,2017
Receptions,0,81,7517,2,0,2020
Receptions,0,82,831,1,0,2015
Receptions,0,83,3410,1,0,2015
Receptions,0,84,3370,1,0,2016
Receptions,0,85,4232,1,0,2017
Receiving Yards,0,0,1546,1006,0,2014
Receiving Yards,0,1,6758,926,0,2020
Receiving Yards,0,2,842,807,0,2018
Receiving Yards,0,3,842,760,0,2017
Receiving Yards,0,4,842,758,0,2014
Receiving Yards,0,5,842,751,0,2020
Receiving Yards,0,6,452,734,0,2018
Receiving Yards,0,7,6758,731,0,2019
Receiving Yards,0,8,842,702,0,2019
Receiving Yards,0,9,260,623,0,2017
Receiving Yards,0,10,883,618,0,2015
Receiving Yards,0,11,4255,588,0,2017
Receiving Yards,0,12,1864,588,0,2019
Receiving Yards,0,13,1864,561,0,2018
Receiving Yards,0,14,1546,541,0,2015
Receiving Yards,0,15,842,527,0,2015
Receiving Yards,0,16,1864,517,0,2016
Receiving Yards,0,17,1771,515,0,2014
Receiving Yards,0,18,1819,511,0,2016
Receiving Yards,0,19,1864,509,0,2017
Receiving Yards,0,20,842,487,0,2016
Receiving Yards,0,21,1864,462,0,2015
Receiving Yards,0,22,7598,461,0,2020
Receiving Yards,0,23,1864,442,0,2014
Receiving Yards,0,24,5928,378,0,2019
Receiving Yards,0,25,557,371,0,2017
Receiving Yards,0,26,1864,365,0,2020
Receiving Yards,0,27,1288,348,0,2016
Receiving Yards,0,28,1836,323,0,2019
Receiving Yards,0,29,1836,318,0,2018
Receiving Yards,0,30,1288,305,0,2015
Receiving Yards,0,31,1836,300,0,2017
Receiving Yards,0,32,1836,293,0,2014
Receiving Yards,0,33,1836,263,0,2016
Receiving Yards,0,34,4255,262,0,2016
Receiving Yards,0,35,4232,253,0,2018
Receiving Yards,0,36,2589,248,0,2014
Receiving Yards,0,37,1836,236,0,2015
Receiving Yards,0,38,1675,226,0,2017
Receiving Yards,0,39,4255,223,0,2018
Receiving Yards,0,40,7537,218,0,2020
Receiving Yards,0,41,2566,210,0,2015
Receiving Yards,0,42,1365,208,0,2014
Receiving Yards,0,43,5016,205,0,2019
Receiving Yards,0,44,5016,196,0,2018
Receiving Yards,0,45,5928,189,0,2020
Receiving Yards,0,46,1675,186,0,2016
Receiving Yards,0,47,7501,181,0,2020
Receiving Yards,0,48,2634,153,0,2016
Receiving Yards,0,49,7569,150,0,2020
Receiving Yards,0,50,831,129,0,2014
Receiving Yards,0,51,1365,112,0,2015
Receiving Yards,0,52,1093,111,0,2017
Receiving Yards,0,53,4255,86,0,2019
Receiving Yards,0,54,7484,69,0,2020
Receiving Yards,0,55,6610,68,0,2019
Receiving Yards,0,56,2012,66,0,2014
Receiving Yards,0,57,5897,65,0,2018
Receiving Yards,0,58,3272,64,0,2015
Receiving Yards,0,59,5016,64,0,2017
Receiving Yards,0,60,7638,60,0,2020
Receiving Yards,0,61,5856,58,0,2019
Receiving Yards,0,62,582,57,0,2019
Receiving Yards,0,63,369,54,0,2014
Receiving Yards,0,64,4980,52,0,2017
Receiving Yards,0,65,5017,52,0,2019
Receiving Yards,0,66,5828,40,0,2019
Receiving Yards,0,67,1464,38,0,2014
Receiving Yards,0,68,3358,35,0,2018
Receiving Yards,0,69,2512,31,0,2016
Receiving Yards,0,70,2512,29,0,2018
Receiving Yards,0,71,7517,28,0,2020
Receiving Yards,0,72,7486,27,0,2020
Receiving Yards,0,73,1371,26,0,2014
Receiving Yards,0,74,2423,20,0,2017
Receiving Yards,0,75,2423,18,0,2018
Receiving Yards,0,76,1951,17,0,2016
Receiving Yards,0,77,5928,17,0,2018
Receiving Yards,0,78,3410,12,0,2015
Receiving Yards,0,79,5741,6,0,2018
Receiving Yards,0,80,7445,6,0,2020
Receiving Yards,0,81,4891,5,0,2017
Receiving Yards,0,82,4071,3,0,2016
Yards per Reception,0,0,260,1684,0,2017
Yards per Reception,0,1,4255,1470,0,2017
Yards per Reception,0,2,842,1323,0,2018
Yards per Reception,0,3,1546,1242,0,2014
Yards per Reception,0,4,842,1232,0,2019
Yards per Reception,0,5,842,1231,0,2020
Yards per Reception,0,6,842,1203,0,2014
Yards per Reception,0,7,883,1188,0,2015
Yards per Reception,0,8,842,1188,0,2017
Yards per Reception,0,9,842,1171,0,2015
Yards per Reception,0,10,1819,1161,0,2016
Yards per Reception,0,11,842,1160,0,2016
Yards per Reception,0,12,6758,1158,0,2020
Yards per Reception,0,13,5928,1145,0,2019
Yards per Reception,0,14,1546,1104,0,2015
Yards per Reception,0,15,7598,1098,0,2020
Yards per Reception,0,16,6758,1059,0,2019
Yards per Reception,0,17,1771,1051,0,2014
Yards per Reception,0,18,452,1049,0,2018
Yards per Reception,0,19,557,1031,0,2017
Yards per Reception,0,20,1864,909,0,2017
Yards per Reception,0,21,1864,856,0,2015
Yards per Reception,0,22,1864,837,0,2018
Yards per Reception,0,23,1864,828,0,2019
Yards per Reception,0,24,1836,788,0,2019
Yards per Reception,0,25,1836,771,0,2014
Yards per Reception,0,26,1864,762,0,2014
Yards per Reception,0,27,1864,749,0,2016
Yards per Reception,0,28,1836,731,0,2016
Yards per Reception,0,29,1836,707,0,2018
Yards per Reception,0,30,1836,656,0,2015
Yards per Reception,0,31,1864,579,0,2020
Receiving Touchdowns,0,0,4255,8,0,2017
Receiving Touchdowns,0,1,6758,7,0,2020
Receiving Touchdowns,0,2,1546,6,0,2014
Receiving Touchdowns,0,3,842,6,0,2020
Receiving Touchdowns,0,4,1864,5,0,2015
Receiving Touchdowns,0,5,842,5,0,2017
Receiving Touchdowns,0,6,842,5,0,2019
Receiving Touchdowns,0,7,7598,5,0,2020
Receiving Touchdowns,0,8,1546,4,0,2015
Receiving Touchdowns,0,9,1864,4,0,2016
Receiving Touchdowns,0,10,260,4,0,2017
Receiving Touchdowns,0,11,1836,4,0,2017
Receiving Touchdowns,0,12,1864,4,0,2017
Receiving Touchdowns,0,13,452,4,0,2018
Receiving Touchdowns,0,14,883,3,0,2015
Receiving Touchdowns,0,15,1836,3,0,2016
Receiving Touchdowns,0,16,557,3,0,2017
Receiving Touchdowns,0,17,842,3,0,2018
Receiving Touchdowns,0,18,1836,3,0,2018
Receiving Touchdowns,0,19,1864,3,0,2019
Receiving Touchdowns,0,20,6758,3,0,2019
Receiving Touchdowns,0,21,1864,3,0,2020
Receiving Touchdowns,0,22,1771,2,0,2014
Receiving Touchdowns,0,23,1836,2,0,2014
Receiving Touchdowns,0,24,1864,2,0,2014
Receiving Touchdowns,0,25,842,2,0,2015
Receiving Touchdowns,0,26,1836,2,0,2015
Receiving Touchdowns,0,27,842,2,0,2016
Receiving Touchdowns,0,28,1675,2,0,2016
Receiving Touchdowns,0,29,1819,2,0,2016
Receiving Touchdowns,0,30,1675,2,0,2017
Receiving Touchdowns,0,31,1864,2,0,2018
Receiving Touchdowns,0,32,4232,2,0,2018
Receiving Touchdowns,0,33,5016,2,0,2019
Receiving Touchdowns,0,34,7501,2,0,2020
Receiving Touchdowns,0,35,7569,2,0,2020
Receiving Touchdowns,0,36,1365,1,0,2014
Receiving Touchdowns,0,37,1288,1,0,2015
Receiving Touchdowns,0,38,2566,1,0,2015
Receiving Touchdowns,0,39,1288,1,0,2016
Receiving Touchdowns,0,40,1951,1,0,2016
Receiving Touchdowns,0,41,2634,1,0,2016
Receiving Touchdowns,0,42,4255,1,0,2016
Receiving Touchdowns,0,43,2512,1,0,2018
Receiving Touchdowns,0,44,5016,1,0,2018
Receiving Touchdowns,0,45,1836,1,0,2019
Receiving Touchdowns,0,46,4255,1,0,2019
Receiving Touchdowns,0,47,5017,1,0,2019
Receiving Touchdowns,0,48,6610,1,0,2019
Receiving Touchdowns,0,49,7445,1,0,2020
Targeted Passes,0,0,6758,137,0,2019
Targeted Passes,0,1,6758,137,0,2020
Targeted Passes,0,2,1546,133,0,2014
Targeted Passes,0,3,842,120,0,2019
Targeted Passes,0,4,842,106,0,2020
Targeted Passes,0,5,452,105,0,2018
Targeted Passes,0,6,842,103,0,2014
Targeted Passes,0,7,1864,101,0,2019
Targeted Passes,0,8,842,98,0,2018
Targeted Passes,0,9,1864,96,0,2016
Targeted Passes,0,10,842,94,0,2017
Targeted Passes,0,11,842,92,0,2016
Targeted Passes,0,12,1546,87,0,2015
Targeted Passes,0,13,1864,85,0,2018
Targeted Passes,0,14,1771,84,0,2014
Targeted Passes,0,15,1864,80,0,2014
Targeted Passes,0,16,883,79,0,2015
Targeted Passes,0,17,842,78,0,2015
Targeted Passes,0,18,1864,75,0,2020
Targeted Passes,0,19,1864,73,0,2015
Targeted Passes,0,20,5928,73,0,2019
Targeted Passes,0,21,7598,72,0,2020
Targeted Passes,0,22,1864,70,0,2017
Targeted Passes,0,23,1819,69,0,2016
Targeted Passes,0,24,4255,67,0,2017
Targeted Passes,0,25,260,61,0,2017
Targeted Passes,0,26,1836,55,0,2018
Targeted Passes,0,27,1836,51,0,2014
Targeted Passes,0,28,557,50,0,2017
Targeted Passes,0,29,1288,48,0,2016
Targeted Passes,0,30,1836,48,0,2016
Targeted Passes,0,31,1836,46,0,2019
Targeted Passes,0,32,1288,45,0,2015
Targeted Passes,0,33,1836,42,0,2015
Targeted Passes,0,34,1675,40,0,2016
Targeted Passes,0,35,5928,40,0,2020
Targeted Passes,0,36,1836,39,0,2017
Targeted Passes,0,37,4232,39,0,2018
Targeted Passes,0,38,2589,38,0,2014
Targeted Passes,0,39,1675,36,0,2017
Targeted Passes,0,40,7537,36,0,2020
Targeted Passes,0,41,2566,35,0,2015
Targeted Passes,0,42,4255,35,0,2016
Targeted Passes,0,43,4255,35,0,2019
Targeted Passes,0,44,4255,31,0,2018
Targeted Passes,0,45,1365,30,0,2014
Targeted Passes,0,46,2634,29,0,2016
Targeted Passes,0,47,5016,28,0,2018
Targeted Passes,0,48,5016,28,0,2019
Targeted Passes,0,49,7501,25,0,2020
Targeted Passes,0,50,7569,22,0,2020
Targeted Passes,0,51,1093,20,0,2017
Targeted Passes,0,52,2012,19,0,2014
Targeted Passes,0,53,3272,19,0,2015
Targeted Passes,0,54,5017,16,0,2019
Targeted Passes,0,55,7484,16,0,2020
Targeted Passes,0,56,831,13,0,2014
Targeted Passes,0,57,5856,13,0,2019
Targeted Passes,0,58,369,12,0,2014
Targeted Passes,0,59,1951,12,0,2016
Targeted Passes,0,60,5828,12,0,2019
Targeted Passes,0,61,2512,11,0,2016
Targeted Passes,0,62,2512,9,0,2018
Targeted Passes,0,63,6610,9,0,2019
Targeted Passes,0,64,7486,9,0,2020
Targeted Passes,0,65,2423,8,0,2017
Targeted Passes,0,66,5897,8,0,2018
Targeted Passes,0,67,1365,7,0,2015
Targeted Passes,0,68,3358,7,0,2018
Targeted Passes,0,69,4980,6,0,2017
Targeted Passes,0,70,5016,5,0,2017
Targeted Passes,0,71,582,5,0,2019
Targeted Passes,0,72,7445,5,0,2020
Targeted Passes,0,73,1464,4,0,2014
Targeted Passes,0,74,4232,4,0,2016
Targeted Passes,0,75,4232,4,0,2017
Targeted Passes,0,76,2423,4,0,2018
Targeted Passes,0,77,5741,4,0,2018
Targeted Passes,0,78,5928,4,0,2018
Targeted Passes,0,79,7638,4,0,2020
Targeted Passes,0,80,1371,3,0,2014
Targeted Passes,0,81,3410,2,0,2015
Targeted Passes,0,82,3370,2,0,2016
Targeted Passes,0,83,4071,2,0,2016
Targeted Passes,0,84,4891,2,0,2017
Targeted Passes,0,85,5927,2,0,2019
Targeted Passes,0,86,7517,2,0,2020
Targeted Passes,0,87,7533,2,0,2020
Targeted Passes,0,88,831,1,0,2015
Targeted Passes,0,89,3370,1,0,2015
Passes Dropped,0,0,6758,9,0,2019
Passes Dropped,0,1,842,8,0,2014
Passes Dropped,0,2,6758,8,0,2020
Passes Dropped,0,3,452,7,0,2018
Passes Dropped,0,4,7598,7,0,2020
Passes Dropped,0,5,1864,6,0,2014
Passes Dropped,0,6,842,6,0,2015
Passes Dropped,0,7,842,6,0,2018
Passes Dropped,0,8,842,6,0,2019
Passes Dropped,0,9,1546,5,0,2014
Passes Dropped,0,10,1771,5,0,2014
Passes Dropped,0,11,1546,5,0,2015
Passes Dropped,0,12,1288,5,0,2016
Passes Dropped,0,13,260,5,0,2017
Passes Dropped,0,14,4255,5,0,2017
Passes Dropped,0,15,842,5,0,2020
Passes Dropped,0,16,1864,4,0,2015
Passes Dropped,0,17,2566,4,0,2015
Passes Dropped,0,18,842,4,0,2016
Passes Dropped,0,19,842,4,0,2017
Passes Dropped,0,20,1093,4,0,2017
Passes Dropped,0,21,4255,4,0,2018
Passes Dropped,0,22,1864,4,0,2019
Passes Dropped,0,23,5928,4,0,2019
Passes Dropped,0,24,2589,3,0,2014
Passes Dropped,0,25,4232,3,0,2018
Passes Dropped,0,26,5856,3,0,2019
Passes Dropped,0,27,7537,3,0,2020
Passes Dropped,0,28,883,2,0,2015
Passes Dropped,0,29,1675,2,0,2016
Passes Dropped,0,30,2634,2,0,2016
Passes Dropped,0,31,4255,2,0,2016
Passes Dropped,0,32,4232,2,0,2017
Passes Dropped,0,33,5016,2,0,2018
Passes Dropped,0,34,4255,2,0,2019
Passes Dropped,0,35,5928,2,0,2020
Passes Dropped,0,36,7569,2,0,2020
Passes Dropped,0,37,369,1,0,2014
Passes Dropped,0,38,1365,1,0,2014
Passes Dropped,0,39,1836,1,0,2014
Passes Dropped,0,40,1836,1,0,2015
Passes Dropped,0,41,3272,1,0,2015
Passes Dropped,0,42,1819,1,0,2016
Passes Dropped,0,43,1864,1,0,2016
Passes Dropped,0,44,1951,1,0,2016
Passes Dropped,0,45,3370,1,0,2016
Passes Dropped,0,46,1836,1,0,2017
Passes Dropped,0,47,1864,1,0,2017
Passes Dropped,0,48,4980,1,0,2017
Passes Dropped,0,49,1836,1,0,2018
Passes Dropped,0,50,2512,1,0,2018
Passes Dropped,0,51,5741,1,0,2018
Passes Dropped,0,52,582,1,0,2019
Passes Dropped,0,53,5016,1,0,2019
Passes Dropped,0,54,5927,1,0,2019
Passes Dropped,0,55,7501,1,0,2020
100 Yards Receiving,0,0,1546,3,0,2014
100 Yards Receiving,0,1,842,2,0,2014
100 Yards Receiving,0,2,452,2,0,2018
100 Yards Receiving,0,3,6758,2,0,2020
100 Yards Receiving,0,4,1546,1,0,2015
100 Yards Receiving,0,5,260,1,0,2017
100 Yards Receiving,0,6,842,1,0,2017
