Category,Team/All_Teams,Place,Player,Record,Last_Year
Assists,0,49,4497,1,2017
Sacks,0,0,307,240,2017
Sacks,0,1,1321,230,2017
Sacks,0,2,435,165,2017
Sacks,0,3,995,110,2015
Sacks,0,4,604,110,2017
Sacks,0,5,131,100,2014
Sacks,0,6,1394,90,2016
Sacks,0,7,139,80,2015
Sacks,0,8,3721,80,2017
Sacks,0,9,5487,65,2017
Sacks,0,10,1225,50,2015
Sacks,0,11,1570,45,2015
Sacks,0,12,1729,40,2015
Sacks,0,13,3008,35,2016
Sacks,0,14,2909,20,2014
Sacks,0,15,794,20,2016
Sacks,0,16,2236,15,2014
Sacks,0,17,587,15,2017
Sacks,0,18,535,10,2015
Sacks,0,19,371,10,2016
Sacks,0,20,282,10,2017
Sacks,0,21,455,10,2017
Sacks,0,22,1073,10,2017
Sacks,0,23,1333,10,2017
Sacks,0,24,1507,10,2017
Sacks,0,25,4497,10,2017
Sacks,0,26,5390,10,2017
Sacks,0,27,1193,5,2014
Sacks,0,28,426,5,2015
Sacks,0,29,2264,5,2016
Sacks,0,30,1430,5,2017
Hurries,0,0,1321,38,2017
Hurries,0,1,139,26,2015
Hurries,0,2,435,22,2017
Hurries,0,3,604,22,2017
Hurries,0,4,3721,17,2017
Hurries,0,5,1394,14,2016
Hurries,0,6,5487,11,2017
Hurries,0,7,131,10,2014
Hurries,0,8,3008,10,2016
Hurries,0,9,307,9,2017
Hurries,0,10,1570,7,2015
Hurries,0,11,5390,7,2017
Hurries,0,12,2909,5,2014
Hurries,0,13,1225,5,2015
Hurries,0,14,1507,5,2017
Hurries,0,15,1729,4,2015
Hurries,0,16,371,4,2016
Hurries,0,17,4497,4,2017
Hurries,0,18,426,3,2015
Hurries,0,19,995,3,2015
Hurries,0,20,794,2,2016
Hurries,0,21,2264,2,2016
Hurries,0,22,3014,1,2016
Hurries,0,23,389,1,2017
Hurries,0,24,955,1,2017
Hurries,0,25,1073,1,2017
Hurries,0,26,4811,1,2017
Blocked Passes,0,0,1321,8,2017
Blocked Passes,0,1,1394,6,2016
Blocked Passes,0,2,435,5,2017
Blocked Passes,0,3,604,5,2017
Blocked Passes,0,4,3721,5,2017
Blocked Passes,0,5,5487,5,2017
Blocked Passes,0,6,131,3,2014
Blocked Passes,0,7,307,3,2017
Blocked Passes,0,8,2909,2,2014
Blocked Passes,0,9,139,2,2015
Blocked Passes,0,10,995,2,2015
Blocked Passes,0,11,1225,2,2015
Blocked Passes,0,12,1570,2,2015
Blocked Passes,0,13,3008,2,2016
Blocked Passes,0,14,4497,2,2017
Blocked Passes,0,15,426,1,2015
Blocked Passes,0,16,1073,1,2017
Blocked Passes,0,17,1834,1,2017
Blocked Passes,0,18,5390,1,2017
Field Goals,0,0,270,50,2016
Field Goals,0,1,430,30,2017
Field Goals,0,2,1687,28,2014
Key Run Blocks,0,0,1515,190,2017
Key Run Blocks,0,1,593,145,2017
Key Run Blocks,0,2,1484,103,2017
Key Run Blocks,0,3,1836,43,2017
Key Run Blocks,0,4,625,40,2016
Key Run Blocks,0,5,1041,29,2017
Key Run Blocks,0,6,2677,22,2017
Key Run Blocks,0,7,355,20,2014
Key Run Blocks,0,8,823,18,2015
Key Run Blocks,0,9,3558,16,2016
Key Run Blocks,0,10,1706,11,2016
Key Run Blocks,0,11,1675,11,2017
Key Run Blocks,0,12,2720,7,2017
Key Run Blocks,0,13,883,5,2015
Key Run Blocks,0,14,1365,4,2015
Key Run Blocks,0,15,1566,4,2015
Key Run Blocks,0,16,54,3,2015
Key Run Blocks,0,17,1130,2,2014
Key Run Blocks,0,18,1371,2,2014
Key Run Blocks,0,19,2750,2,2016
Key Run Blocks,0,20,3608,2,2017
Key Run Blocks,0,21,4300,2,2017
Key Run Blocks,0,22,2512,1,2016
Key Run Blocks,0,23,3370,1,2016
Key Run Blocks,0,24,4364,1,2017
Key Run Opportunities,0,0,1515,431,2017
Key Run Opportunities,0,1,593,396,2017
Key Run Opportunities,0,2,1484,294,2017
Key Run Opportunities,0,3,625,119,2016
Key Run Opportunities,0,4,1836,113,2017
Key Run Opportunities,0,5,1041,59,2017
Key Run Opportunities,0,6,3558,56,2016
Key Run Opportunities,0,7,2677,56,2017
Key Run Opportunities,0,8,355,41,2014
Key Run Opportunities,0,9,823,39,2015
Key Run Opportunities,0,10,1706,34,2016
Key Run Opportunities,0,11,1675,23,2017
Key Run Opportunities,0,12,883,19,2015
Key Run Opportunities,0,13,2720,15,2017
Key Run Opportunities,0,14,1365,13,2015
Key Run Opportunities,0,15,1566,13,2015
Key Run Opportunities,0,16,1130,9,2014
Key Run Opportunities,0,17,54,7,2015
Key Run Opportunities,0,18,4300,7,2017
Key Run Opportunities,0,19,3608,5,2017
Key Run Opportunities,0,20,4364,5,2017
Key Run Opportunities,0,21,2012,3,2014
Key Run Opportunities,0,22,2750,3,2016
Key Run Opportunities,0,23,1371,2,2014
Key Run Opportunities,0,24,1093,2,2017
Key Run Opportunities,0,25,5016,2,2017
Key Run Opportunities,0,26,2512,1,2016
Key Run Opportunities,0,27,3370,1,2016
Pancake Blocks,0,0,1515,33,2017
Pancake Blocks,0,1,593,30,2017
Pancake Blocks,0,2,1836,3,2017
Pancake Blocks,0,3,1041,1,2017
Pancake Blocks,0,4,1484,1,2017
Passes Defensed,0,0,587,50,2017
Passes Defensed,0,1,1073,44,2017
Passes Defensed,0,2,794,17,2016
Passes Defensed,0,3,1333,15,2017
Passes Defensed,0,4,389,14,2017
Passes Defensed,0,5,722,14,2017
Passes Defensed,0,6,307,11,2017
Passes Defensed,0,7,995,9,2015
Passes Defensed,0,8,455,6,2017
Passes Defensed,0,9,861,5,2015
Passes Defensed,0,10,1729,5,2015
Passes Defensed,0,11,955,5,2017
Passes Defensed,0,12,1193,4,2014
Passes Defensed,0,13,1386,4,2014
Passes Defensed,0,14,1091,2,2014
Passes Defensed,0,15,3812,2,2015
Passes Defensed,0,16,1834,2,2017
Passes Defensed,0,17,131,1,2014
Passes Defensed,0,18,1772,1,2014
Passes Defensed,0,19,2977,1,2014
Passes Defensed,0,20,239,1,2015
Passes Defensed,0,21,426,1,2015
Passes Defensed,0,22,1225,1,2015
Passes Defensed,0,23,1570,1,2015
Passes Defensed,0,24,2264,1,2016
Passes Defensed,0,25,3014,1,2016
Passes Defensed,0,26,282,1,2017
Passes Defensed,0,27,435,1,2017
Passes Defensed,0,28,1430,1,2017
Passes Defensed,0,29,1507,1,2017
Passes Defensed,0,30,4811,1,2017
Punt Return Yards,0,0,4255,308,2017
Punt Return Yards,0,1,239,211,2015
Punt Return Yards,0,2,433,184,2014
Punt Return Yards,0,3,722,127,2017
Punt Return Yards,0,4,535,111,2015
Punt Return Yards,0,5,3270,94,2017
Punt Return Yards,0,6,369,61,2014
Punt Return Yards,0,7,1288,9,2016
Kickoff Return Yards,0,0,2566,802,2015
Kickoff Return Yards,0,1,842,744,2017
Kickoff Return Yards,0,2,1819,630,2016
Kickoff Return Yards,0,3,2589,327,2014
Kickoff Return Yards,0,4,722,165,2017
Kickoff Return Yards,0,5,3270,144,2017
Kickoff Return Yards,0,6,557,133,2017
Kickoff Return Yards,0,7,260,126,2017
Kickoff Return Yards,0,8,239,116,2015
Kickoff Return Yards,0,9,455,56,2017
Kickoff Return Yards,0,10,369,19,2014
Kickoff Return Yards,0,11,282,17,2017
Kickoff Return Yards,0,12,535,16,2015
Kickoff Return TDs,0,0,2566,3,2015
Points Scored,0,0,1864,314,2017
Points Scored,0,1,270,222,2016
Points Scored,0,2,430,134,2017
Points Scored,0,3,1687,118,2014
Points Scored,0,4,1836,84,2017
Points Scored,0,5,1546,60,2015
Points Scored,0,6,842,60,2017
Points Scored,0,7,4255,54,2017
Points Scored,0,8,1073,32,2017
Points Scored,0,9,98,24,2015
Points Scored,0,10,2566,24,2015
Points Scored,0,11,260,24,2017
Points Scored,0,12,587,24,2017
Points Scored,0,13,1675,24,2017
Points Scored,0,14,2423,24,2017
Points Scored,0,15,883,18,2015
Points Scored,0,16,557,18,2017
Points Scored,0,17,1536,18,2017
Points Scored,0,18,1771,12,2014
Points Scored,0,19,831,12,2015
Points Scored,0,20,3272,12,2015
Points Scored,0,21,1288,12,2016
Points Scored,0,22,1819,12,2016
Points Scored,0,23,535,6,2015
Points Scored,0,24,995,6,2015
Points Scored,0,25,1365,6,2015
Points Scored,0,26,794,6,2016
Points Scored,0,27,1951,6,2016
Points Scored,0,28,2634,6,2016
Points Scored,0,29,307,6,2017
Points Scored,0,30,389,6,2017
Points Scored,0,31,435,6,2017
Points Scored,0,32,4811,6,2017
Yards from Scrimmage,0,0,1864,7931,2017
Yards from Scrimmage,0,1,842,2556,2017
Yards from Scrimmage,0,2,1546,1547,2015
Yards from Scrimmage,0,3,1836,1467,2017
Yards from Scrimmage,0,4,4255,863,2017
Yards from Scrimmage,0,5,1536,849,2017
Yards from Scrimmage,0,6,1288,653,2016
Yards from Scrimmage,0,7,260,635,2017
Yards from Scrimmage,0,8,883,618,2015
Yards from Scrimmage,0,9,2423,524,2017
Yards from Scrimmage,0,10,1771,518,2014
Yards from Scrimmage,0,11,1819,511,2016
Yards from Scrimmage,0,12,3272,412,2015
Yards from Scrimmage,0,13,1675,412,2017
Yards from Scrimmage,0,14,831,382,2015
Yards from Scrimmage,0,15,557,371,2017
Yards from Scrimmage,0,16,1365,320,2015
Yards from Scrimmage,0,17,2589,248,2014
Yards from Scrimmage,0,18,98,230,2015
Yards from Scrimmage,0,19,1951,222,2016
Yards from Scrimmage,0,20,2566,210,2015
Yards from Scrimmage,0,21,2634,153,2016
Yards from Scrimmage,0,22,4891,127,2017
Yards from Scrimmage,0,23,1093,111,2017
Yards from Scrimmage,0,24,2012,66,2014
Yards from Scrimmage,0,25,5016,64,2017
Yards from Scrimmage,0,26,4071,57,2016
Yards from Scrimmage,0,27,369,54,2014
Yards from Scrimmage,0,28,4980,52,2017
Yards from Scrimmage,0,29,911,40,2014
Yards from Scrimmage,0,30,1464,38,2014
Yards from Scrimmage,0,31,3270,36,2017
Yards from Scrimmage,0,32,2512,31,2016
Yards from Scrimmage,0,33,1371,26,2014
Yards from Scrimmage,0,34,433,20,2014
Yards from Scrimmage,0,35,3410,12,2015
Yards from Scrimmage,0,36,2394,12,2017
Yards from Scrimmage,0,37,2424,1,2016
All-Purpose Yards,0,0,1864,7931,2017
All-Purpose Yards,0,1,842,3345,2017
All-Purpose Yards,0,2,1546,1547,2015
All-Purpose Yards,0,3,1836,1467,2017
All-Purpose Yards,0,4,4255,1171,2017
All-Purpose Yards,0,5,1819,1141,2016
All-Purpose Yards,0,6,2566,1012,2015
All-Purpose Yards,0,7,1536,849,2017
All-Purpose Yards,0,8,260,761,2017
All-Purpose Yards,0,9,1288,662,2016
All-Purpose Yards,0,10,883,618,2015
All-Purpose Yards,0,11,2589,578,2014
All-Purpose Yards,0,12,2423,524,2017
All-Purpose Yards,0,13,1771,518,2014
All-Purpose Yards,0,14,557,504,2017
All-Purpose Yards,0,15,1073,422,2017
All-Purpose Yards,0,16,3272,412,2015
All-Purpose Yards,0,17,1675,412,2017
All-Purpose Yards,0,18,831,382,2015
All-Purpose Yards,0,19,587,344,2017
All-Purpose Yards,0,20,239,327,2015
All-Purpose Yards,0,21,722,322,2017
All-Purpose Yards,0,22,1365,320,2015
All-Purpose Yards,0,23,3270,274,2017
All-Purpose Yards,0,24,98,230,2015
All-Purpose Yards,0,25,1951,222,2016
All-Purpose Yards,0,26,433,204,2014
All-Purpose Yards,0,27,535,188,2015
All-Purpose Yards,0,28,2634,153,2016
All-Purpose Yards,0,29,369,134,2014
All-Purpose Yards,0,30,389,127,2017
All-Purpose Yards,0,31,4891,127,2017
All-Purpose Yards,0,32,1093,111,2017
All-Purpose Yards,0,33,794,90,2016
All-Purpose Yards,0,34,307,84,2017
All-Purpose Yards,0,35,2012,66,2014
All-Purpose Yards,0,36,5016,64,2017
All-Purpose Yards,0,37,4071,57,2016
All-Purpose Yards,0,38,435,56,2017
All-Purpose Yards,0,39,455,56,2017
All-Purpose Yards,0,40,4980,52,2017
All-Purpose Yards,0,41,4811,51,2017
All-Purpose Yards,0,42,995,49,2015
All-Purpose Yards,0,43,911,40,2014
All-Purpose Yards,0,44,1464,38,2014
All-Purpose Yards,0,45,1333,34,2017
All-Purpose Yards,0,46,2512,31,2016
All-Purpose Yards,0,47,1371,26,2014
All-Purpose Yards,0,48,861,23,2015
All-Purpose Yards,0,49,1729,22,2015
All-Purpose Yards,0,50,1321,20,2017
All-Purpose Yards,0,51,282,17,2017
All-Purpose Yards,0,52,3410,12,2015
All-Purpose Yards,0,53,2394,12,2017
All-Purpose Yards,0,54,18,8,2017
All-Purpose Yards,0,55,2264,3,2016
All-Purpose Yards,0,56,2424,1,2016
Games Started,0,0,587,64,2017
Games Started,0,1,593,64,2017
Games Started,0,2,1321,64,2017
Games Started,0,3,842,62,2017
Games Started,0,4,1515,62,2017
Games Started,0,5,1864,61,2017
Games Started,0,6,1484,58,2017
Games Started,0,7,1073,52,2017
Games Started,0,8,1333,51,2017
Games Started,0,9,794,48,2016
Games Started,0,10,1836,47,2017
Games Started,0,11,625,45,2016
Games Started,0,12,604,44,2017
Games Started,0,13,722,34,2017
Games Started,0,14,139,32,2015
Games Started,0,15,307,32,2017
Games Started,0,16,389,32,2017
Games Started,0,17,435,32,2017
Games Started,0,18,1536,32,2017
Games Started,0,19,98,29,2015
Games Started,0,20,1546,27,2015
Games Started,0,21,1675,25,2017
Games Started,0,22,3558,21,2016
Games Started,0,23,995,20,2015
Games Started,0,24,3721,20,2017
Games Started,0,25,1365,18,2015
Games Started,0,26,861,16,2015
Games Started,0,27,1041,16,2017
Games Started,0,28,4255,16,2017
Games Started,0,29,5487,16,2017
Games Started,0,30,883,15,2015
Games Started,0,31,1225,15,2015
Games Started,0,32,455,15,2017
Games Started,0,33,131,14,2014
Games Started,0,34,355,14,2014
Games Started,0,35,2677,14,2017
Games Started,0,36,955,13,2017
Games Started,0,37,3008,12,2016
Games Started,0,38,1386,11,2014
Games Started,0,39,823,11,2015
Games Started,0,40,2973,10,2016
