Year,Team,Playoff_Performance,Average_Attendance,Percent_of_Capacity_(of_1000),TV_Contract_(all_money_is_in_thousands),Ticket_Revenue,Suite_Revenue,Salary_Cost,Bonuses,Concessions,Parking,Advertising,Staff_Cost,Maintenance,Stadium_Payments,Overall_Performance,Franchise_Value,Profit,Season_Tickets_Sold,Capacity,Top_Quarterback,Top_Rusher,Top_Receiver,Top_Tackler,Coach,Quarterback_Passing_Yardage,Rusher_Yardage,Receiver_Yardage,Tackles
2015,25,Conference,0,0,0,69550,47540,53050,101060,0,0,0,0,0,0,0,0,0,0,0,28,459,238,955,125,4151,939,902,89
2015,26,Division,0,0,0,48110,28740,70980,56800,0,0,0,0,0,0,0,0,0,0,0,562,1449,1730,223,249,3715,835,1026,97
2015,27,Wild Card,0,0,0,63690,41030,59680,47210,0,0,0,0,0,0,0,0,0,0,0,53,57,287,307,135,2954,994,817,119
2015,28,Division,0,0,0,63930,42050,71920,54270,0,0,0,0,0,0,0,0,0,0,0,104,1739,547,1787,146,3369,1409,1222,100
2015,29,Wild Card,0,0,0,56800,35230,70710,61570,0,0,0,0,0,0,0,0,0,0,0,164,1788,1644,1002,145,3920,933,1245,106
2015,30,None,0,0,0,45920,30010,53920,82650,0,0,0,0,0,0,0,0,0,0,0,3242,3282,3415,290,150,2903,322,887,115
2015,31,None,0,0,0,50940,32890,61420,85930,0,0,0,0,0,0,0,0,0,0,0,1344,3308,771,1091,155,3044,654,992,109
2014,0,None,57200,700,53200,54360,37260,72800,0,7380,3420,21210,9340,5060,0,52,670320,91560,50100,70000,98,1864,1546,794,0,3330,1242,1006,91
2014,1,None,55200,700,53200,54990,32880,72330,0,6400,2960,21210,8570,5060,0,36,638400,85680,50100,70000,185,960,493,988,5,3776,513,1009,106
2014,2,None,57800,700,53200,53980,36480,70930,0,7450,3450,21210,13600,5060,0,38,642390,86180,51300,70000,741,917,742,1459,10,3770,964,1121,130
2014,3,None,62300,700,53200,62950,38390,73290,0,8020,3720,21210,7840,5060,0,72,774060,101300,50800,70000,1488,477,571,708,15,2986,1486,848,101
2014,4,Wild Card,59200,700,53200,54670,35720,72980,0,7630,3530,21210,9780,5060,0,61,688940,88140,51400,70000,363,170,150,482,20,2870,1241,839,118
2014,5,None,60100,700,53200,54630,36590,73310,0,7750,3590,21470,13150,5060,0,48,726180,85710,50500,70000,1006,1006,1639,1560,25,3547,703,895,107
2014,6,Division,59800,700,53200,59010,38830,73710,0,8490,3930,21210,9530,5060,0,70,688940,96370,51600,70000,1441,1134,23,1824,30,3800,1169,1012,116
2014,7,Wild Card,62200,700,53200,61020,36960,74080,0,8020,3710,21210,17340,5060,0,59,688940,87640,51400,70000,648,1829,557,1128,35,3172,772,985,132
2014,8,None,59000,700,53200,51150,34310,71730,0,7600,3520,21210,11780,5060,0,41,696920,82420,51800,70000,5,1109,533,884,40,2509,1178,859,110
2014,9,None,57900,700,53200,56810,34340,72850,0,7470,3450,21210,8350,5060,0,46,646380,90220,51800,70000,1925,1069,1799,838,45,2672,936,775,107
2014,10,None,64400,700,53200,53130,34300,72760,0,8310,3840,21210,13750,5060,0,56,739480,82420,53200,70000,41,1550,46,690,50,3621,1140,1042,111
2014,11,None,62800,700,53200,51240,32850,72460,0,8100,3750,21210,11690,5060,0,34,646380,81140,53100,70000,1221,1637,36,1040,55,2189,737,1168,106
2014,12,None,62900,700,53200,53230,29790,72660,0,7300,3380,21210,7380,5060,0,48,663670,83010,53100,70000,1138,165,779,312,60,4273,845,1302,125
2014,13,None,59900,700,53200,48510,31070,72940,0,7720,3570,21210,10800,5060,0,31,723520,76480,53500,70000,154,947,1089,1121,65,2853,942,811,109
2014,14,None,61600,700,53200,53390,30550,73130,0,7950,3680,21210,8930,5060,0,39,696920,82860,53500,70000,898,1496,1544,1789,70,3514,832,1147,114
2014,15,Division,65100,700,53200,53260,33930,72960,0,9240,4270,21210,8430,5060,0,68,758100,88660,53600,70000,177,1808,377,634,75,4165,804,1138,102
2014,16,None,64600,700,53200,47710,30020,73360,0,8340,3860,21210,18120,5060,0,38,816620,67800,53500,70000,94,395,599,1485,80,3887,720,1164,103
2014,17,None,63800,700,53200,47230,29980,72840,0,8220,3810,21210,12180,5060,0,37,723520,73570,53600,70000,29,913,1830,431,85,3586,872,883,90
2014,18,None,63900,700,53200,51900,30060,72860,0,8230,3810,21210,16350,5060,0,39,739480,74140,53700,70000,1557,1762,353,997,90,4398,1033,1340,128
2014,19,Champion,65700,700,53200,64930,36340,73990,0,10170,4700,21210,13620,5060,0,87,869820,97880,53600,70000,112,1740,1716,783,95,4257,1338,1102,93
2014,20,Division,64500,700,53200,54150,30180,72800,0,8310,3850,22000,7160,5060,0,63,731500,86670,53700,70000,1662,731,1850,257,100,3239,1196,819,110
2014,21,None,64300,700,53200,45870,28320,74530,0,8290,3840,21470,15940,5060,0,33,734160,65460,53900,70000,1092,632,1752,999,105,4094,1023,1006,91
2014,22,Wild Card,64600,700,53200,46910,28180,72890,0,8340,3860,21210,12230,5060,0,38,670320,71520,53900,70000,738,581,16,196,110,3946,992,1464,96
2014,23,None,61900,700,53200,41570,25960,73890,0,7980,3700,21210,8540,5060,0,34,747460,66130,53100,70000,142,1220,714,116,115,3129,798,1002,98
2014,24,None,62400,700,53200,40530,24800,74220,0,8050,3730,21210,13080,5060,0,27,723520,59160,52600,70000,73,1837,1295,908,120,2949,1457,751,97
2014,25,Division,64900,700,53200,47490,28500,74180,0,9210,4260,21210,13330,5060,0,51,758100,71300,53500,70000,28,459,238,233,125,4284,1245,1468,93
2014,26,None,58700,700,53200,37860,23890,73580,0,7560,3500,21210,10550,5060,0,18,696920,58030,53600,70000,562,998,192,223,130,4363,878,1419,111
2014,27,Conference,65100,700,53200,48300,29010,73660,0,10060,4660,21210,10470,5060,0,59,766080,77250,53500,70000,376,57,1878,1166,135,3090,1253,737,95
2014,28,Wild Card,65800,700,53200,42340,24000,73760,0,8490,3930,21210,8540,5060,0,38,766080,65810,53700,70000,104,1739,547,385,140,3614,1117,1069,94
2014,29,Won Conference,65500,700,53200,52760,25980,74390,0,9280,4300,21210,13000,5060,0,58,843220,74280,52600,70000,9,686,945,90,145,4695,764,1181,87
2014,30,None,57200,700,53200,51500,33900,72310,0,7360,3410,21210,8350,5060,0,35,650370,84860,52000,70000,1323,332,163,290,150,2715,490,635,119
2014,31,Conference,65200,700,53200,58490,37170,72030,0,9240,4280,21210,10470,5060,0,71,670320,96030,53300,70000,320,754,771,1619,155,3178,983,1313,107
