Category,Team/All_Teams,Place,Record,Year,Team
Points Allowed,5,0,196,2015,5
Points Allowed,5,1,236,2014,5
Passing Yards,5,0,2290,2015,5
Passing Yards,5,1,2215,2014,5
Passing Yards Allowed,5,0,2081,2014,5
Passing Yards Allowed,5,1,2185,2015,5
Rushing Yards,5,0,1056,2015,5
Rushing Yards,5,1,1045,2014,5
Rushing Yards Allowed,5,0,1185,2015,5
Rushing Yards Allowed,5,1,1373,2014,5
Total Yards,5,0,3347,2015,5
Total Yards,5,1,3260,2014,5
Total Yards Allowed,5,0,3370,2015,5
Total Yards Allowed,5,1,3454,2014,5
Pass Attempts,5,0,378,2014,5
Pass Attempts,5,1,368,2015,5
Rush Attempts,5,0,265,2014,5
Rush Attempts,5,1,260,2015,5
Points Scored,6,0,247,2015,6
Points Scored,6,1,238,2014,6
Points Allowed,6,0,180,2015,6
Points Allowed,6,1,201,2014,6
Passing Yards,6,0,2507,2014,6
Passing Yards,6,1,2145,2015,6
Passing Yards Allowed,6,0,2315,2014,6
Passing Yards Allowed,6,1,2469,2015,6
Rushing Yards,6,0,1463,2015,6
Rushing Yards,6,1,1249,2014,6
Rushing Yards Allowed,6,0,1063,2014,6
Rushing Yards Allowed,6,1,1327,2015,6
Total Yards,6,0,3756,2014,6
Total Yards,6,1,3608,2015,6
Total Yards Allowed,6,0,3379,2014,6
Total Yards Allowed,6,1,3796,2015,6
Pass Attempts,6,0,356,2014,6
Pass Attempts,6,1,313,2015,6
Rush Attempts,6,0,302,2015,6
Rush Attempts,6,1,290,2014,6
Points Scored,7,0,177,2014,7
Points Scored,7,1,152,2015,7
Points Allowed,7,0,185,2014,7
Points Allowed,7,1,280,2015,7
Passing Yards,7,0,2030,2014,7
Passing Yards,7,1,1813,2015,7
Passing Yards Allowed,7,0,2351,2014,7
Passing Yards Allowed,7,1,2551,2015,7
Rushing Yards,7,0,1138,2014,7
Rushing Yards,7,1,1096,2015,7
Rushing Yards Allowed,7,0,1285,2014,7
Rushing Yards Allowed,7,1,1422,2015,7
Total Yards,7,0,3168,2014,7
Total Yards,7,1,2910,2015,7
Total Yards Allowed,7,0,3637,2014,7
Total Yards Allowed,7,1,3974,2015,7
Pass Attempts,7,0,352,2014,7
Pass Attempts,7,1,332,2015,7
Rush Attempts,7,0,265,2014,7
Rush Attempts,7,1,246,2015,7
Points Scored,8,0,221,2015,8
Points Scored,8,1,166,2014,8
Points Allowed,8,0,198,2015,8
Points Allowed,8,1,220,2014,8
Passing Yards,8,0,2570,2015,8
Passing Yards,8,1,2048,2014,8
Passing Yards Allowed,8,0,2483,2015,8
Passing Yards Allowed,8,1,2551,2014,8
Rushing Yards,8,0,1132,2014,8
Rushing Yards,8,1,949,2015,8
Rushing Yards Allowed,8,0,956,2015,8
Rushing Yards Allowed,8,1,1153,2014,8
Total Yards,8,0,3520,2015,8
Total Yards,8,1,3181,2014,8
Total Yards Allowed,8,0,3440,2015,8
Total Yards Allowed,8,1,3705,2014,8
Pass Attempts,8,0,342,2014,8
Pass Attempts,8,1,341,2015,8
Rush Attempts,8,0,292,2015,8
Rush Attempts,8,1,270,2014,8
Points Scored,9,0,143,2014,9
Points Scored,9,1,131,2015,9
Points Allowed,9,0,187,2015,9
Points Allowed,9,1,240,2014,9
Passing Yards,9,0,1849,2015,9
Passing Yards,9,1,1779,2014,9
Passing Yards Allowed,9,0,2099,2015,9
Passing Yards Allowed,9,1,2278,2014,9
Rushing Yards,9,0,1066,2014,9
Rushing Yards,9,1,910,2015,9
Rushing Yards Allowed,9,0,917,2015,9
Rushing Yards Allowed,9,1,1150,2014,9
Total Yards,9,0,2846,2014,9
Total Yards,9,1,2760,2015,9
Total Yards Allowed,9,0,3016,2015,9
Total Yards Allowed,9,1,3429,2014,9
Pass Attempts,9,0,339,2015,9
Pass Attempts,9,1,330,2014,9
Rush Attempts,9,0,278,2014,9
Rush Attempts,9,1,260,2015,9
Points Scored,10,0,246,2015,10
Points Scored,10,1,227,2014,10
Points Allowed,10,0,166,2014,10
Points Allowed,10,1,177,2015,10
Passing Yards,10,0,2382,2015,10
Passing Yards,10,1,2263,2014,10
Passing Yards Allowed,10,0,2055,2015,10
Passing Yards Allowed,10,1,2140,2014,10
Rushing Yards,10,0,1361,2014,10
Rushing Yards,10,1,1173,2015,10
Rushing Yards Allowed,10,0,855,2014,10
Rushing Yards Allowed,10,1,974,2015,10
Total Yards,10,0,3624,2014,10
Total Yards,10,1,3555,2015,10
Total Yards Allowed,10,0,2995,2014,10
Total Yards Allowed,10,1,3029,2015,10
Pass Attempts,10,0,341,2015,10
Pass Attempts,10,1,335,2014,10
Rush Attempts,10,0,318,2014,10
Rush Attempts,10,1,298,2015,10
Points Scored,11,0,201,2014,11
Points Scored,11,1,196,2015,11
Points Allowed,11,0,205,2015,11
Points Allowed,11,1,250,2014,11
Passing Yards,11,0,2560,2014,11
Passing Yards,11,1,2245,2015,11
Passing Yards Allowed,11,0,2155,2015,11
Passing Yards Allowed,11,1,2566,2014,11
Rushing Yards,11,0,1148,2015,11
Rushing Yards,11,1,1005,2014,11
Rushing Yards Allowed,11,0,1286,2014,11
Rushing Yards Allowed,11,1,1344,2015,11
Total Yards,11,0,3565,2014,11
Total Yards,11,1,3394,2015,11
Total Yards Allowed,11,0,3500,2015,11
Total Yards Allowed,11,1,3853,2014,11
Pass Attempts,11,0,356,2014,11
Pass Attempts,11,1,321,2015,11
Rush Attempts,11,0,281,2015,11
Rush Attempts,11,1,270,2014,11
Points Scored,12,0,258,2014,12
Points Scored,12,1,166,2015,12
Points Allowed,12,0,236,2014,12
Points Allowed,12,1,251,2015,12
Passing Yards,12,0,2715,2014,12
Passing Yards,12,1,2242,2015,12
Passing Yards Allowed,12,0,1993,2015,12
Passing Yards Allowed,12,1,2646,2014,12
Rushing Yards,12,0,1091,2015,12
Rushing Yards,12,1,953,2014,12
Rushing Yards Allowed,12,0,861,2014,12
Rushing Yards Allowed,12,1,1525,2015,12
Total Yards,12,0,3669,2014,12
Total Yards,12,1,3333,2015,12
Total Yards Allowed,12,0,3508,2014,12
Total Yards Allowed,12,1,3518,2015,12
Pass Attempts,12,0,437,2015,12
Pass Attempts,12,1,418,2014,12
Rush Attempts,12,0,230,2014,12
Rush Attempts,12,1,215,2015,12
Points Scored,13,0,192,2015,13
Points Scored,13,1,152,2014,13
Points Allowed,13,0,199,2015,13
Points Allowed,13,1,239,2014,13
Passing Yards,13,0,2277,2015,13
Passing Yards,13,1,1821,2014,13
Passing Yards Allowed,13,0,2041,2015,13
Passing Yards Allowed,13,1,2255,2014,13
Rushing Yards,13,0,1117,2015,13
Rushing Yards,13,1,1061,2014,13
Rushing Yards Allowed,13,0,858,2015,13
Rushing Yards Allowed,13,1,1066,2014,13
Total Yards,13,0,3395,2015,13
Total Yards,13,1,2883,2014,13
Total Yards Allowed,13,0,2900,2015,13
Total Yards Allowed,13,1,3321,2014,13
Pass Attempts,13,0,346,2015,13
Pass Attempts,13,1,338,2014,13
Rush Attempts,13,0,281,2015,13
Rush Attempts,13,1,236,2014,13
Points Scored,14,0,211,2015,14
Points Scored,14,1,165,2014,14
Points Allowed,14,0,208,2015,14
Points Allowed,14,1,220,2014,14
Passing Yards,14,0,2493,2015,14
Passing Yards,14,1,2285,2014,14
Passing Yards Allowed,14,0,2195,2014,14
Passing Yards Allowed,14,1,2506,2015,14
Rushing Yards,14,0,891,2015,14
Rushing Yards,14,1,870,2014,14
Rushing Yards Allowed,14,0,1065,2015,14
Rushing Yards Allowed,14,1,1073,2014,14
Total Yards,14,0,3385,2015,14
Total Yards,14,1,3155,2014,14
Total Yards Allowed,14,0,3268,2014,14
Total Yards Allowed,14,1,3571,2015,14
Pass Attempts,14,0,425,2014,14
Pass Attempts,14,1,395,2015,14
Rush Attempts,14,0,236,2015,14
Rush Attempts,14,1,228,2014,14
Points Scored,15,0,263,2014,15
Points Scored,15,1,155,2015,15
Points Allowed,15,0,188,2015,15
Points Allowed,15,1,191,2014,15
Passing Yards,15,0,2603,2014,15
Passing Yards,15,1,2105,2015,15
Passing Yards Allowed,15,0,2081,2015,15
Passing Yards Allowed,15,1,2253,2014,15
Rushing Yards,15,0,1207,2014,15
Rushing Yards,15,1,831,2015,15
Rushing Yards Allowed,15,0,1158,2015,15
Rushing Yards Allowed,15,1,1256,2014,15
Total Yards,15,0,3810,2014,15
Total Yards,15,1,2936,2015,15
Total Yards Allowed,15,0,3240,2015,15
Total Yards Allowed,15,1,3510,2014,15
Pass Attempts,15,0,375,2015,15
Pass Attempts,15,1,329,2014,15
Rush Attempts,15,0,275,2014,15
Rush Attempts,15,1,231,2015,15
Points Scored,16,0,247,2014,16
Points Scored,16,1,194,2015,16
Points Allowed,16,0,170,2014,16
Points Allowed,16,1,206,2015,16
Passing Yards,16,0,2429,2014,16
Passing Yards,16,1,2305,2015,16
Passing Yards Allowed,16,0,2035,2014,16
Passing Yards Allowed,16,1,2168,2015,16
Rushing Yards,16,0,1166,2015,16
Rushing Yards,16,1,1018,2014,16
Rushing Yards Allowed,16,0,1203,2014,16
Rushing Yards Allowed,16,1,1259,2015,16
Total Yards,16,0,3471,2015,16
Total Yards,16,1,3448,2014,16
Total Yards Allowed,16,0,3238,2014,16
Total Yards Allowed,16,1,3428,2015,16
Pass Attempts,16,0,350,2014,16
Pass Attempts,16,1,346,2015,16
Rush Attempts,16,0,277,2015,16
Rush Attempts,16,1,258,2014,16
Points Scored,17,0,217,2015,17
Points Scored,17,1,180,2014,17
Points Allowed,17,0,205,2014,17
Points Allowed,17,1,243,2015,17
Passing Yards,17,0,2719,2015,17
Passing Yards,17,1,2247,2014,17
Passing Yards Allowed,17,0,2242,2015,17
Passing Yards Allowed,17,1,2329,2014,17
Rushing Yards,17,0,972,2014,17
Rushing Yards,17,1,966,2015,17
Rushing Yards Allowed,17,0,1168,2014,17
Rushing Yards Allowed,17,1,1285,2015,17
Total Yards,17,0,3685,2015,17
Total Yards,17,1,3220,2014,17
Total Yards Allowed,17,0,3498,2014,17
Total Yards Allowed,17,1,3527,2015,17
Pass Attempts,17,0,390,2014,17
Pass Attempts,17,1,376,2015,17
Rush Attempts,17,0,233,2015,17
Rush Attempts,17,1,229,2014,17
Points Scored,18,0,283,2015,18
Points Scored,18,1,235,2014,18
Points Allowed,18,0,260,2015,18
Points Allowed,18,1,268,2014,18
Passing Yards,18,0,2844,2015,18
Passing Yards,18,1,2763,2014,18
Passing Yards Allowed,18,0,2615,2014,18
Passing Yards Allowed,18,1,2930,2015,18
Rushing Yards,18,0,1091,2015,18
Rushing Yards,18,1,926,2014,18
Rushing Yards Allowed,18,0,1040,2014,18
Rushing Yards Allowed,18,1,1262,2015,18
Total Yards,18,0,3936,2015,18
Total Yards,18,1,3690,2014,18
Total Yards Allowed,18,0,3655,2014,18
Total Yards Allowed,18,1,4193,2015,18
Pass Attempts,18,0,400,2014,18
Pass Attempts,18,1,381,2015,18
Rush Attempts,18,0,255,2015,18
Rush Attempts,18,1,221,2014,18
Points Scored,19,0,308,2014,19
Points Scored,19,1,296,2015,19
Points Allowed,19,0,163,2014,19
Points Allowed,19,1,186,2015,19
Passing Yards,19,0,2820,2015,19
Passing Yards,19,1,2660,2014,19
Passing Yards Allowed,19,0,1918,2014,19
Passing Yards Allowed,19,1,2528,2015,19
Rushing Yards,19,0,1283,2015,19
Rushing Yards,19,1,1185,2014,19
Rushing Yards Allowed,19,0,1022,2014,19
Rushing Yards Allowed,19,1,1126,2015,19
Total Yards,19,0,4104,2015,19
Total Yards,19,1,3845,2014,19
Total Yards Allowed,19,0,2941,2014,19
Total Yards Allowed,19,1,3655,2015,19
Pass Attempts,19,0,333,2014,19
Pass Attempts,19,1,311,2015,19
Rush Attempts,19,0,312,2014,19
Rush Attempts,19,1,301,2015,19
Points Scored,20,0,241,2015,20
Points Scored,20,1,198,2014,20
Points Allowed,20,0,178,2014,20
Points Allowed,20,1,224,2015,20
Passing Yards,20,0,2486,2015,20
Passing Yards,20,1,2030,2014,20
Passing Yards Allowed,20,0,2433,2014,20
Passing Yards Allowed,20,1,2522,2015,20
Rushing Yards,20,0,1327,2014,20
Rushing Yards,20,1,1289,2015,20
Rushing Yards Allowed,20,0,1009,2014,20
Rushing Yards Allowed,20,1,1017,2015,20
Total Yards,20,0,3776,2015,20
Total Yards,20,1,3358,2014,20
Total Yards Allowed,20,0,3442,2014,20
Total Yards Allowed,20,1,3540,2015,20
Pass Attempts,20,0,317,2015,20
Pass Attempts,20,1,296,2014,20
Rush Attempts,20,0,321,2014,20
Rush Attempts,20,1,311,2015,20
Points Scored,21,0,235,2014,21
Points Scored,21,1,203,2015,21
Points Allowed,21,0,195,2014,21
Points Allowed,21,1,217,2015,21
Passing Yards,21,0,2611,2015,21
Passing Yards,21,1,2558,2014,21
Passing Yards Allowed,21,0,2333,2015,21
Passing Yards Allowed,21,1,2500,2014,21
Rushing Yards,21,0,1520,2014,21
Rushing Yards,21,1,1360,2015,21
Rushing Yards Allowed,21,0,729,2014,21
Rushing Yards Allowed,21,1,1110,2015,21
Total Yards,21,0,4078,2014,21
Total Yards,21,1,3971,2015,21
Total Yards Allowed,21,0,3230,2014,21
Total Yards Allowed,21,1,3444,2015,21
Pass Attempts,21,0,366,2014,21
Pass Attempts,21,1,339,2015,21
Rush Attempts,21,0,323,2014,21
Rush Attempts,21,1,282,2015,21
Points Scored,22,0,277,2014,22
Points Scored,22,1,233,2015,22
Points Allowed,22,0,218,2014,22
Points Allowed,22,1,243,2015,22
Passing Yards,22,0,2857,2014,22
Passing Yards,22,1,2306,2015,22
Passing Yards Allowed,22,0,2160,2014,22
Passing Yards Allowed,22,1,2419,2015,22
Rushing Yards,22,0,1305,2015,22
Rushing Yards,22,1,1059,2014,22
Rushing Yards Allowed,22,0,1236,2015,22
Rushing Yards Allowed,22,1,1267,2014,22
Total Yards,22,0,3916,2014,22
Total Yards,22,1,3611,2015,22
Total Yards Allowed,22,0,3428,2014,22
Total Yards Allowed,22,1,3656,2015,22
Pass Attempts,22,0,394,2015,22
Pass Attempts,22,1,380,2014,22
Rush Attempts,22,0,273,2014,22
Rush Attempts,22,1,250,2015,22
Points Scored,23,0,216,2015,23
Points Scored,23,1,198,2014,23
Points Allowed,23,0,183,2015,23
Points Allowed,23,1,197,2014,23
Passing Yards,23,0,2346,2014,23
Passing Yards,23,1,2260,2015,23
Passing Yards Allowed,23,0,2281,2015,23
Passing Yards Allowed,23,1,2334,2014,23
Rushing Yards,23,0,1382,2015,23
Rushing Yards,23,1,1080,2014,23
Rushing Yards Allowed,23,0,950,2015,23
Rushing Yards Allowed,23,1,996,2014,23
Total Yards,23,0,3642,2015,23
Total Yards,23,1,3426,2014,23
Total Yards Allowed,23,0,3231,2015,23
Total Yards Allowed,23,1,3330,2014,23
Pass Attempts,23,0,342,2014,23
Pass Attempts,23,1,320,2015,23
Rush Attempts,23,0,308,2015,23
Rush Attempts,23,1,285,2014,23
Points Scored,24,0,243,2015,24
Points Scored,24,1,206,2014,24
Points Allowed,24,0,176,2014,24
Points Allowed,24,1,186,2015,24
Passing Yards,24,0,2272,2015,24
Passing Yards,24,1,1846,2014,24
Passing Yards Allowed,24,0,2003,2014,24
Passing Yards Allowed,24,1,2290,2015,24
Rushing Yards,24,0,1547,2015,24
Rushing Yards,24,1,1365,2014,24
Rushing Yards Allowed,24,0,923,2015,24
Rushing Yards Allowed,24,1,1029,2014,24
Total Yards,24,0,3820,2015,24
Total Yards,24,1,3212,2014,24
Total Yards Allowed,24,0,3032,2014,24
Total Yards Allowed,24,1,3213,2015,24
Pass Attempts,24,0,335,2014,24
Pass Attempts,24,1,308,2015,24
Rush Attempts,24,0,376,2015,24
Rush Attempts,24,1,335,2014,24
Points Scored,25,0,243,2015,25
Points Scored,25,1,220,2014,25
Points Allowed,25,0,167,2015,25
Points Allowed,25,1,215,2014,25
Passing Yards,25,0,2807,2014,25
Passing Yards,25,1,2594,2015,25
Passing Yards Allowed,25,0,2010,2015,25
Passing Yards Allowed,25,1,2651,2014,25
Rushing Yards,25,0,1120,2015,25
Rushing Yards,25,1,1118,2014,25
Rushing Yards Allowed,25,0,925,2014,25
Rushing Yards Allowed,25,1,1113,2015,25
Total Yards,25,0,3926,2014,25
Total Yards,25,1,3715,2015,25
Total Yards Allowed,25,0,3123,2015,25
Total Yards Allowed,25,1,3576,2014,25
Pass Attempts,25,0,355,2014,25
Pass Attempts,25,1,320,2015,25
Rush Attempts,25,0,294,2015,25
Rush Attempts,25,1,263,2014,25
Points Scored,26,0,226,2014,26
Points Scored,26,1,185,2015,26
Points Allowed,26,0,218,2015,26
Points Allowed,26,1,221,2014,26
Passing Yards,26,0,2740,2014,26
Passing Yards,26,1,2321,2015,26
Passing Yards Allowed,26,0,2274,2014,26
Passing Yards Allowed,26,1,2290,2015,26
Rushing Yards,26,0,980,2014,26
Rushing Yards,26,1,880,2015,26
Rushing Yards Allowed,26,0,1151,2014,26
Rushing Yards Allowed,26,1,1215,2015,26
Total Yards,26,0,3720,2014,26
Total Yards,26,1,3201,2015,26
Total Yards Allowed,26,0,3425,2014,26
Total Yards Allowed,26,1,3505,2015,26
Pass Attempts,26,0,358,2015,26
Pass Attempts,26,1,353,2014,26
Rush Attempts,26,0,263,2014,26
Rush Attempts,26,1,258,2015,26
Points Scored,27,0,275,2014,27
Points Scored,27,1,200,2015,27
Points Allowed,27,0,171,2014,27
Points Allowed,27,1,172,2015,27
Passing Yards,27,0,2064,2015,27
Passing Yards,27,1,1957,2014,27
Passing Yards Allowed,27,0,2197,2015,27
Passing Yards Allowed,27,1,2344,2014,27
Rushing Yards,27,0,1603,2014,27
Rushing Yards,27,1,1319,2015,27
Rushing Yards Allowed,27,0,784,2014,27
Rushing Yards Allowed,27,1,946,2015,27
Total Yards,27,0,3561,2014,27
Total Yards,27,1,3383,2015,27
Total Yards Allowed,27,0,3128,2014,27
Total Yards Allowed,27,1,3143,2015,27
Pass Attempts,27,0,335,2015,27
Pass Attempts,27,1,281,2014,27
Rush Attempts,27,0,346,2014,27
Rush Attempts,27,1,306,2015,27
Points Scored,28,0,218,2014,28
Points Scored,28,1,203,2015,28
Points Allowed,28,0,180,2015,28
Points Allowed,28,1,212,2014,28
Passing Yards,28,0,2310,2014,28
Passing Yards,28,1,2210,2015,28
Passing Yards Allowed,28,0,2363,2015,28
Passing Yards Allowed,28,1,2759,2014,28
Rushing Yards,28,0,1206,2014,28
Rushing Yards,28,1,1197,2015,28
Rushing Yards Allowed,28,0,761,2014,28
Rushing Yards Allowed,28,1,953,2015,28
Total Yards,28,0,3517,2014,28
Total Yards,28,1,3407,2015,28
Total Yards Allowed,28,0,3316,2015,28
Total Yards Allowed,28,1,3520,2014,28
Pass Attempts,28,0,326,2014,28
Pass Attempts,28,1,286,2015,28
Rush Attempts,28,0,338,2015,28
Rush Attempts,28,1,294,2014,28
Points Scored,29,0,280,2014,29
Points Scored,29,1,220,2015,29
Points Allowed,29,0,175,2015,29
Points Allowed,29,1,176,2014,29
Passing Yards,29,0,2934,2014,29
Passing Yards,29,1,2450,2015,29
Passing Yards Allowed,29,0,2057,2015,29
Passing Yards Allowed,29,1,2400,2014,29
Rushing Yards,29,0,1103,2015,29
Rushing Yards,29,1,837,2014,29
Rushing Yards Allowed,29,0,1165,2014,29
Rushing Yards Allowed,29,1,1166,2015,29
Total Yards,29,0,3771,2014,29
Total Yards,29,1,3553,2015,29
Total Yards Allowed,29,0,3224,2015,29
Total Yards Allowed,29,1,3565,2014,29
Pass Attempts,29,0,352,2014,29
Pass Attempts,29,1,328,2015,29
Rush Attempts,29,0,301,2015,29
Rush Attempts,29,1,255,2014,29
Points Scored,30,0,114,2014,30
Points Scored,30,1,94,2015,30
Points Allowed,30,0,245,2014,30
Points Allowed,30,1,303,2015,30
Passing Yards,30,0,1898,2015,30
Passing Yards,30,1,1817,2014,30
Passing Yards Allowed,30,0,2156,2015,30
Passing Yards Allowed,30,1,2248,2014,30
Rushing Yards,30,0,847,2014,30
Rushing Yards,30,1,561,2015,30
Rushing Yards Allowed,30,0,1358,2014,30
Rushing Yards Allowed,30,1,1637,2015,30
Total Yards,30,0,2665,2014,30
Total Yards,30,1,2460,2015,30
Total Yards Allowed,30,0,3607,2014,30
Total Yards Allowed,30,1,3793,2015,30
Pass Attempts,30,0,386,2014,30
Pass Attempts,30,1,373,2015,30
Rush Attempts,30,0,216,2014,30
Rush Attempts,30,1,181,2015,30
Points Scored,31,0,211,2015,31
Points Scored,31,1,205,2014,31
Points Allowed,31,0,210,2015,31
Points Allowed,31,1,223,2014,31
Passing Yards,31,0,2498,2014,31
Passing Yards,31,1,2026,2015,31
Passing Yards Allowed,31,0,2229,2015,31
Passing Yards Allowed,31,1,2530,2014,31
Rushing Yards,31,0,1115,2015,31
Rushing Yards,31,1,993,2014,31
Rushing Yards Allowed,31,0,1364,2014,31
Rushing Yards Allowed,31,1,1399,2015,31
Total Yards,31,0,3491,2014,31
Total Yards,31,1,3141,2015,31
Total Yards Allowed,31,0,3628,2015,31
Total Yards Allowed,31,1,3894,2014,31
Pass Attempts,31,0,373,2014,31
Pass Attempts,31,1,309,2015,31
Rush Attempts,31,0,290,2015,31
Rush Attempts,31,1,244,2014,31
Points Scored,99,0,308,2014,19
Points Scored,99,1,296,2015,19
Points Scored,99,2,283,2015,18
Points Scored,99,3,280,2014,29
Points Scored,99,4,277,2014,22
Points Scored,99,5,275,2014,27
Points Scored,99,6,263,2014,15
Points Scored,99,7,263,2015,2
Points Scored,99,8,258,2014,12
Points Scored,99,9,247,2014,16
Points Scored,99,10,247,2015,6
Points Scored,99,11,246,2015,10
Points Scored,99,12,243,2015,24
Points Scored,99,13,243,2015,25
Points Scored,99,14,241,2015,20
Points Scored,99,15,240,2014,4
Points Scored,99,16,238,2014,6
Points Scored,99,17,235,2014,18
Points Scored,99,18,235,2014,21
Points Scored,99,19,233,2015,22
Points Scored,99,20,227,2014,10
Points Scored,99,21,226,2014,26
Points Scored,99,22,221,2015,4
Points Scored,99,23,221,2015,8
Points Scored,99,24,220,2014,25
Points Scored,99,25,220,2015,3
Points Scored,99,26,220,2015,29
Points Scored,99,27,218,2014,28
Points Scored,99,28,217,2015,17
Points Scored,99,29,216,2015,23
Points Scored,99,30,211,2015,14
Points Scored,99,31,211,2015,31
Points Scored,99,32,207,2015,0
Points Scored,99,33,206,2014,24
Points Scored,99,34,205,2014,31
Points Scored,99,35,203,2015,21
Points Scored,99,36,203,2015,28
Points Scored,99,37,202,2014,0
Points Scored,99,38,201,2014,11
Points Scored,99,39,200,2015,27
Points Scored,99,40,198,2014,20
Points Scored,99,41,198,2014,23
Points Scored,99,42,196,2015,11
Points Scored,99,43,194,2015,16
Points Scored,99,44,193,2014,3
Points Scored,99,45,192,2015,13
Points Scored,99,46,186,2015,1
Points Scored,99,47,185,2015,26
Points Scored,99,48,181,2014,2
Points Scored,99,49,180,2014,17
Points Scored,99,50,177,2014,7
Points Scored,99,51,171,2015,5
Points Scored,99,52,166,2014,8
Points Scored,99,53,166,2015,12
Points Scored,99,54,165,2014,14
Points Scored,99,55,158,2014,5
Points Scored,99,56,155,2015,15
Points Scored,99,57,152,2014,13
Points Scored,99,58,152,2015,7
Points Scored,99,59,150,2014,1
Points Scored,99,60,143,2014,9
Points Scored,99,61,131,2015,9
Points Scored,99,62,114,2014,30
Points Scored,99,63,94,2015,30
Points Allowed,99,0,163,2014,19
Points Allowed,99,1,166,2014,10
Points Allowed,99,2,167,2015,25
Points Allowed,99,3,170,2014,16
Points Allowed,99,4,171,2014,27
Points Allowed,99,5,172,2015,27
Points Allowed,99,6,175,2015,4
Points Allowed,99,7,175,2015,29
Points Allowed,99,8,176,2014,24
